,negation_index
1980-01,6.844036131578138
1980-02,6.400691117568522
1980-03,6.152206559124158
1980-04,4.517221908526257
1980-05,7.082932196396645
1980-06,5.557575442788136
1980-07,7.09002179184187
1980-08,6.1706090001945695
1980-09,4.798331015299025
1980-10,5.004512265157109
1980-11,6.620130601215942
1980-12,5.190641578565704
1981-01,5.596732718196944
1981-02,4.492939666238768
1981-03,5.297151619348543
1981-04,5.124717654773759
1981-05,6.352112285373499
1981-06,6.771871623575246
1981-07,5.875077303648733
1981-08,4.65726955186167
1981-09,4.925005596597268
1981-10,5.523323276862381
1981-11,6.342707564266059
1981-12,6.352947203934727
1982-01,4.781387095184108
1982-02,4.2929621438792775
1982-03,5.480585285145545
1982-04,4.460945144764864
1982-05,6.873401534526853
1982-06,6.359142509377251
1982-07,8.892954239398328
1982-08,4.762501566612358
1982-09,6.19649023225013
1982-10,5.258949440275558
1982-11,4.662004662004661
1982-12,6.265723643613235
1983-01,2.7192255028638646
1983-02,8.431053667722331
1983-03,5.85704472323656
1983-04,6.6737853710624675
1983-05,5.87284897289257
1983-08,6.889099013913279
1983-09,6.760194809914952
1983-10,5.564660593817891
1983-11,6.186408742620274
1983-12,6.280377914914532
1984-01,5.5376376802774905
1984-02,7.430702437938327
1984-03,4.774132880031828
1984-04,3.2296447390787013
1984-05,5.169340463458111
1984-06,7.862527356731782
1984-07,7.065354529396922
1984-08,4.554004554004553
1984-09,4.587155963302751
1984-10,4.756242568370988
1984-11,8.060801473975127
1984-12,5.142355449642543
1985-01,5.517456359102245
1985-02,5.776263297872341
1985-03,4.515805318615152
1985-04,4.670850970661217
1985-05,4.675747103069731
1985-06,7.00943577893318
1985-07,5.091457665472374
1985-08,5.779704345893075
1985-09,5.42115606153012
1985-10,6.104765655769988
1985-11,6.458241596947013
1985-12,4.96031746031746
1986-01,4.928931682714351
1986-02,5.57481327949112
1986-03,5.142405063291139
1986-04,4.477905717941147
1986-05,5.05982905982906
1986-06,5.646454924606995
