,negation_index
1980-01,2.931661949049737
1980-02,5.294705294705295
1980-03,3.4777568468337923
1980-04,3.4635717323935102
1980-05,1.9385211852672388
1980-06,2.663090696181015
1980-07,3.311680040759139
1980-08,4.430737153034186
1980-09,4.757785467128027
1980-10,3.4359441834373468
1980-11,3.2043674341324473
1980-12,2.1386534288702603
1981-01,0.9682931460034174
1981-02,1.5665796344647522
1981-03,1.295184269398328
1981-04,1.9856333586404251
1981-05,3.1671656037138276
1981-06,2.6715073466452037
1981-07,2.544458887628952
1981-08,2.903981264637003
1981-09,1.9138445568963278
1981-10,2.0607103178869655
1981-11,3.823604384399694
1981-12,1.7207701609152637
1982-01,4.939491232403062
1982-02,2.079417763026352
1982-03,1.2093670978854398
1982-04,2.0372587318589463
1982-05,1.8295999604410822
1982-06,4.180602006688964
1982-07,6.541182752636497
1982-08,2.031684605151772
1982-09,1.7307026652821047
1982-10,2.693316322914452
1982-11,5.498900219956009
1982-12,4.391217564870259
1983-01,2.080318379160637
1983-02,4.3880518107322235
1983-03,3.3804760262159363
1983-04,5.272895467160037
1983-05,3.0771485090482815
1983-08,4.6240450341777235
1983-09,6.279434850863421
1983-10,3.368893879842785
1983-11,4.591877127701687
1983-12,4.641567818463125
1984-01,4.576659038901601
1984-02,5.44419698094531
1984-03,4.07806583163414
1984-04,4.12682435832914
1984-05,4.696356275303644
1984-06,6.877413127413128
1984-07,4.249506753680376
1984-08,4.919499105545616
1984-09,5.963791267305644
1984-10,3.4438226431338785
1984-11,2.114164904862579
1984-12,3.7788548426846305
1985-01,3.586800573888092
1985-02,4.221954161640532
1985-03,4.244482173174872
1985-04,3.840749414519906
1985-05,5.113345832623146
1985-06,4.360465116279069
1985-07,5.613126079447324
1985-08,2.9370845571185655
1985-09,3.051881993896236
1985-10,4.913615469963544
1985-11,2.146454222735904
1985-12,5.170239596469105
1986-01,4.781829049611476
1986-02,5.031305903398926
1986-03,4.525266068884607
1986-04,2.6055237102657633
1986-05,4.269537776127716
1986-06,3.4634033710459478
1986-07,5.2433229559233165
1986-08,5.130836326321191
1986-09,5.067567567567568
1986-10,4.182350480970305
1986-11,3.7054937973256004
1986-12,5.489742848887605
1987-01,0.5208333333333334
1987-02,5.57244174265451
1987-03,2.4092970521541948
1987-04,2.560819462227913
1987-05,4.994124559341951
1987-06,6.642941874258602
1987-07,2.8501628664495113
1987-08,3.739871182214835
1987-09,6.395614435815441
1987-10,4.710903527138026
1987-11,0.0
1987-12,5.182689816014511
1988-01,4.6875
1988-02,5.703599812996728
1988-03,2.3220712875885288
1988-04,3.1813361611876987
1988-05,3.256445047489824
1988-06,3.65006475921347
1988-07,1.7521902377972465
1988-08,3.788452795878163
1988-09,3.8011973771738097
1988-10,7.668711656441719
1988-11,6.156552330694812
1988-12,4.763293477204238
1989-01,4.6
1989-02,3.8613861386138613
1989-03,3.453453453453453
1989-04,4.208045783538125
1989-05,4.544896204397494
1989-06,5.364468286525717
1989-07,5.807200929152149
1989-08,2.0181634712411705
1989-09,3.5612535612535616
1989-10,4.340188074816575
1989-11,7.2934834311082914
1989-12,2.667682926829268
1990-01,3.063569057952515
1990-02,4.456028249537582
1990-03,4.026276753549481
1990-04,5.386565272496831
1990-05,2.645985401459854
1990-06,4.856988667026443
1990-07,4.195537473777891
1990-08,7.5751808146174335
1990-09,6.853035811290795
1990-10,3.860419347513436
1990-11,5.284926470588235
1990-12,5.363696245412628
1991-01,7.583965330444203
1991-02,1.5965166908563135
1991-03,4.606273305549462
1991-04,2.7744061036934284
1991-05,3.6240637835225895
1991-06,1.8896071606166085
1991-07,2.817562808170932
1991-08,1.996701102526261
1991-09,4.532798031470569
1991-10,2.5687309080810885
1991-11,4.956071187204325
1991-12,4.546571639223397
1992-01,4.115877790090233
1992-02,5.328804825203489
1992-03,4.565784569511741
1992-04,4.173429167632739
1992-05,5.9523809523809526
1992-06,2.017413463580378
1992-07,3.4608919212894294
1992-08,9.47867298578199
1992-09,2.8541774779449924
1992-10,3.248259860788863
1992-11,2.5986140724946694
1992-12,4.25633954798873
1993-01,0.3401360544217687
1993-02,3.3948940793047253
1993-03,2.1538829723585025
1993-04,1.9200558561703611
1993-05,3.336436995654873
1993-06,3.192338387869114
1993-07,3.807106598984772
1993-08,2.6755369151782484
1993-09,3.2474721381651785
1993-10,4.404098507999281
1993-11,4.039115646258503
1993-12,3.544385371354922
1994-01,3.946126790769495
1994-02,3.7011785331645086
1994-03,3.739551253849538
1994-04,3.970765954997986
1994-05,3.705148205928237
1994-06,3.731741123787185
1994-07,3.6461636017755232
1994-08,2.542764678687009
1994-09,3.425190720846956
1994-10,3.0348144754924418
1994-11,3.477684855510474
1994-12,2.520478890989288
1995-01,3.1028368794326244
1995-02,3.3231423634188495
1995-03,4.426674282450378
1995-04,2.8552233792408463
1995-05,4.2477876106194685
1995-06,3.406792292132439
1995-07,4.285125669550886
1995-08,6.44998102946756
1995-09,1.3785751047717079
1995-10,2.1516593857990483
1995-11,2.6507119054831865
1995-12,2.8576231299378048
1996-01,3.9254170755642788
1996-02,2.679767753461367
1996-03,2.034110467845408
1996-04,3.0283822804422846
1996-05,4.4085231447465105
1996-06,3.0508151396701306
1996-07,1.6925843647519307
1996-08,2.7312228429546868
1996-09,5.006257822277847
1996-10,4.23042304230423
1996-11,3.2193775869998467
1996-12,3.0788564247565198
1997-01,2.1862991917318144
1997-02,2.2692889561270806
1997-03,3.144483599891569
1997-04,4.038364462392731
1997-05,4.295390715347762
1997-06,2.247765006385696
1997-07,4.475911458333333
1997-08,4.071058475203553
1997-09,2.6949521473240505
1997-10,2.319699094399958
1997-11,1.0081603926118965
1997-12,4.740432419932941
1998-01,0.7619918466872405
1998-02,1.9836896627727574
1998-03,4.3152552905029875
1998-04,3.387533875338754
1998-05,2.091519837748764
1998-06,3.164880040837162
1998-07,2.599789915966387
1998-08,1.425389755011136
1998-09,1.8495943503299845
1998-10,1.9910875130368824
1998-11,2.822201317027281
1998-12,3.1544025670310543
1999-01,2.649006622516557
1999-02,2.93446364525595
1999-03,2.0011652354535556
1999-04,1.618761844598863
1999-05,2.9645314981471675
1999-06,1.3167925705177073
1999-07,1.6559766763848396
1999-08,4.080157008573495
1999-09,2.4088404444310623
1999-10,0.990204999197131
1999-11,1.708397843147723
1999-12,4.283266704740149
2000-01,0.8306682726253269
2000-02,1.1921319292668389
2000-03,1.8684236404759564
2000-04,1.4938854919399667
2000-05,1.918158567774936
2000-06,4.437424789410349
2000-07,1.6214964095436646
2000-08,4.388328585726384
2000-09,1.1803472188068658
2000-10,0.9736369083283403
2000-11,2.9511918274687856
2000-12,1.21542906939412
2001-01,1.5124915597569213
2001-02,0.9248127254231018
2001-03,1.2042847182607594
2001-04,0.36866359447004615
2001-05,1.6535953888311443
2001-06,1.0093978419770275
2001-07,0.6560903468674375
2001-08,1.0830733418470442
2001-09,1.1194865288454363
2001-10,0.9618997520102202
2001-11,1.5616541040269851
2001-12,2.615258163341553
2002-01,2.9607698001480385
2002-02,1.8781022224209634
2002-03,2.202491568586964
2002-04,2.032649431493362
2002-05,1.9185428320466
2002-06,3.1103211882696455
2002-07,1.4404306129411322
2002-08,1.750488116878745
2002-09,2.3488773747841107
2002-10,1.9512195121951217
2002-11,3.6373220875065897
2002-12,3.169459233275761
2003-01,2.8459078599078906
2003-02,1.7062420019906157
2003-03,1.3438397165719873
2003-04,4.759441282979825
2003-05,0.968699877721491
2003-06,0.8929274890353758
2003-07,1.4562475620855546
2003-08,1.6938785112689976
2003-09,1.5478278815395727
2003-10,1.8353016278327483
2003-11,1.6007761338830948
2003-12,1.9583843329253368
2004-01,3.6206896551724146
2004-02,6.185567010309279
2004-03,4.751131221719458
2004-04,2.803738317757009
2004-05,3.4769381213668717
2004-06,4.556962025316456
2004-07,2.0162332626790054
2004-08,2.5154289391324696
2004-09,2.3161298780754276
2004-10,2.4032684450853163
2004-11,2.1588280647648417
2004-12,6.378683891804601
2005-01,3.48870460394624
2005-02,2.0441858636685275
