,negation_index
1980-01,2.0286518582678963
1980-02,1.2458917792623463
1980-03,1.3505791906913929
1980-04,1.4230018077931128
1980-05,1.8514444933274676
1980-06,1.0490351763630241
1980-07,1.1056785214339333
1980-08,1.7348844692862488
1980-09,0.7956673161134975
1980-10,1.1064997832967782
1980-11,1.4016172506738545
1980-12,0.9778431185708517
1981-01,1.1959794291538186
1981-02,0.7713774873480317
1981-03,0.9960719420993019
1981-04,0.796589529611977
1981-05,0.9383012855160008
1981-06,0.8553881772036489
1981-07,1.1889379419259898
1981-08,0.9141789817756116
1981-09,1.318697785936388
1981-10,0.8832387091457309
1981-11,1.3499069712204583
1981-12,2.4186121821144138
1982-01,1.9225003086583063
1982-02,1.1918623307326286
1982-03,1.1904434229721175
1982-04,1.3729430726068013
1982-05,1.6613387871627092
1982-06,1.4050509781316427
1982-07,2.651144026280906
1982-08,1.3969869680135896
1982-09,1.6788552141199633
1982-10,1.4670343383431645
1982-11,2.1363371528452126
1982-12,2.162283912382454
1983-01,1.8758183100010073
1983-02,1.3324856518293375
1983-03,2.004913777118487
1983-04,1.465811785548572
1983-05,1.7914308126099772
1983-08,0.9244585314315902
1983-09,2.6370599301263096
1983-10,1.4799444639397037
1983-11,1.2203518867871719
1983-12,1.435225303292894
1984-01,1.2151574908063743
1984-02,1.382978723404255
1984-03,1.4249049348063076
1984-04,2.046953754267407
1984-05,1.6725259200922327
1984-06,1.0873504893077204
1984-07,1.7641697131264027
1984-08,1.242461603157764
1984-09,2.2640852224899133
1984-10,1.7390387858347387
1984-11,1.4453137273384233
1984-12,1.4065386553210548
1985-01,1.741195669595372
1985-02,1.6970224968918173
1985-03,1.676148880332548
1985-04,1.26378343961334
1985-05,1.6429858753510203
1985-06,1.4269663842804072
1985-07,1.7140596844372171
1985-08,1.4877200060517424
1985-09,1.2223225685902028
1985-10,1.7933918600371208
1985-11,1.5317436729841565
1985-12,1.089356865020396
1986-01,1.5885141935562106
1986-02,1.6503955710019385
1986-03,1.668477141863156
1986-04,0.9950335605617575
1986-05,1.4331894835740562
1986-06,1.826399778618209
1986-07,2.2176812558412142
1986-08,1.9601663450968936
1986-09,2.167301709371832
1986-10,1.446563625214233
1986-11,1.575244162845241
1986-12,1.6021740893972578
1987-01,1.3815680797705399
1987-02,1.3675539865788888
1987-03,1.3809527747227757
1987-04,5.010647626205687
1987-05,1.6819407008086256
1987-06,1.8190322748297905
1987-07,4.056079710783882
1987-08,3.290826820238585
1987-09,2.7581979773214833
1987-10,2.721167207040297
1987-11,5.492209420333113
1987-12,2.7050072035517916
1988-01,1.5380632585621392
1988-02,2.640813225771443
1988-03,1.4141313548772592
1988-04,1.2576209093145967
1988-05,1.5899705222279288
1988-06,0.9183536136423013
1988-07,1.4821759722040302
1988-08,1.3903225126919596
1988-09,1.7395271908061711
1988-10,0.9727094877427676
1988-11,10.842071127445683
1988-12,4.402312901701677
1989-01,1.0659983916515496
1989-02,1.674996378386209
1989-03,1.7626897339644196
1989-04,2.360859955796664
1989-05,1.3393314877473597
1989-06,1.7246683509373804
1989-07,1.2799731156225909
1989-08,1.3417648380573302
1989-09,1.3701593711689624
1989-10,1.798612295967696
1989-11,7.860370570772584
1989-12,5.500226526670534
1990-01,1.1561149283340124
1990-02,1.8266627523893402
1990-03,1.2243512329773438
1990-04,1.5826720025322751
1990-05,1.4390620701331134
1990-06,1.3623255073335576
1990-07,0.9961445516427161
1990-08,1.0182268561799224
1990-09,3.384162121272445
1990-10,3.1482051808506997
1990-11,5.9918120938807595
1990-12,1.0767620657730548
1991-01,1.40964195094446
1991-02,0.8828522920203736
1991-03,1.5350724175396975
1991-04,2.5470584580977818
1991-05,3.277320939101418
1991-06,1.771236123238119
1991-07,1.6490861011826925
1991-08,1.635043157534507
1991-09,1.9098335517327907
1991-10,1.2514999974248973
1991-11,2.019639250644195
1991-12,3.6020871907086347
1992-01,1.4816582639738274
1992-02,0.9206966921361113
1992-03,1.2329678797856318
1992-04,1.2048337931782311
1992-05,1.388279617061905
1992-06,3.7294833908925846
1992-07,1.8999065879260937
1992-08,4.62735059564832
1992-09,2.36317043743581
1992-10,1.9676298411637938
1992-11,6.016717300625414
1992-12,7.128407667854734
1993-01,1.8508055874846576
1993-02,1.4401173628355508
1993-03,1.6189791743995958
1993-04,4.209616128518443
1993-05,2.432665408026738
1993-06,2.186748305270063
1993-07,1.595146197997522
1993-08,1.8615087622533657
1993-09,1.4136255260380701
1993-10,1.4174890065349417
1993-11,2.2559093669819155
1993-12,1.7957965059564278
1994-01,1.6153289143875673
1994-02,1.22373343589385
1994-03,1.9285163281049111
1994-04,2.1907049201609756
1994-05,1.8600785586369977
1994-06,2.261801280800411
1994-07,2.427982498292825
1994-08,1.4786996831357824
1994-09,2.342251388187784
1994-10,1.5667537085393632
1994-11,2.6890625304468134
1994-12,2.3857936830689983
1995-01,1.8282193143877863
1995-02,1.2361808214194165
1995-03,1.9308214266012023
1995-04,1.7695687006435592
1995-05,1.4790305042734044
1995-06,1.267671100385466
1995-07,1.3448526679888433
1995-08,1.2641579303563906
1995-09,1.173568046942722
1995-10,1.5551099392571717
1995-11,4.615300186587641
1995-12,1.5938527615596265
1996-01,1.1667185886981009
1996-02,2.8840125391849534
1996-03,1.5077440942515377
1996-04,1.8631971199393669
1996-05,1.665299785263975
1996-06,1.8327286259186903
1996-07,1.6029471730479898
1996-08,1.5457451543721927
1996-09,3.0617177848203254
1996-10,1.4199950656542117
1996-11,2.0984327572322363
1996-12,1.545830214286149
1997-01,1.1416694720510532
