,negation_index
1980-01,5.834488893540201
1980-02,2.2611075106214447
1980-03,2.2960597503364912
1980-04,1.8110940554150607
1980-05,2.4798951358628267
1980-06,2.7594114274794572
1980-07,1.430988251185246
1980-08,3.2060498015987116
1980-09,2.3109403530127817
1980-10,1.9013456430762599
1980-11,3.652737255622688
1980-12,1.9157260421819486
1981-01,1.978330806493363
1981-02,2.3264707757027216
1981-03,3.4817875726966636
1981-04,3.283026264210114
1981-05,5.557878169343138
1981-06,3.020884045488023
1981-07,3.2264212589849706
1981-08,4.233030196452797
1981-09,3.430436520271771
1981-10,4.396435578036731
1981-11,4.4502752482378956
1981-12,4.077219381434009
1982-01,4.171329738528842
1982-02,2.5035177164994606
1982-03,2.3819087028405423
1982-04,2.208117884645259
1982-05,2.7073395678173684
1982-06,2.2466300549176235
1982-07,4.380706446555382
1982-08,3.142926395734023
1982-09,4.94421906693712
1982-10,4.398706984737509
1982-11,5.554573686469563
1982-12,5.026978766352238
1983-01,2.8405710886377156
1983-02,5.235756966219014
1983-03,5.339726475235656
1983-04,4.418557943362122
1983-05,5.727415004495355
1983-08,4.441855384839439
1983-09,5.674934642606646
1983-10,3.872466761326965
1983-11,3.4355091557986728
1983-12,4.878048780487805
1984-01,4.098360655737705
1984-02,5.061382726685332
1984-03,4.4466608486057435
1984-04,4.6486424823180466
1984-05,4.992253399896713
1984-06,6.486626179092907
1984-07,4.561732605729877
1984-08,5.3226879574184975
1984-09,4.968435819499649
1984-10,4.915730337078651
1984-11,3.271934076587494
1984-12,6.342631544883826
1985-01,4.686175781444737
1985-02,4.576321228225568
1985-03,4.735052300804958
1985-04,4.657310088740639
1985-05,3.363982955819691
1985-06,4.682622268470344
1985-07,4.8041083409260334
1985-08,5.3743010694316276
1985-09,4.117050924752976
1985-10,5.319148936170212
1985-11,4.465602224375448
1985-12,4.446769552707298
1986-01,5.019383799224649
1986-02,4.54049225883287
1986-03,4.854954465955008
1986-04,3.613118399110617
1986-05,5.30095232224859
1986-06,3.947749162911827
1986-07,4.777990809215131
1986-08,4.960093790864409
1986-09,5.083897479124412
1986-10,5.565465572600784
1986-11,3.948462177888612
1986-12,6.1179087875417135
1987-01,5.267900464407013
1987-02,6.303679773067528
1987-03,4.568617114742576
1987-04,4.381161007667032
1987-05,3.371998920960346
1987-06,2.985594506506108
1987-07,5.271212378847135
1987-08,3.151733453399369
1987-09,5.315614617940199
1987-10,2.5876538604998136
1987-11,5.190872715475289
1987-12,4.504668144004068
1988-01,3.1409665801155877
1988-02,3.961482203803023
1988-03,4.263311668952358
1988-04,1.9783616692426582
1988-05,2.763030364401753
1988-06,2.419952719998881
1988-07,2.45410166613605
1988-08,2.4526323672582944
1988-09,2.551442273618559
1988-10,3.016941285681132
1988-11,2.302448615297055
1988-12,2.112861042268642
1989-01,2.5600855909212488
1989-02,2.935420743639922
1989-03,2.141908196187946
1989-04,1.9597657725727242
1989-05,2.53873193594584
1989-06,4.773822766036337
1989-07,2.233032937235824
1989-08,2.3157640815341938
1989-09,1.627969041900187
1989-10,3.3477430381019406
1989-11,2.5776232840393565
1989-12,2.9322665838123347
1990-01,2.6301946344029457
1990-02,2.6516846484031884
1990-03,2.4460944346536464
1990-04,3.2001980233030993
1990-05,2.477586779392608
1990-06,2.7029546090036356
1990-07,2.105723425310105
1990-08,1.9915249549140879
1990-09,4.373659019640205
1990-10,2.517898977514067
1990-11,3.2244738714341454
1990-12,2.7858009605031535
1991-01,3.1038298561442335
1991-02,2.2146480908476915
1991-03,1.9451863895017998
1991-04,3.5829343931593045
1991-05,5.3267543244834465
1991-06,2.3866909646699197
1991-07,2.5119866583281216
1991-08,3.7524443739760054
1991-09,3.0847803881511746
1991-10,3.29281837095437
1991-11,3.436645629455502
1991-12,3.4942820838627697
1992-01,2.301248811021448
1992-02,2.2666845195967786
1992-03,2.4273426300013035
1992-04,2.1132636772601945
1992-05,1.6574944750184164
1992-06,2.212985089697418
1992-07,1.5055954905578965
1992-08,3.1793407734233066
1992-09,1.7612753070999165
1992-10,2.1401145590734556
1992-11,2.805242584502185
1992-12,3.0831704015641446
1993-01,1.6302061421960456
1993-02,2.4897060231734174
1993-03,2.5084147075009278
1993-04,4.11522633744856
1993-05,2.8896915809947217
1993-06,4.132672105796407
1993-07,2.585739507597347
1993-08,2.6295188582669264
1993-09,2.9589339135164536
1993-10,2.4884464984002848
1993-11,4.702925866092262
1993-12,3.023431594860166
1994-01,2.451789334716394
1994-02,1.8465415363225584
1994-03,3.662563138215294
1994-04,2.53393665158371
1994-05,2.795986206468048
1994-06,3.274791690374136
1994-07,2.7363051910100418
1994-08,2.9946623634558094
1994-09,2.0844048618066644
1994-10,2.2584764337037107
1994-11,2.9114144894665674
1994-12,3.3422376840405046
1995-01,3.8813089084828216
1995-02,3.303509353884464
1995-03,3.4108091001793315
1995-04,2.651316585346184
1995-05,2.246771930447756
1995-06,2.345500754610967
1995-07,2.3483677517363986
1995-08,2.0596091663151976
1995-09,1.4593395471981134
1995-10,2.825734863365381
1995-11,2.1407449066598936
1995-12,2.340201891993733
1996-01,1.854935422364482
1996-02,2.90745386761706
1996-03,1.8748891535128833
1996-04,2.2188585778664556
1996-05,2.242560155160919
1996-06,2.1710866793734143
1996-07,2.5310946698124015
1996-08,2.5927887373670506
1996-09,3.3643786156812867
1996-10,2.163818211793153
1996-11,2.387402431934291
1996-12,2.170224519591209
1997-01,1.6311562085180102
1997-02,2.217561886031367
1997-03,2.2543408051673963
1997-04,1.4639317504921838
1997-05,2.749229662158422
1997-06,1.790020974673253
1997-07,2.435079362258047
1997-08,2.449331427129762
1997-09,1.7653992415716857
1997-10,1.217544820868718
1997-11,1.6230785179042153
1997-12,2.2104332449160036
1998-01,1.4012762976007875
1998-02,1.8073555166374782
1998-03,2.6170782362333282
1998-04,2.734637015633868
1998-05,1.3202808011850324
1998-06,2.3704982934041494
1998-07,1.9727304424421483
1998-08,1.847358121330724
1998-09,1.4722514722514723
1998-10,1.0421942572174385
1998-11,1.5756455770072462
1998-12,2.571475971907317
1999-01,1.6218523260776778
1999-02,1.4496924733245924
1999-03,1.4371291566470779
1999-04,1.6424879106219776
1999-05,1.4319138979878336
1999-06,1.6504710333061348
1999-07,0.9062398734559597
1999-08,1.9656337092338643
1999-09,1.277058109671775
1999-10,1.1867118318173966
1999-11,1.6276480906760222
1999-12,2.0812564492715606
2000-01,1.0817214824735364
2000-02,1.4948812913086928
2000-03,1.5794892044733388
2000-04,1.380274462268074
2000-05,1.5716530932990425
2000-06,2.888737031745045
2000-07,1.879580490270407
2000-08,2.4756808122233616
2000-09,1.5100683092221012
2000-10,1.8979487553836047
2000-11,3.5179453661162268
2000-12,1.7634420226207048
2001-01,1.6586109552091277
2001-02,1.7308315576794446
2001-03,1.6515213784495488
2001-04,1.2691183185961417
2001-05,2.1649615825444664
2001-06,1.7526377905456496
2001-07,1.2533167729915882
2001-08,1.3310464939175812
2001-09,2.498075976836023
2001-10,1.397749495079024
2001-11,1.453346817994531
2001-12,3.1314366093407235
2002-01,2.4120989700485382
2002-02,1.8658176978680099
2002-03,3.0328497825848655
2002-04,1.2833268446020967
2002-05,1.3783066518277545
2002-06,3.7608353335065967
2002-07,1.564245810055866
2002-08,1.9112915245618496
2002-09,1.673341439742975
2002-10,2.142875150211346
2002-11,1.430588585017836
2002-12,1.7666257448273797
2003-01,2.1431561322729173
2003-02,1.5325301867212784
2003-03,3.2695002335357315
2003-04,5.959084084084084
2003-05,1.5550970898949792
2003-06,1.847657646918584
2003-07,1.6600429078887209
2003-08,2.865329512893983
2003-09,4.055651541329453
2003-10,2.1726737870134336
2003-11,1.9346427219581952
2003-12,2.3474458121328388
2004-01,4.1952100260209235
2004-02,3.557386257255195
2004-03,5.065641161649649
2004-04,3.102399323112875
2004-05,2.8670389950448283
2004-06,3.5654318940320477
2004-07,3.7402244134648077
2004-08,2.2971718923523947
2004-09,1.7244841312025325
2004-10,2.478409242560006
2004-11,2.3475900520871544
2004-12,2.352338012877543
2005-01,2.8494973602372173
2005-02,2.883474517811319
