,negation_index
1980-01,1.4186386018161874
1980-02,1.454158894438093
1980-03,2.00305843330677
1980-04,1.9599795626062704
1980-05,2.3598296664300924
1980-06,1.0389678709049541
1980-07,1.6651086702500584
1980-08,1.8196175369931678
1980-09,1.853095206123271
1980-10,1.8544988088693422
1980-11,2.269840523121795
1980-12,1.9315431936791159
1981-01,1.8673862458692636
1981-02,2.3257060178982902
1981-03,1.6620335642530408
1981-04,1.0359898559326606
1981-05,1.0868774697169272
1981-06,0.9793769065547093
1981-07,1.073990383352164
1981-08,1.1007185716624235
1981-09,1.2608712164368996
1981-10,0.9511191306066614
1981-11,1.4270574027062333
1981-12,1.022445574064607
1982-01,1.1165470287626478
1982-02,0.8893570123184665
1982-03,1.1142314990512334
1982-04,1.3025746712722417
1982-05,1.1018985169529796
1982-06,1.8087045687592576
1982-07,2.9766038933978924
1982-08,1.4617269409946052
1982-09,1.3564737710724433
1982-10,1.240144648210535
1982-11,2.1009544853567093
1982-12,1.4353970059239067
1983-01,1.2361136240275017
1983-02,1.3471576762424782
1983-03,1.5258553870003322
1983-04,1.293123354731446
1983-05,1.0560459864504206
1983-08,1.152658580139633
1983-09,1.8004103040324457
1983-10,1.0288404857884546
1983-11,1.0459409445651298
1983-12,1.0604648721011118
1984-01,1.0142722596536986
1984-02,1.5350090154754852
1984-03,1.3009413940474643
1984-04,1.0400660011808267
1984-05,1.0750277380151654
1984-06,1.071367878174389
1984-07,1.5753981722819579
1984-08,2.113781857712284
1984-09,2.3104265402843605
1984-10,1.8332179085020575
1984-11,1.8672641912078531
1984-12,1.0338551146705497
1985-01,1.6999909934252004
1985-02,2.0386466017076406
1985-03,2.287118231028903
1985-04,1.9093078758949882
1985-05,2.143555369361821
1985-06,2.3350111856823266
1985-07,1.9167508482917606
1985-08,2.5680714838528105
1985-09,1.581634250994394
1985-10,2.2100294902988766
1985-11,2.2933434610496786
1985-12,1.7062449971211504
1986-01,1.9937197826845432
1986-02,2.111800044357444
1986-03,2.0506496113803885
1986-04,1.754073295875583
1986-05,3.0990949882120313
1986-06,2.5134064331692905
1986-07,2.310793259905207
1986-08,2.0131611404199785
1986-09,2.499593439621267
1986-10,2.0665255918529297
1986-11,1.9259807093772148
1986-12,1.733396777921283
1987-01,1.8832999720195434
1987-02,2.326805351652309
1987-03,2.120100848040339
1987-04,3.9744847890088324
1987-05,2.9454838656596074
1987-06,2.4760031204422885
1987-07,4.931294326241137
1987-08,4.334352359814062
1987-09,4.732668201586084
1987-10,2.55261809417168
1987-11,3.7424092642282165
1987-12,2.842587123449498
1988-01,2.8147006571202295
1988-02,2.4797506344221834
1988-03,2.179938338886986
1988-04,1.1016248967226658
1988-05,1.9772909130587166
1988-06,1.2755902218690534
1988-07,1.8031878375807504
1988-08,1.5378259272860815
1988-09,2.3327935889343254
1988-10,1.7694158381811933
1988-11,6.2302938579896585
1988-12,4.449395131179369
1989-01,1.9794035040791762
1989-02,2.3072938738993267
1989-03,2.1358368783922543
1989-04,2.634626212406115
1989-05,2.0023601486391485
1989-06,2.1123016075343615
1989-07,1.8145683919467726
1989-08,1.8165673261637927
1989-09,2.0945871458494105
1989-10,2.0579546586118767
1989-11,6.672836486032432
1989-12,5.190064563689762
1990-01,1.940048433376973
1990-02,4.081853616284106
1990-03,2.152476167062744
1990-04,2.5311099269661157
1990-05,1.474459484730354
1990-06,2.4375380865326015
1990-07,2.276651927797611
1990-08,1.375857522309912
1990-09,4.098951574697728
1990-10,3.526795982519359
1990-11,4.67573636243561
1990-12,1.9602987908051668
1991-01,2.021113115520812
1991-02,2.146116431830718
1991-03,2.2877241035856577
1991-04,3.6298372622960735
1991-05,4.346098445338499
1991-06,1.5769080587510886
1991-07,1.9173197887584514
1991-08,2.626564350826595
1991-09,3.3643063120794614
1991-10,2.353980435360902
1991-11,2.7222600313893244
1991-12,3.708745142135685
1992-01,2.7868460864718525
1992-02,1.1777579939164626
1992-03,1.9036740909956213
1992-04,1.4120701885883313
1992-05,1.8506122770405955
1992-06,2.151609356336568
1992-07,1.6471687850023367
1992-08,3.96143209507437
1992-09,2.403103966408003
1992-10,1.9170499676129782
1992-11,2.7423982367582704
1992-12,3.6488413116497105
1993-01,2.0062557265173298
1993-02,2.6303476358486035
1993-03,1.8176785384757335
1993-04,3.368148878984792
1993-05,1.4930011761192938
1993-06,1.7148295063740777
1993-07,1.1180240844577582
1993-08,1.2722548801704514
1993-09,1.9649771715887414
1993-10,1.617596474755269
1993-11,2.672010688042752
1993-12,3.542767886450327
1994-01,2.1661980919021064
1994-02,1.6320182260290477
1994-03,2.8748676047813584
1994-04,2.3357850793740953
1994-05,1.8357299808082774
1994-06,2.5844447751141466
1994-07,2.6747470213044533
1994-08,2.0115625247485545
1994-09,2.9134306677781168
1994-10,2.210696847647549
1994-11,3.5686308643049873
1994-12,2.8791542484395207
1995-01,2.170817097533477
1995-02,1.5170288473757785
1995-03,1.8710980196002147
1995-04,2.3695090597079638
1995-05,1.936515955207544
1995-06,1.652589056188028
1995-07,1.738066221351475
1995-08,1.493167561261226
1995-09,1.8973189899416598
1995-10,2.180758565587254
1995-11,3.5181355216047314
1995-12,1.9028850865943048
1996-01,1.7614072777883654
1996-02,2.576233078832732
1996-03,1.7425165866308894
1996-04,2.139342924429314
1996-05,1.8665712641353884
1996-06,1.9494049521277277
1996-07,1.4290726976937065
1996-08,1.7093334398338595
1996-09,2.562940071614282
1996-10,1.7873395409749646
1996-11,6.493470608065169
1996-12,1.9945386448079818
1997-01,1.7653029701222474
1997-02,1.4071345524877485
1997-03,1.7997399778658847
1997-04,1.5725456125108601
1997-05,1.9339313611853044
1997-06,1.8008837950725398
1997-07,2.7000176262278277
1997-08,1.7919698194556721
1997-09,1.515422938564851
1997-10,1.2159349607927543
1997-11,7.929805221936757
1997-12,1.7803315749811608
1998-01,1.1980987547629336
1998-02,1.314060446780552
1998-03,2.3729850483403006
1998-04,3.6714848013759798
1998-05,1.1401275320520043
1998-06,1.464922845049195
1998-07,2.0600089565606807
1998-08,1.397795325666437
1998-09,3.29044817808625
1998-10,1.5226844006778144
1998-11,1.9515941938113304
1998-12,3.2233153141053617
