,Correlation
Fed Words,0.0229684584347
w2v Words,0.5313354237864554
w2v Words Revised v3,0.1900337985102671
Vader Sentiment Score,0.21957035304709416
Vader Score x Fed Words,-0.02836353412249547
Vader Direction x Fed Words,-0.32030477976725036
TextBlob Score x Fed Words,-0.07237468005568318
TextBlob Direction x Fed Words,-0.2808323722473809
Afinn Score x Fed Words,-0.1612670840142402
Afinn Direction x Fed Words,-0.37476914654594606
Vader Score x w2v Words,0.06974155962121795
Vader Direction x w2v Words,-0.526356788860988
Textblob Score x w2v Words,-0.10485866949589692
Textblob Direction x w2v Words,-0.43571939647698965
Afinn Score x w2v Words,-0.20167174024194867
Afinn Direction x w2v Words,-0.5594019082816833
Vader Score x w2v Words Revised v3,-0.023005714071310423
Vader Direction x w2v Words Revised v3,-0.450224447840912
TextBlob Score x w2v Words Revised v3,-0.08874050020773848
TextBlob Direction x w2v Words Revised v3,-0.35755499018038633
Afinn Score x w2v Words Revised v3,-0.19102451079924299
Afinn Direction x w2v Words Revised v3,-0.49106481009817177
