,Correlation
Fed Words,0.33979600600086973
w2v Words,0.8337747825659592
w2v Words Revised v3,0.6257074001478462
Vader Sentiment Score,0.7019963548386985
Vader Score x Fed Words,0.4299062050114522
Vader Direction x Fed Words,-0.35191121860064434
TextBlob Score x Fed Words,-0.10969010314992468
TextBlob Direction x Fed Words,-0.3311538910688717
Afinn Score x Fed Words,-0.2151288844937895
Afinn Direction x Fed Words,-0.38244215548121513
Vader Score x w2v Words,0.6646373578725323
Vader Direction x w2v Words,-0.2908448283982088
Textblob Score x w2v Words,-0.09375534319311504
Textblob Direction x w2v Words,-0.2505238097790351
Afinn Score x w2v Words,-0.19577376832567683
Afinn Direction x w2v Words,-0.2269141285990828
Vader Score x w2v Words Revised v3,0.5600423433108408
Vader Direction x w2v Words Revised v3,-0.29961493053392585
TextBlob Score x w2v Words Revised v3,-0.09533335142962343
TextBlob Direction x w2v Words Revised v3,-0.2724762251118893
Afinn Score x w2v Words Revised v3,-0.19145529385416724
Afinn Direction x w2v Words Revised v3,-0.2628583034855075
