,Correlation
Fed Words,-0.17019228774558695
w2v Words,0.27326910624419126
w2v Words Revised v3,0.04759396769478423
Vader Sentiment Score,0.02237670892353691
Vader Score x Fed Words,-0.23161612597300185
Vader Direction x Fed Words,-0.5181344066015646
TextBlob Score x Fed Words,-0.22473207530446682
TextBlob Direction x Fed Words,-0.4014805739647423
Afinn Score x Fed Words,-0.20691326044348637
Afinn Direction x Fed Words,-0.532946667812788
Vader Score x w2v Words,-0.05918586886265045
Vader Direction x w2v Words,-0.7163701707656132
Textblob Score x w2v Words,-0.2502352544196648
Textblob Direction x w2v Words,-0.5755954171987322
Afinn Score x w2v Words,-0.23242698599820286
Afinn Direction x w2v Words,-0.7212842933578004
Vader Score x w2v Words Revised v3,-0.12117106046018827
Vader Direction x w2v Words Revised v3,-0.6414925022461488
TextBlob Score x w2v Words Revised v3,-0.2508868905511038
TextBlob Direction x w2v Words Revised v3,-0.4910070451869978
Afinn Score x w2v Words Revised v3,-0.22171734101073712
Afinn Direction x w2v Words Revised v3,-0.6617343605208648
