,Correlation
Fed Words,-0.0689561126603209
w2v Words,0.6565561128227156
w2v Words Revised v3,0.37518857475399237
Vader Sentiment Score,0.5481836895669161
Vader Score x Fed Words,0.09921099298746174
Vader Direction x Fed Words,-0.32390302338167454
TextBlob Score x Fed Words,-0.20097273341803193
TextBlob Direction x Fed Words,-0.32755611988713557
Afinn Score x Fed Words,-0.2630910576849693
Afinn Direction x Fed Words,-0.4446959479862294
Vader Score x w2v Words,0.45642806482169546
Vader Direction x w2v Words,-0.4276699597360348
Textblob Score x w2v Words,-0.2746979966625703
Textblob Direction x w2v Words,-0.330761907389112
Afinn Score x w2v Words,-0.271998461958536
Afinn Direction x w2v Words,-0.4666370457640617
Vader Score x w2v Words Revised v3,0.32410876781912096
Vader Direction x w2v Words Revised v3,-0.39059168427942054
TextBlob Score x w2v Words Revised v3,-0.237433304246521
TextBlob Direction x w2v Words Revised v3,-0.31286713982395914
Afinn Score x w2v Words Revised v3,-0.26178352044766534
Afinn Direction x w2v Words Revised v3,-0.4598553460381734
