,Correlation
Fed Words,0.3528707633820076
w2v Words,0.8588538604699584
w2v Words Revised v3,0.6426332259155553
Vader Sentiment Score,0.851383059741982
Vader Score x Fed Words,0.5873621722508332
Vader Direction x Fed Words,-0.22746117938547536
TextBlob Score x Fed Words,-0.08609598184004118
TextBlob Direction x Fed Words,-0.06792692776647549
Afinn Score x Fed Words,-0.035193688547177394
Afinn Direction x Fed Words,-0.1588978545621857
Vader Score x w2v Words,0.795937913568511
Vader Direction x w2v Words,-0.13796559547771445
Textblob Score x w2v Words,-0.024801782247727625
Textblob Direction x w2v Words,0.08917097078058472
Afinn Score x w2v Words,0.006124202137993661
Afinn Direction x w2v Words,0.13802111089686636
Vader Score x w2v Words Revised v3,0.6816345908763043
Vader Direction x w2v Words Revised v3,-0.20160973643701127
TextBlob Score x w2v Words Revised v3,-0.06274326515121917
TextBlob Direction x w2v Words Revised v3,-0.010499908262674142
Afinn Score x w2v Words Revised v3,-0.013923891342460755
Afinn Direction x w2v Words Revised v3,0.010158303765258773
