,Correlation
Fed Words,0.48945899784197333
w2v Words,0.8386894086570792
w2v Words Revised v3,0.6298999327653186
Vader Sentiment Score,0.7821096534683216
Vader Score x Fed Words,0.4703829457329165
Vader Direction x Fed Words,-0.04916049028362269
TextBlob Score x Fed Words,-0.047234277504390326
TextBlob Direction x Fed Words,-0.0019084330424240688
Afinn Score x Fed Words,-0.06723663130107721
Afinn Direction x Fed Words,-0.029001112292242566
Vader Score x w2v Words,0.680366078534988
Vader Direction x w2v Words,-0.054931032214985034
Textblob Score x w2v Words,-0.012906454983884286
Textblob Direction x w2v Words,0.0486458249329312
Afinn Score x w2v Words,-0.05382542592705244
Afinn Direction x w2v Words,-0.01616915772194251
Vader Score x w2v Words Revised v3,0.5363941424941615
Vader Direction x w2v Words Revised v3,-0.09396933804026215
TextBlob Score x w2v Words Revised v3,0.031318091583406135
TextBlob Direction x w2v Words Revised v3,0.02158142850451029
Afinn Score x w2v Words Revised v3,-0.07287123884004183
Afinn Direction x w2v Words Revised v3,-0.07502055786991112
