,Correlation
Fed Words,0.11999610019374347
w2v Words,0.6586122321581793
w2v Words Revised v3,0.4371272984237733
Vader Sentiment Score,0.4229650726560001
Vader Score x Fed Words,0.11311416110342631
Vader Direction x Fed Words,-0.16123344577292742
TextBlob Score x Fed Words,-0.12879505628157048
TextBlob Direction x Fed Words,-0.14897713556911013
Afinn Score x Fed Words,-0.09803954922072002
Afinn Direction x Fed Words,-0.22340941915248216
Vader Score x w2v Words,0.2997577504411583
Vader Direction x w2v Words,-0.2383389332556859
Textblob Score x w2v Words,-0.17924956998263764
Textblob Direction x w2v Words,-0.23707411341101642
Afinn Score x w2v Words,-0.143024224113415
Afinn Direction x w2v Words,-0.3079141294225579
Vader Score x w2v Words Revised v3,0.2037120473266358
Vader Direction x w2v Words Revised v3,-0.19627753444740556
TextBlob Score x w2v Words Revised v3,-0.1411898109618761
TextBlob Direction x w2v Words Revised v3,-0.19363866930979093
Afinn Score x w2v Words Revised v3,-0.12603505254455805
Afinn Direction x w2v Words Revised v3,-0.26111140723196763
