,Correlation
Fed Words,0.05915362190551444
w2v Words,0.5791028356638426
w2v Words Revised v3,0.3107569245373526
Vader Sentiment Score,0.42284067615912774
Vader Score x Fed Words,0.07922696646573239
Vader Direction x Fed Words,-0.32472072079989633
TextBlob Score x Fed Words,-0.1529383542376001
TextBlob Direction x Fed Words,-0.26864366447531685
Afinn Score x Fed Words,-0.12223113865315899
Afinn Direction x Fed Words,-0.33755345720255203
Vader Score x w2v Words,0.2995420944820584
Vader Direction x w2v Words,-0.37849395178174666
Textblob Score x w2v Words,-0.14355707493854036
Textblob Direction x w2v Words,-0.36766507014442656
Afinn Score x w2v Words,-0.13947960306205504
Afinn Direction x w2v Words,-0.43826489357764253
Vader Score x w2v Words Revised v3,0.17661905701500322
Vader Direction x w2v Words Revised v3,-0.2950358452208903
TextBlob Score x w2v Words Revised v3,-0.1112140462245322
TextBlob Direction x w2v Words Revised v3,-0.2928182753790476
Afinn Score x w2v Words Revised v3,-0.10970186425035644
Afinn Direction x w2v Words Revised v3,-0.35728246210017317
