,Correlation
Fed Words,-0.014155839774974519
w2v Words,0.4824337608022122
w2v Words Revised v3,0.23142419434773018
Vader Sentiment Score,0.18709382361486232
Vader Score x Fed Words,-0.11416670765437636
Vader Direction x Fed Words,-0.4798870726396768
TextBlob Score x Fed Words,-0.20366563436085997
TextBlob Direction x Fed Words,-0.351825586396203
Afinn Score x Fed Words,-0.21036226767900004
Afinn Direction x Fed Words,-0.5007088478862977
Vader Score x w2v Words,0.11047844922552721
Vader Direction x w2v Words,-0.6211163848299907
Textblob Score x w2v Words,-0.24938072684121032
Textblob Direction x w2v Words,-0.46554674262280954
Afinn Score x w2v Words,-0.23234641615321414
Afinn Direction x w2v Words,-0.6320743691762072
Vader Score x w2v Words Revised v3,0.023236933002019275
Vader Direction x w2v Words Revised v3,-0.5282578247764703
TextBlob Score x w2v Words Revised v3,-0.20281208874354306
TextBlob Direction x w2v Words Revised v3,-0.39056069974616303
Afinn Score x w2v Words Revised v3,-0.20920685518901289
Afinn Direction x w2v Words Revised v3,-0.5473408025842865
