,Correlation
Fed Words,0.1423545280656294
w2v Words,0.8274082824617036
w2v Words Revised v3,0.5759702908958312
Vader Sentiment Score,0.7459981950957698
Vader Score x Fed Words,0.31116550784958197
Vader Direction x Fed Words,-0.24529703494745497
TextBlob Score x Fed Words,-0.13346295567015456
TextBlob Direction x Fed Words,-0.14425380716034242
Afinn Score x Fed Words,-0.1253743015810786
Afinn Direction x Fed Words,-0.20883364024406348
Vader Score x w2v Words,0.6648168818721398
Vader Direction x w2v Words,-0.20663083255383516
Textblob Score x w2v Words,-0.09296280310152134
Textblob Direction x w2v Words,0.044151989422278846
Afinn Score x w2v Words,-0.10887590992910608
Afinn Direction x w2v Words,0.0566682974479455
Vader Score x w2v Words Revised v3,0.5089592390149629
Vader Direction x w2v Words Revised v3,-0.20386178671473068
TextBlob Score x w2v Words Revised v3,-0.10689357157558209
TextBlob Direction x w2v Words Revised v3,-0.029398544897696992
Afinn Score x w2v Words Revised v3,-0.10587567300431494
Afinn Direction x w2v Words Revised v3,-0.009988670763849981
