,Correlation
Fed Words,0.0161896088142341
w2v Words,0.5833527112448307
w2v Words Revised v3,0.2974962694954032
Vader Sentiment Score,0.42214476642368143
Vader Score x Fed Words,0.1279740474849271
Vader Direction x Fed Words,-0.46802074064932864
TextBlob Score x Fed Words,-0.11898605971642345
TextBlob Direction x Fed Words,-0.2355686677514506
Afinn Score x Fed Words,-0.3298917392084126
Afinn Direction x Fed Words,-0.4767656284526063
Vader Score x w2v Words,0.3054946845007774
Vader Direction x w2v Words,-0.6060514960011724
Textblob Score x w2v Words,-0.16404839780157304
Textblob Direction x w2v Words,-0.3526302040412498
Afinn Score x w2v Words,-0.3280137366862472
Afinn Direction x w2v Words,-0.588411952089054
Vader Score x w2v Words Revised v3,0.1870530110733495
Vader Direction x w2v Words Revised v3,-0.5699569504930206
TextBlob Score x w2v Words Revised v3,-0.17962213197788587
TextBlob Direction x w2v Words Revised v3,-0.32185364063807065
Afinn Score x w2v Words Revised v3,-0.322752208465347
Afinn Direction x w2v Words Revised v3,-0.5625595595750589
