,Correlation
Fed Words,0.19384635994586238
w2v Words,0.7573944491699435
w2v Words Revised v3,0.5078008793026865
Vader Sentiment Score,0.45838266185586524
Vader Score x Fed Words,0.1342675466371376
Vader Direction x Fed Words,-0.25912450646751384
TextBlob Score x Fed Words,-0.10389210320319092
TextBlob Direction x Fed Words,-0.15789395725914068
Afinn Score x Fed Words,-0.17646065629387547
Afinn Direction x Fed Words,-0.2602259114225134
Vader Score x w2v Words,0.4188877490228167
Vader Direction x w2v Words,-0.2974822054987134
Textblob Score x w2v Words,-0.10814827631584775
Textblob Direction x w2v Words,-0.14821902541817392
Afinn Score x w2v Words,-0.17843205199895404
Afinn Direction x w2v Words,-0.23865241677762278
Vader Score x w2v Words Revised v3,0.3202032148910931
Vader Direction x w2v Words Revised v3,-0.2723145568399759
TextBlob Score x w2v Words Revised v3,-0.1123626071121337
TextBlob Direction x w2v Words Revised v3,-0.14169853355496065
Afinn Score x w2v Words Revised v3,-0.1700497993891566
Afinn Direction x w2v Words Revised v3,-0.22417381727266694
