,Correlation
Fed Words,0.3566159481449173
w2v Words,0.8120471683700468
w2v Words Revised v3,0.6117980791114788
Vader Sentiment Score,0.5864435583555815
Vader Score x Fed Words,0.29953388903432715
Vader Direction x Fed Words,-0.2274522359690778
TextBlob Score x Fed Words,-0.0765249956233986
TextBlob Direction x Fed Words,-0.16244603539446206
Afinn Score x Fed Words,-0.0824874640766414
Afinn Direction x Fed Words,-0.2485147635417832
Vader Score x w2v Words,0.5489664745709448
Vader Direction x w2v Words,-0.24075278378657478
Textblob Score x w2v Words,-0.10949854821043183
Textblob Direction x w2v Words,-0.17601475168898026
Afinn Score x w2v Words,-0.11158179880458916
Afinn Direction x w2v Words,-0.28160182047698723
Vader Score x w2v Words Revised v3,0.42129058750243104
Vader Direction x w2v Words Revised v3,-0.22877601822888205
TextBlob Score x w2v Words Revised v3,-0.1034997400205591
TextBlob Direction x w2v Words Revised v3,-0.17333183084900494
Afinn Score x w2v Words Revised v3,-0.10135033863209811
Afinn Direction x w2v Words Revised v3,-0.26115874126619165
