,Correlation
Fed Words,-0.005272086609989473
w2v Words,0.3794975520526431
w2v Words Revised v3,0.0686363134831026
Vader Sentiment Score,-0.137146602055446
Vader Score x Fed Words,-0.11145041554429726
Vader Direction x Fed Words,-0.48664398585659513
TextBlob Score x Fed Words,-0.16589973480702763
TextBlob Direction x Fed Words,-0.2921755636790019
Afinn Score x Fed Words,-0.21499771828233502
Afinn Direction x Fed Words,-0.5065513186767905
Vader Score x w2v Words,-0.0008274071868245705
Vader Direction x w2v Words,-0.6863960302941142
Textblob Score x w2v Words,-0.2732223252996865
Textblob Direction x w2v Words,-0.5155795009183215
Afinn Score x w2v Words,-0.2805516279758549
Afinn Direction x w2v Words,-0.692430598805966
Vader Score x w2v Words Revised v3,-0.07374659668742849
Vader Direction x w2v Words Revised v3,-0.6244517324564332
TextBlob Score x w2v Words Revised v3,-0.20607874300040904
TextBlob Direction x w2v Words Revised v3,-0.4414125358969411
Afinn Score x w2v Words Revised v3,-0.2536054638698541
Afinn Direction x w2v Words Revised v3,-0.6234218329601173
