,Correlation
Fed Words,0.21660977104637857
w2v Words,0.6952213422533773
w2v Words Revised v3,0.4360004036594734
Vader Sentiment Score,0.5382929560400618
Vader Score x Fed Words,0.3252310098324317
Vader Direction x Fed Words,-0.23626613516685463
TextBlob Score x Fed Words,0.047290057340588984
TextBlob Direction x Fed Words,-0.07412963439212801
Afinn Score x Fed Words,-0.29400444524468283
Afinn Direction x Fed Words,-0.23142777529128086
Vader Score x w2v Words,0.5535256744007253
Vader Direction x w2v Words,-0.427693400067245
Textblob Score x w2v Words,-0.0202371792295766
Textblob Direction x w2v Words,-0.08394200634502538
Afinn Score x w2v Words,-0.3023038957850495
Afinn Direction x w2v Words,-0.2794867006877201
Vader Score x w2v Words Revised v3,0.4307614172733204
Vader Direction x w2v Words Revised v3,-0.3899828558952197
TextBlob Score x w2v Words Revised v3,-0.0011292600217528098
TextBlob Direction x w2v Words Revised v3,-0.11079080900504538
Afinn Score x w2v Words Revised v3,-0.29223140303453005
Afinn Direction x w2v Words Revised v3,-0.261247951849661
