,Correlation
Fed Words,0.4008620482654068
w2v Words,0.8547520946714441
w2v Words Revised v3,0.6826815823130437
Vader Sentiment Score,0.8138478909457413
Vader Score x Fed Words,0.4210387563300857
Vader Direction x Fed Words,-0.0329224283025025
TextBlob Score x Fed Words,-0.09072331578854546
TextBlob Direction x Fed Words,-0.09478551917784285
Afinn Score x Fed Words,-0.05979089822246152
Afinn Direction x Fed Words,-0.06587390042847342
Vader Score x w2v Words,0.7243688840763746
Vader Direction x w2v Words,0.03512781431387865
Textblob Score x w2v Words,-0.07932988884606199
Textblob Direction x w2v Words,-0.0777782714415841
Afinn Score x w2v Words,-0.027421331448460796
Afinn Direction x w2v Words,0.015179268794779101
Vader Score x w2v Words Revised v3,0.5870404715837113
Vader Direction x w2v Words Revised v3,0.02244342589619189
TextBlob Score x w2v Words Revised v3,-0.049971952207113396
TextBlob Direction x w2v Words Revised v3,-0.06344485640345933
Afinn Score x w2v Words Revised v3,-0.04336833945453976
Afinn Direction x w2v Words Revised v3,-0.002750087417532439
