,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,num_docs
1987-09,[0.03771661670017627],[5.557816666623693e-05],[0.04593352261664612],[0.004774618695591926],[0.0007723999162538217],[0.002793215689572597],[0.003462764691578611],[0.0007366070873493819],[0.0006020311338293789],[0.0033362331771838527],[5.557816666623693e-05],[5.557816666623693e-05],[0.0012946831400638206],[0.0006111449063480125],[0.0716711703155722],[0.0011230089300105258],[0.04752299451008314],[0.004257428256031355],[0.0004920982141162053],[0.0017720359866351437],[0.0002922190813998375],[0.002917970073537747],[0.0025833129896974632],[0.00025727895893266705],[0.0008720027507089464],[0.0026029088702281505],[0.0014102057980380778],[0.0007388727640318393],[0.0020465490351853064],[0.0011943617319047917],[0.005705577152834198],[0.028183537350871896],[0.0007801372071948466],[0.00417292812094924],[0.005417496868436241],[0.0029051629117020634],[0.0005646495122034269],[0.005654947767587665],[0.0022133310425748016],[0.002055954591534308],[0.0018759464464892517],[5.557816666623693e-05],[5.557816666623693e-05],[0.010269446757774858],[0.0006846157970617889],[0.011479405228653506],[0.02226885715832136],[0.0015285887233663482],[0.020990083592810797],[0.008362053350538187],[0.013932022355090471],[0.0007958700652384972],[0.01093691470681993],[0.03745774728512126],[0.007125937767861095],[0.0002085807132061745],[0.013701694776760372],[0.0023073913524578006],[5.557816666623693e-05],[0.0002697249973867396],[0.008538999625670838],[0.001466029173960643],[0.00013733966794201734],[0.0470498970576695],[0.0008153378068657599],[0.015054248279609184],[0.1303841947977032],[0.00347445749126304],[0.0008093085537309109],[0.0006857148971773443],[0.0011248981317554091],[0.025678328114866283],[0.01449894432685791],[0.005182646131093601],[0.009980234389201672],[0.002783664589644883],[0.0010686008388672364],[5.557816666623693e-05],[0.003763761994313037],[0.036095998815393875],[0.0051050734817051436],[0.0006334485877102582],[0.004047689046793883],[0.0007725463999902006],[0.00021725507908091198],[0.0025963829891354952],[0.001720820777206557],[5.557816666623693e-05],[0.0006648566997812719],[0.0011460812599710024],[0.08824210007592878],[0.0026162126450149765],[0.010195305256079987],[0.05928912110961652],[0.00032806154786158004],[0.001162322100818918],[0.0007827220243338419],[0.006702255937982824],[0.029164836510517485],[0.00993881857409308],14
1987-10,[0.025139896057882853],[0.00011636906452218276],[0.04282334788391988],[0.00513001944394394],[0.00047280238949396234],[0.0038124700228965793],[0.0014124726469870235],[0.00016817942539799132],[0.0024669569543726132],[0.00483296806942235],[2.8540615049779357e-05],[0.003929086402523455],[2.8540615049779357e-05],[0.001069883568056361],[0.066799281336393],[0.00013661539909056347],[0.032624277089174335],[0.001405379248151601],[0.0008175345646527099],[0.0011636496809236025],[2.8540615049779357e-05],[0.05730938973420052],[0.002681315975931082],[0.00011437987334122427],[0.00030847263380767085],[0.0018170300002364253],[0.00041369002191357944],[0.00020070550954187638],[0.00017403911376984778],[0.001520970631493886],[0.0073857364734269335],[0.027179096548227078],[0.0003877543932099393],[0.019278984553542003],[0.0028843003380340324],[0.0024877343906963586],[0.0035323063602845646],[0.02364147600453887],[0.0014593532736297571],[0.000156969065907712],[0.0013808299396866155],[0.00044172160040842654],[2.8540615049779357e-05],[0.006607219514484719],[0.002024141078840734],[0.010372214621282993],[0.021761605878257092],[0.0009991614744851377],[0.014315523931549657],[0.00019241812560721883],[0.0020214633336258377],[0.0003142563780076873],[0.002624495193079686],[0.03554291666174928],[0.007347092106960594],[0.0007132283190508638],[0.007372396102204625],[0.00018783752097483047],[0.0018179806344657357],[0.0006051009460558514],[0.00680534207731398],[0.0028178561403061995],[0.00021016886421421074],[0.03465778489286701],[0.0007637866103525286],[0.01188070938304817],[0.13263695459398958],[0.0010716921397539005],[0.00025544481660391374],[0.0014252650195077066],[0.002047619849892927],[0.01970496214794872],[9.142544447766137e-05],[0.0050354101087779985],[0.009333144686934245],[0.0014190060867602168],[0.001603690528453525],[0.0005672681357585436],[0.04027279210590171],[0.03898106230836775],[0.002196964109569105],[0.0004556111688442696],[0.0018485986610762158],[9.925921904141433e-05],[0.0006998629429391357],[0.0022724498332738425],[0.000285359254424596],[0.0002155492968288147],[0.0003151030979703743],[0.0013688416936222182],[0.088956322417491],[0.00226133711905479],[0.007362206364986277],[0.0760428033025467],[0.0004287714774970178],[0.0007323004334062313],[0.002535137498651036],[0.0023258768688315793],[0.011143496765523904],[0.022862108769509684],18
1987-11,[0.00954520703877885],[0.004188671798298553],[0.037613159045577056],[0.007187217136712814],[0.0012552800467346972],[0.002267499231038528],[0.00022771176766885526],[2.891917044204699e-05],[0.004204315109291203],[0.004126914241017706],[0.00029190253553679213],[0.008808825697542492],[2.891917044204699e-05],[0.0007101644794905346],[0.07959006261080502],[2.891917044204699e-05],[0.03379520257779707],[0.0005432238131106717],[0.0011325312512629657],[0.000898342290611254],[0.0002744844791019811],[0.002256187475798773],[0.00422053903048436],[0.002163669323635986],[0.0014856365604221835],[0.00195913482927305],[0.002067235983986393],[0.0009836718230265737],[0.0014596238449181935],[0.0011919052206697722],[0.02794110066831005],[0.027180942261414515],[0.0016172378623195984],[0.015629979307808153],[0.0031713797137247948],[0.0038401100102873897],[0.030948560498776107],[0.007711701873934849],[0.00043149871741358464],[0.023880805617181977],[0.0019030896788384177],[2.891917044204699e-05],[0.00034684288251204037],[0.0019417059013449036],[0.0007201682121073342],[0.007537020344140428],[0.017801538101442325],[0.0008188188563356865],[0.022215529733027022],[0.0010893406348865635],[0.027678688966868023],[0.0011549609495583961],[0.004205050327679299],[0.057532606801639],[0.009315567568440505],[9.213370147638973e-05],[0.007872150536362216],[0.0006843255584196112],[0.0005914021489085524],[0.00027974494150839746],[0.01735304957727143],[0.004579143018569691],[2.891917044204699e-05],[0.04771489479268591],[0.0005337740280992875],[0.009045545548663846],[0.14492817285160223],[0.0036907351318404844],[0.0005947474434530403],[2.891917044204699e-05],[0.0001918430798468762],[0.018985645049118226],[0.01869756801465883],[0.0032955682905443],[0.013971178039203851],[0.003419598922467533],[0.00026918020815476973],[2.891917044204699e-05],[0.0006266736257506033],[0.04005217785015703],[0.0037648259008922955],[0.00038340089182990295],[0.003373833133840284],[0.004615310981686586],[2.891917044204699e-05],[0.005277865796642801],[0.0022170716438267846],[0.00019869447260134626],[0.000550846994277284],[0.0130973554312277],[0.06254018094326359],[0.0010756835620971594],[0.009918447444988487],[0.012002417058511128],[0.0005695571280739389],[0.00046805026560529483],[0.00017996014109182096],[0.011547257760109158],[0.0073744866293357835],[0.012081580457561358],12
1987-12,[0.03574320234780318],[0.005854233948557522],[0.04280330636800499],[0.003875102343954495],[0.000985793857180397],[0.0022481389474705788],[0.0015248738368245532],[0.0004106396037241211],[0.0011854708652754196],[0.00240350204094284],[3.007459185027983e-05],[0.0022262757945281917],[0.00018896497138484847],[0.0006244076311122627],[0.0634514399737236],[3.007459185027983e-05],[0.02451810439786641],[0.0014765242967405355],[0.001142627017070481],[0.0022824367129214806],[0.00020610849889635575],[0.010902285483534797],[0.004822504353724071],[0.0007958476812927984],[0.00235333393640758],[0.00025024296686751766],[0.0015489806671030238],[0.0024431957157139547],[0.0017811083289052477],[0.002856158955619321],[0.034215384932795134],[0.02703058332204819],[0.0003777750354856835],[0.004295930656116981],[0.0015160275628295491],[0.002693405890240683],[0.06146606101716317],[0.006762758869517711],[0.001410106623843603],[0.011619487626085176],[0.0020258440835095822],[0.00032798516360344366],[0.010351562360774554],[0.004745282187250267],[0.0006487307045608759],[0.008935360238392602],[0.020534942975209556],[0.0009872393590922002],[0.0169866042144713],[0.02434263445946271],[0.004207705194203298],[0.0007757153515194658],[0.0024449911977717413],[0.05639179582329234],[0.006383447126936517],[0.000800054314859153],[0.010201756554379243],[0.0004797136600245722],[0.000567006366327405],[0.00013488366130332],[0.0020778111715117112],[0.0026606366938722206],[0.001157686429578461],[0.04481609165668486],[0.0010679570863430853],[0.014299012686533384],[0.12831600385630737],[0.0020550981023916386],[0.00040701658486796076],[0.004266786352018244],[0.0014224537292830066],[0.014181452844495653],[0.027818723997479533],[0.005878507358283968],[0.017707458781806056],[0.0033441065224178597],[0.0009234323284181302],[0.00024608422958408475],[0.004598371471292921],[0.03671767466963502],[0.0005335676570030046],[0.0017204778984887524],[0.00406915491548716],[0.02180278774278122],[0.0005958742228540359],[0.0028273215604713176],[0.0012390182006856776],[0.0003597595921019092],[0.0015185192636636197],[0.0012173509643980652],[0.04743166722357272],[0.002193956758455896],[0.0030358448883998778],[0.030717196481346038],[0.0005903298287739746],[0.00037767208479635886],[0.0007429166036308743],[0.005887908967924887],[0.0037642648176915827],[0.010786303319109718],25
1988-01,[0.01749459196414591],[0.006176940907937477],[0.0417680448386818],[0.004789951888142241],[0.000657639386588471],[0.003064959977558601],[0.0039768554511908855],[5.8298575197568405e-05],[0.0014789348225519915],[0.004208823687849872],[2.7959317975501108e-05],[0.0011058782647523915],[0.0006191568438850935],[0.00033404877798943734],[0.08784656180068852],[0.0004930969522035868],[0.028938805357120147],[0.0007806498887134693],[0.0016698716265523214],[0.0016789349409009446],[0.00010128046698696383],[0.022150048337715594],[0.004200798251326887],[0.0003224684597341819],[0.0006222442499563385],[0.0016159780890006908],[0.0007901035979500648],[0.0017569069377202599],[0.005414036985405345],[0.002365534623527309],[0.0019977554872127714],[0.01991210151527411],[0.0005025694526011649],[0.0027382488665807607],[0.005007978193395956],[0.002535598552259443],[0.09692272075065486],[0.0030854774005263145],[0.00409751793590658],[0.011791579165583243],[0.0024509485868975394],[0.00011195427600227954],[0.002468192760551346],[0.003767118175949235],[0.0007485268947391429],[0.0054482349848967715],[0.01612143224078863],[0.0010308042585393195],[0.01663478894588479],[0.0023873352521718507],[0.0010599206808763026],[0.0005873860535189121],[0.004295044239961499],[0.04680884731405965],[0.009048067736148364],[0.0006754258374598975],[0.011270612504404193],[0.0003898799769046945],[0.0008718947726208626],[0.0004273334336346577],[0.008116401744666745],[0.002340354280227074],[0.0026903478038718728],[0.046110119344666585],[0.0010141110397512418],[0.012608256379371598],[0.11834381274311453],[0.0020176070450361287],[0.0002081844434258073],[0.0023313464316686355],[0.00044247790953590984],[0.011444130562949791],[0.011149779450897764],[0.004472618270489189],[0.011975520731311917],[0.0005841599823384056],[0.0007761446682877703],[8.603219834526498e-05],[0.03566005796254785],[0.03508468412110232],[0.0015388185361700833],[0.0012548501895139452],[0.002144675008776175],[0.0019382997834952675],[0.00033156253887796084],[0.002821258541496263],[0.0007736660248497172],[0.0007407557203066516],[0.0027094914230474383],[0.00705196654946576],[0.0767609043890843],[0.0027455807567093866],[0.007971424833260696],[0.02520390639418224],[0.0004279094822663864],[0.002175769241580382],[0.0014885147473194138],[0.006832198896290718],[0.015079823641264057],[0.01084777892015154],40
1988-02,[0.02095988382431998],[7.672681901923443e-05],[0.04158898148845132],[0.004662814262385084],[0.00026338079626087995],[0.0020991753130661173],[0.0019830884579594404],[0.0006671489977436621],[0.0010726985876277943],[0.0036816796771191817],[0.0002727347808143785],[0.006225158924122378],[0.0002506294138030447],[0.00011360001373917761],[0.06936748215688883],[0.0008908511091921475],[0.02457176946281043],[0.0018456234411528187],[0.000885625391239718],[0.0020255552470821968],[0.0005244786669446393],[0.0279862089494837],[0.0019801816272023566],[0.00022607226377579576],[0.00014768731465585955],[0.0014547003208028161],[0.0009265319730057735],[0.0006304584093334638],[0.002571972816143818],[0.001560502600113978],[0.04683241271791501],[0.019778241844466284],[0.00035129937866614733],[0.015633185433157254],[0.0037802400021934336],[0.0020521993148933052],[0.05242042433648115],[0.0035966595357184938],[0.0020187670183986484],[0.00964382862265784],[0.0020965551628685953],[0.00039270538123357425],[0.008755747558414281],[0.0019850224822498008],[0.0005627197427439451],[0.009622106625714798],[0.022943349055308117],[0.000737098294987094],[0.013794711454465869],[0.008217528832574315],[0.000647006040767535],[0.0007940846027415081],[0.004394613452088537],[0.047757068993118795],[0.008571728266894712],[0.0003963272732740418],[0.01368429613231732],[0.00030275091862479354],[0.01106273245299551],[0.00036947840839196067],[0.01234800070120479],[0.001694119013277289],[0.0003222913371206707],[0.044526161059089325],[0.0003878977944346528],[0.012033408944262193],[0.13056934272627466],[0.0010100112115888687],[0.0002871374700668599],[0.00045827006336011163],[0.00022898473901517246],[0.010313646328580468],[0.002245382370386759],[0.002735538182585752],[0.009003583358010115],[0.002715166092200335],[0.00037061318866819977],[0.00021589576760522067],[0.02654804853231642],[0.039456584936250795],[0.0008204571146922283],[0.0009534945152154249],[0.0022617286892415464],[0.010371835273061783],[0.00048081532735443994],[0.002017162016450722],[0.00043882613845594085],[0.0005667985318051133],[0.0016891439116910123],[0.0006476819444485402],[0.0701314881064362],[0.00247937877902191],[0.006445960095136441],[0.046620144791592356],[0.0012452448633627241],[0.00046538157745168945],[0.0003935306650695882],[0.003848949232673002],[0.0031599870191079704],[0.01278361849063003],46
1988-03,[0.029217351556932655],[0.006036983820043436],[0.04036159965520105],[0.0034648566540151165],[0.0001913700156364939],[0.0007137626619320751],[0.005415554564024204],[0.0003009770456931921],[0.0008888122937302493],[0.0025843810728777804],[0.0008039990304496315],[0.0029646429406056988],[0.0005007066009663202],[0.0003941032896667213],[0.08995060443606537],[0.00029904685188739675],[0.020204084554279682],[0.00016890218378951729],[0.0007637774271339972],[0.0022205543677349237],[4.190837986849753e-05],[0.0039542349013875835],[0.001969712479452331],[0.0003204468958453314],[0.0008367870522912805],[0.00039375456526613556],[0.0012452242437878643],[0.002548745548271351],[0.00270650918261405],[0.000796704451052695],[0.01837320431898964],[0.017796279074961296],[0.0020109606351979884],[0.016459139562569666],[0.002483462948718321],[0.0018016179449053499],[0.08700450668426733],[0.008297505122785272],[0.001388447863003724],[0.0020002093434110667],[0.0029735045406293157],[0.00012260832745596416],[0.0024403216199971206],[0.00169806003453535],[0.0021363117534444116],[0.008241990501119288],[0.02390321137475742],[0.0008660461116051009],[0.01607893956036908],[0.0037335015947367834],[0.0003726464316969213],[0.0006319443972643056],[0.005713928256864163],[0.043914956483119265],[0.008083909486049378],[0.0014540729861740444],[0.016771195725686992],[0.00020134972413264518],[0.014242226601800212],[4.190837986849753e-05],[4.190837986849753e-05],[0.0012307550386140066],[0.0013035132818913556],[0.04700140780187211],[0.000460086376157657],[0.009516783949584351],[0.1250577220092358],[0.0015828262265131343],[0.0002252397634038061],[0.004199258202424972],[0.0009467892737726893],[0.013504671579782251],[0.0034780569812028254],[0.004256656813837858],[0.012066323378712699],[0.0016570835653207418],[0.00043714499624911694],[0.0016460259808809491],[0.023099549144959985],[0.043487157042545715],[0.0014223809705375364],[0.0015594462413901053],[0.00232384000522264],[0.02820674729358263],[0.00018370221784304395],[0.00235899235015798],[0.0005038622619395026],[0.001317411685552846],[0.0007270224052566241],[0.0012149809397366575],[0.06985489005843801],[0.0031814565274241127],[0.004457251987939039],[0.03571941832333323],[0.0010658987710788397],[0.003545820632098184],[0.0002340875442314427],[0.0019335227895680871],[0.0011870306932905805],[0.010305214442602543],30
1988-04,[0.02423278738849778],[0.0033901228725881087],[0.027241215616343722],[0.006261111872915465],[0.003166927138478898],[0.008778578714974665],[0.014490575332344562],[0.002540284892697505],[0.015768545275792488],[0.0013131007336386782],[7.288051123256223e-05],[0.022711957480658802],[0.0007031428831396624],[0.0006417787490835717],[0.10850373152732994],[0.002322018007012397],[0.04853636248243184],[0.0006168972127992535],[7.288051123256223e-05],[0.0053501318017459614],[0.0004286904712409103],[0.0015551728268362172],[0.0014368399468087144],[0.0030050602097337386],[0.0015490379875980301],[0.0022283745169820925],[0.0014338700889661247],[0.00044947117651015725],[0.024541140633188588],[0.0017474794647289224],[0.004694131024315049],[0.01629130779418539],[0.0030232725586336944],[0.0032495460342873298],[0.010169495013682396],[0.006811740091227245],[0.014368373796269927],[0.033502512836163914],[0.0002669445247402808],[0.0015437423601095083],[0.0006193233085258936],[0.00033044522486027115],[7.288051123256223e-05],[0.00034148444739492755],[0.001265227613168043],[0.00203585716301929],[0.010074409678754118],[0.0006259996921121806],[0.01411207680212101],[0.009763714400413358],[0.0028993210146906613],[0.0009692083220635632],[0.0024925182371169706],[0.03610710376793017],[0.003965337551422775],[0.0008644196929638454],[0.005295638835937447],[0.0008340226242860528],[0.0023783134867978967],[0.0013895379499724817],[0.01004372806738292],[0.003800049135092056],[0.007585960919711327],[0.033653763263898254],[7.288051123256223e-05],[0.008189151898897342],[0.05678017647243486],[0.003051267409178903],[0.00038108907000815415],[0.005313139026279364],[0.003489215271726537],[0.03449009670853579],[0.0014110526289396847],[0.00426418294171946],[0.008300517887479287],[0.006585385817743372],[0.001236376762020742],[0.000927697942433252],[0.07391723568057035],[0.023563348418415092],[0.0068096990661825445],[0.0037253707652360815],[0.001306181142773802],[0.0017799402191415604],[0.0005841844543353475],[0.00032168287641700136],[0.0013031245367668678],[0.0007287627372883996],[0.001755800319397867],[0.00043575573027527966],[0.09659887893268695],[0.0010989621627791517],[0.00876011345882524],[0.048637330483241106],[0.0015230941227435742],[0.002934169871598267],[0.002176874422590257],[0.0017158589993274429],[0.0006150995469887188],[0.0046847241455207755],13
1988-05,[0.022682601365605636],[0.0005285701866421947],[0.037264865932657446],[0.004222933811433904],[0.0017620544899861722],[0.008608532857472121],[0.00406594537105989],[0.00023572288989057318],[0.00048130576122757166],[0.003848080969017996],[6.798755664342879e-05],[0.004144068380730244],[0.0004502293970611337],[0.00013354378513534304],[0.08635822185041275],[4.613516348934568e-05],[0.02700020297176226],[0.0028927425348015006],[0.0007973323965202059],[0.0014653269891716583],[0.0002973479897183792],[0.03788982391239081],[0.004331805692559369],[0.0007246173087397064],[0.007599573645634068],[0.0010649311535978674],[0.00043094430887268735],[0.0016912588368728282],[0.001097246975191143],[0.002612470489312352],[0.014812685718706073],[0.016543050121767655],[0.00045285668659958254],[0.010792061076753108],[0.0028158473404640543],[0.00301769450877199],[0.023486283111544576],[0.00523314654392112],[0.002127119379231183],[0.01970487005091319],[0.0013076950210287415],[0.0004208617986290954],[0.001512676503526724],[0.0027080796523799053],[0.0006487399319426271],[0.005321789386457833],[0.01542176865726052],[0.0012087612711264442],[0.0168753951719041],[0.0007082381781428387],[0.0009806667125276899],[0.0005441552774995858],[0.0044354309428961325],[0.04196871652760926],[0.004912116292630612],[0.0007454488226598829],[0.012032972289837155],[0.0004792750097722626],[2.177887797509303e-05],[0.00014290111027334844],[0.012356013114279392],[0.0024366450814020074],[0.000855264291217014],[0.03885994720108369],[8.224205013153979e-05],[0.01071466846304461],[0.10904928072025487],[0.0010718068747604878],[8.51372150972405e-05],[0.0015400862270834132],[0.0004904947549595603],[0.010609687945762902],[0.003651557275200984],[0.0025236893507366506],[0.017473070078374484],[0.0018093917375180727],[0.00122781048619746],[0.0003952840673879537],[0.11746112763410778],[0.03160008637453703],[0.0009002998853756094],[0.0011643483525912253],[0.002758551655862153],[0.00861116560973],[0.0004811360056598513],[0.002367013082328091],[0.0005760500668844436],[0.0011878269142337507],[0.00041595252325939375],[0.0016864141214227857],[0.08202551940661686],[0.004895128119963321],[0.013108250483048107],[0.00975780753948557],[0.00020711891855117908],[0.002073060480343509],[0.0005404957841138265],[0.0069236551644681794],[0.005048876865577551],[0.014798529521827083],34
1988-06,[0.04005025108777511],[0.0004644520743048425],[0.04280520286411046],[0.005953856094233094],[0.0007068041554962941],[0.009961173963295421],[0.007514343798499925],[0.0009653317642914772],[0.0007068925737127884],[0.004165423000865433],[0.00024704972899728864],[0.002435896498575728],[0.000910037058162873],[0.00014045372124331027],[0.09739667661488056],[0.0004943912501013465],[0.028699572174809874],[0.0019076087879641684],[0.001183957856431204],[0.002226301945354083],[0.00022293610552099244],[0.019020624112415264],[0.00410889172043036],[0.0008960112057138758],[0.0008921376530971818],[0.0012448950368447445],[0.0009364875305306799],[0.0015768612004259403],[0.0029447029040966305],[0.016310530182779205],[0.017552859689372525],[0.021262621815861034],[0.0010017531908488304],[0.009405864402417913],[0.002674209185559968],[0.001398469051413745],[0.013577236363523428],[0.005769728664797315],[0.0015038204128229279],[0.015624212917022564],[0.001575878502470524],[0.00027127682290353864],[0.0016780517789681778],[0.0021163101507616893],[0.0013735852666416446],[0.006320953840492752],[0.015789096241314835],[0.0008028614288507794],[0.017799957343023767],[0.0024556083453067656],[0.0015122611895484234],[0.0003069602084776436],[0.004455719888275259],[0.048041793777208235],[0.005314670014117186],[0.0008492476125866234],[0.007554467895014178],[0.0008400615998912792],[0.0016622147593417522],[0.0004902383497210394],[0.006357071944629364],[0.0016927744762012611],[0.0010983102157557105],[0.044578154560856224],[0.00029408732810095125],[0.012705412190449088],[0.11073349581903519],[0.000423602780964367],[0.00037014716777516055],[0.007111034628139484],[0.0004629613095078509],[0.016182078911151622],[0.005776780654897654],[0.004552072028283353],[0.011505795773596863],[0.0018628707891756285],[0.0005080255323654067],[0.00023101548687398982],[0.05483156524201797],[0.035384426846992154],[0.000611810745963989],[0.0011813283768268383],[0.0024878958671771608],[0.005245585063013485],[0.00038938529225041355],[0.0032932808934284753],[0.0007871130654815973],[0.001123557593512357],[0.001093806434918016],[0.0019075866867881684],[0.07380694512810024],[0.003193350317308484],[0.007900981360697707],[0.04650306837677687],[0.0005435201309930042],[0.004301109028048293],[0.0008864135941491568],[0.005770981693162217],[0.003732698272623173],[0.010506154519992247],35
1988-07,[0.021729662085267352],[5.640312364400749e-05],[0.035324236161326746],[0.003590800048521869],[0.0008532482969425664],[0.008212346125650291],[0.00344700322770414],[0.00043430391846605314],[0.0003450598458728468],[0.002437529398656279],[0.0006152227574124191],[0.006258889360316589],[0.0008483821076496447],[0.00039830509776469337],[0.08152428304693833],[0.0011041291799971842],[0.022768455001584552],[0.001944415698553232],[0.0004450261802910398],[0.0033398825806120595],[0.0014491301438427303],[0.042898974428728816],[0.005429962630124032],[0.00011431437717060599],[0.0004417332763152541],[0.0005072873504056921],[0.001031047587634691],[0.0023796083731117256],[0.0009467704696218884],[0.0010740356523408416],[0.0223407923505252],[0.018190132564996016],[0.000458027328333724],[0.0135910673308995],[0.004287848596576575],[0.0037781417561410825],[0.004927277446552726],[0.010635726788749657],[0.0014306219862335542],[0.003018732153410191],[0.0021868994481577054],[0.00014472700267058254],[0.004823781085489923],[0.001105206557655803],[0.0008767717574396795],[0.005811622900589436],[0.018041345548777152],[0.0008757960885256911],[0.016129895174201096],[0.004882831592017044],[0.0005218698680724437],[0.0004163190936579715],[0.005751851173140736],[0.02714216962570054],[0.004402269193657337],[0.0008093133509359365],[0.007399609115653126],[0.00012721468984684754],[0.003913854080206204],[0.00040890003090584957],[0.019925543990762223],[0.004976207364052242],[0.0007915569720018153],[0.03996438154181784],[0.002830533265894604],[0.014296228617288426],[0.09713294057071739],[0.0012494381104069792],[0.0002168691756340099],[0.000788231228996569],[0.0002724326123873316],[0.01144648586772459],[0.0004972894428072705],[0.0025824833920811015],[0.005524496964522096],[0.000715356478418758],[0.0010140073397068544],[0.0003217689010230778],[0.15277936179369903],[0.030051385569095142],[0.0016830501424106173],[0.0007749744875486373],[0.0028435995993372903],[0.004396814875283447],[0.00022300416288233366],[0.00225497203193395],[0.0006089648012867226],[0.00026693366455794216],[0.0021347628289971133],[0.00043621903968845516],[0.07342882839360465],[0.006420825232453352],[0.010168626342850698],[0.04061347031440738],[0.0007557461610399753],[0.0022566391134636135],[0.00031032527634746837],[0.0011834386762673505],[0.01450696217424545],[0.006973778036042765],38
1988-08,[0.03071429042371592],[0.00013211961040456924],[0.036783723093000896],[0.0048216797891548],[0.0004777661883027203],[0.009806965714139608],[0.01312289756685245],[0.0007622231951914087],[0.0011018796064009243],[0.002657152984605037],[0.00024376250961294696],[0.001909574426021851],[0.0008793303636995166],[0.00020218960463246142],[0.10144811030477285],[9.345513577125746e-05],[0.0316850722865638],[0.0028196444520878737],[0.0009214633498686455],[0.0025728965134636803],[0.00042156448592536714],[0.019426995761250506],[0.0034797241311319825],[0.00018285621873099657],[0.000843703146729775],[0.0005053815412686486],[0.0008043708643366273],[0.0034813622440945926],[0.00418266964957451],[0.001508301294105716],[0.03581389547067],[0.015681156922362466],[0.0002412041222027363],[0.0021969608411275057],[0.0035036639329679453],[0.0025767012072773305],[0.01738641153893054],[0.00014683372820828108],[0.001453705504632928],[0.004828070301541362],[0.0026668814211113973],[7.962090570104277e-05],[0.02156926689222286],[0.0008303175309800493],[0.0017512993605283975],[0.008421732259300959],[0.01972240952342391],[0.0009722796215582468],[0.022082678116395773],[0.003179058119980361],[0.000504200167115949],[0.0006968825543935967],[0.004715504622628728],[0.03818974223866141],[0.005690261302521216],[0.002212737727043478],[0.008871492654500745],[0.00015394402041291714],[0.002925610665028323],[0.0002647836512792042],[0.005386336361224869],[0.0014078100883339443],[0.0024482016832708346],[0.03913497026908718],[0.0001468044078378358],[0.010187322175946008],[0.11270141883463056],[0.0011839034387401838],[0.00020429026026517132],[0.0005817995625367237],[0.0004310783905940994],[0.013667791656831362],[0.0007412923651452944],[0.0013403619122982493],[0.0056250456436828244],[0.00104387982463884],[0.0007851689204685768],[0.00016600953377372422],[0.07207667326891921],[0.03679777352825863],[0.002293546714153147],[0.0008684206524027532],[0.0016387352693260154],[0.010359308370131173],[0.0004273184475577556],[0.002169350647270275],[0.0006562316697026667],[0.0004061994274359356],[0.011525569901002251],[0.0020944290659719944],[0.06883909590353997],[0.00333453691615325],[0.007885588020706245],[0.056075045863294426],[0.0005643303073638358],[0.0046149047618789215],[0.0008670946042055972],[0.0019132873862872661],[0.0008840125309127279],[0.00920263039685832],34
