,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,num_docs
1980-01,[0.00020833610761504434],[0.004748748149063432],[0.023357693352363647],[0.008243952121271525],[0.0015501851893759517],[0.021237805099690373],[0.004862853865976529],[0.0002962832232772901],[0.005007289729140518],[0.0018667598713742936],[0.0009484873259377014],[0.0006961511190411332],[0.0014010055450550379],[0.0008516571141247672],[0.06927760854005097],[0.007211581767683129],[0.03194851806147198],[0.03193170634973891],[0.0009307463520144663],[0.002443168991127701],[0.0008933686055191475],[0.003188632679583255],[0.0014464042928087413],[0.00033043693632256097],[0.0007392671860770861],[0.0007714151294446005],[0.0009849029132737996],[0.0015413268472002524],[0.009215406645625987],[0.0008652483678209438],[0.08091805773321996],[0.008687050401476881],[0.00025224676388309786],[0.006849133229184191],[0.003709195484846835],[0.0042498061376818426],[0.03405447538851453],[0.09488117887652453],[0.0014238396100987908],[0.0011991586994327013],[0.0016745864278770264],[8.953587978339782e-05],[0.003298736969054517],[0.0016237598944674884],[0.00028146177974122113],[0.005820517161328099],[0.005585550175934866],[0.0008523387736431689],[0.009578751288427159],[0.03859341494594446],[0.011966544458095996],[0.0004779372028679063],[0.00034869179680754316],[0.024327861792926352],[0.005551435657995778],[0.0016240534962662424],[0.011648519439283215],[0.00031130630519176825],[0.004823899459180818],[9.301634096724834e-05],[0.003935077139923729],[0.004321861006246764],[0.0008799321997760973],[0.036373998641526364],[0.0004134953556710268],[0.012145179853087029],[0.06595104529620432],[0.0012057760767523484],[0.00037779705237426245],[0.004339642707964232],[0.0007783975585046697],[0.009356474764475332],[0.00046648991543255165],[0.002475789014458011],[0.0065632370363800895],[0.0046468921364218345],[0.0008365565870008142],[0.009950926965711914],[0.05134502547181606],[0.02865165298717329],[0.001203260443185172],[0.0015344334794084112],[0.0022001255299376986],[0.003908678696795202],[0.00030639218781137366],[0.0027211504004147477],[0.0005091868314745321],[0.0006607543899538846],[0.002885050895012379],[0.0012580842494723282],[0.10060275367626066],[0.014796766000457255],[0.0016206777630486616],[0.0029738435883473356],[0.0001996463437005028],[0.0027785244897889547],[0.00014473140424797748],[0.0017848437752869966],[0.0021670901443864455],[0.006935751037409924],60
1980-02,[0.008509375132499978],[0.0022471615119267585],[0.023725997464718294],[0.007222852567717079],[0.0005627307075807644],[0.019975875110143686],[0.010402283863944223],[0.000244378617367147],[0.001167109037775542],[0.00149459187980483],[0.0008226311996774411],[0.0020863574773860214],[0.0021405896890011413],[0.00026847912962087617],[0.08293726598064192],[0.000279367755297244],[0.034521638437562764],[0.0009875965447842347],[0.00011628527876913118],[0.0044680944757071],[0.0005074515770502329],[0.0055340914106523096],[0.0017471041781504941],[0.00032045277400053845],[0.00021971490872374488],[0.0005327634439709071],[0.00039558273315757714],[0.0015235225312153493],[0.003293114534850852],[0.0006108063049244569],[0.018204834619780286],[0.007323079714259015],[0.0003394638646530742],[0.0014192602448777818],[0.005470513433560125],[0.003725248401451609],[0.009803162605786987],[0.11168601697490507],[0.0007532795881957098],[0.0006391480211315563],[0.004077337764821702],[0.00019137526902568422],[0.002948189633684706],[0.0009531799402111572],[0.001253266917350023],[0.004851418809323604],[0.006239592473055687],[0.0008909603133133713],[0.006594975700541759],[0.024822630037798863],[0.008024908016106261],[0.0005284618609380231],[0.001269989176250874],[0.015916695806197364],[0.002802230478721412],[0.005816502892325088],[0.00753182761898567],[0.0004791923716614596],[0.00434751867110587],[0.000998538642628925],[0.00025181918787590507],[0.006728464744545209],[0.0011053715614555892],[0.03293747340861348],[0.0001390174530039682],[0.012670995511901614],[0.043603179609097716],[0.0009286394566743181],[0.0003487512642739905],[6.267814806430273e-05],[0.0008874331527408684],[0.0172013964269316],[0.0005984455780586965],[0.0015281724240026053],[0.00636875094539846],[0.0015075800114535318],[0.0006000167717274961],[0.00975591287467144],[0.18168638301375487],[0.01966957435774929],[0.0017959188252234526],[0.0018482753238799892],[0.0009069446916593432],[0.0015902204630341052],[9.308570169726711e-05],[0.001995056812859276],[0.00020497753503908217],[0.0009963217235243365],[0.0011313056725157367],[0.00035559215442996605],[0.12594128593771833],[0.014626036686574176],[0.001991077892171233],[0.009220223133070247],[0.00032131035593844587],[0.007803123726716878],[0.0005900739658197078],[0.002255260850764292],[0.003645312775176989],[0.005340475353326233],48
1980-03,[0.0073488323955532954],[0.0017837945508911547],[0.024382359783885473],[0.006385923988379611],[0.007223913750660757],[0.017219611162323505],[0.002210295252952186],[0.0007630789817018767],[0.001830315959700894],[0.0023636772126204644],[0.004433303020716002],[0.00267647952513493],[0.002458937265501157],[0.00019097258412263568],[0.06811980317096884],[0.00019062357200820725],[0.040918573375653605],[0.0025316609308436277],[0.0020267423546678517],[0.003058728539743729],[0.0019041693898676688],[0.005428416540425822],[0.0017096819798187025],[0.001759851911407256],[0.004033344974431669],[0.0016397126025655849],[0.00028632419871871934],[0.001151925330260583],[0.0032016361560968875],[0.0008600375363906696],[0.03769700893345299],[0.006312302029095363],[0.0004911473395223742],[0.0042941623041326425],[0.004630217051072112],[0.0019448394728542328],[0.015950092664153512],[0.0937842583602682],[0.0012652147572846779],[0.0012067235951601506],[0.0013659440409377922],[0.00038412449840706823],[0.000165589181716957],[0.0012937108170861878],[0.00175000357134328],[0.0093450262618983],[0.00861849083359141],[0.0006632786162299453],[0.012727118632472233],[0.014570214518221842],[0.005470748088511046],[0.0004338344573980288],[0.0025693849975141343],[0.02814133639511543],[0.004921128880552006],[0.0011916259587318248],[0.007080033396094933],[0.0006128229427903114],[0.008621192612802739],[0.0016692856655403944],[0.01995745027657327],[0.004804436225596163],[0.0003592193770378887],[0.03458489162461241],[0.0003453610103040372],[0.01138435585141074],[0.0659700153277876],[0.0024550287622643243],[0.00015864851427134605],[0.009284290145909079],[0.0010944636548695756],[0.017720415822401355],[0.002041256077307745],[0.0018465028669441643],[0.004049171979026939],[0.001137474657165202],[0.00047373417332781224],[0.009141155257921347],[0.10453163802281866],[0.021379477028215372],[0.00023956762998284637],[0.0011893644889313713],[0.0013911787066207598],[0.00273399416459497],[0.0006248582111344681],[0.003370669810509553],[0.0006183945976839069],[0.0008560544770150998],[0.0013077258262699882],[0.0006416983192915412],[0.12766613952638778],[0.016579615365605226],[0.0027334040223871755],[0.005615431806934174],[0.0005410144957994173],[0.004481981526313152],[0.0006248899065811692],[0.004103403852285539],[0.0019298656536370909],[0.010768177122638627],41
1980-04,[0.016550081462810347],[0.011079811482031805],[0.024007948708822367],[0.007600678069065906],[0.0009976850968087094],[0.019761085676836956],[0.008226767116211703],[0.0005066378826995787],[0.0003385428800538648],[0.0011017352195085552],[0.0010070866743808436],[0.007630086630269944],[0.0032293759858475824],[0.000255057794856839],[0.08207372134136671],[0.001290063681808533],[0.030457574473402933],[0.001025477510283963],[0.00019336392586410508],[0.0020259454048209592],[0.0005644008569470314],[0.0017991088873895937],[0.0010760755321462057],[0.0007328737674288279],[0.0005806169820971262],[0.001134661918549682],[0.00043991865166390196],[0.001324821769285336],[0.010740742733232764],[0.000513107516526361],[0.029178384281040054],[0.010493070578395419],[0.00045879033163146235],[0.0034792152692352824],[0.004120010833139528],[0.0014633503001641659],[0.01643942173319374],[0.1078469267786022],[0.0008912763034459202],[0.0004203323590445506],[0.001997209465844207],[0.00026403045490951615],[0.0001154867615514377],[0.0012454411654653087],[0.0006004219551687129],[0.004361563036600274],[0.010468912936976266],[0.0006289272655885724],[0.01037463038184797],[0.04535545850358175],[0.0030439420672155396],[0.0005638517599254554],[0.0014936764752746968],[0.021611774282755507],[0.003548049034070573],[0.0036164379496403855],[0.010224342255914958],[0.00048534743658819936],[0.0010711890897437118],[0.0016705181992620057],[0.007273630160070753],[0.005106873458298652],[0.001112776300578844],[0.03693904522282536],[0.0017857996645398088],[0.013288201080940781],[0.062190062766239874],[0.0011466604506676957],[0.00015345518173489838],[0.003401013579041317],[0.0010254391651869808],[0.006061744647631712],[0.006075090255853866],[0.00031849340279222816],[0.0066985766436482635],[0.002301165619119274],[0.0009172883489372908],[0.009978221340952586],[0.11730067949752994],[0.02357206626400511],[0.0004459118758313707],[0.0011844812965864546],[0.0011912159443272683],[0.00018091632413415933],[0.00025052254304682716],[0.0024853619539135256],[0.0002856026835979719],[0.0008224159672136009],[0.0007418086833422421],[0.0017841193688036584],[0.10146443831101352],[0.017636378772240273],[0.002359335651181027],[0.007060215493056603],[0.0001219891738401202],[0.00427431942163821],[0.00032154907870790333],[0.0026575227027751678],[0.00210804951566388],[0.010180519339173773],50
1980-05,[3.7958029679430176e-05],[0.00038082131069179596],[0.026348172582593657],[0.005738608233131297],[0.003935878399811611],[0.013017551928944734],[0.0020375661540942692],[0.0010751908834400207],[0.0024940551399451677],[0.0008517393887239834],[0.00020202460822666148],[0.0014345376852552842],[0.0003036440356912575],[0.00034858458816176455],[0.06904508026711578],[3.7958029679430176e-05],[0.04253490195199112],[0.028951637076524525],[0.0007510532829990935],[0.004458705734673698],[0.0010430790140928462],[0.0004991517127181347],[0.0010455219002994311],[0.001546830384445217],[3.7958029679430176e-05],[0.001743485293445701],[0.0005850968022729686],[0.0007348420089041802],[0.02046930090790211],[0.0002722108241581928],[0.057157917049631864],[0.006394378122374626],[0.00023707963158047185],[0.0013000107060418629],[0.00889840274641373],[0.004078757655023717],[0.0020114219172874554],[0.05922266402663617],[0.001100292037527221],[0.00277347443649265],[0.005305913195881754],[3.7958029679430176e-05],[0.023551199083014673],[0.00027595938091077476],[0.0005127223689908677],[0.006584105982878291],[0.010084216711842791],[0.0012926264588187272],[0.008671179851406027],[0.10456613109856427],[0.004947260202913495],[0.0006747750886509158],[0.0021966786383640475],[0.0390836558533824],[0.005739908695049005],[0.0009716598452589671],[0.003306375472244614],[0.0010572428664090692],[3.7958029679430176e-05],[0.0005656734037026917],[0.0039000110139233205],[0.002672144344806408],[0.0016630796261731457],[0.03732906791724656],[0.00019458229019763074],[0.010123596121143476],[0.05319167387532568],[0.0007368747824569399],[0.001348155370865961],[0.00019170200056051773],[0.0025754089533859908],[0.019747776606699952],[0.00018670137169943986],[0.01546960529886794],[0.006725958853023353],[0.0030434298515070912],[0.001885126548203468],[0.0059884216685819214],[0.031542681428522644],[0.025507910946544143],[0.0029705481422895815],[0.0009458919730604974],[0.0005917588358849906],[0.001988020987722082],[0.0001730729877396554],[0.0026318200955900367],[0.0005075035790133896],[0.0019130122880022487],[0.00037803997326447736],[0.00042878892676717926],[0.1331508345901966],[0.012478881333567858],[0.0037291650010286646],[3.7958029679430176e-05],[0.00065515110418346],[0.003414555190111538],[0.001418464246566337],[0.009846548624218007],[0.0016026583989035938],[0.0025126763102889522],19
1980-06,[0.010123522247201639],[0.009580432913038645],[0.02294175619959383],[0.005678733404200403],[0.002650583969221366],[0.014538223629686948],[0.004329078182870994],[0.000345323292031531],[0.0010996913965881404],[0.0018821029567119589],[0.00020136397722581018],[0.0015850477314024326],[0.0013215337436476048],[0.0003401916734320469],[0.08196472083149171],[0.004523398058021637],[0.031208150017543314],[0.01790678682882824],[0.0011485142698196187],[0.00379498980478527],[0.00051034886951129],[0.0016046002892582893],[0.002120421573939287],[0.0017779378827829835],[0.0032917864110812737],[0.0013923046559069817],[0.0011664612138259953],[0.0011971945857125218],[0.006255927127932003],[0.0012725634988189289],[0.01662688651843306],[0.010479580335577846],[0.0006583218930384441],[0.004139430688250437],[0.00551451897769084],[0.002120776830212081],[0.013118670072275207],[0.07978854299492218],[0.000874917349885133],[0.004683326659592996],[0.0025622807129997848],[0.0004170059038288957],[0.007358735850781764],[0.0017947138092608834],[0.00047857826196049134],[0.0038287949185031615],[0.013587697730662917],[0.0011974844212608738],[0.011307498062769306],[0.036527416354267137],[0.00994052427750426],[0.00048302001001350925],[0.0034001338802593416],[0.04730243012022583],[0.003807343460594994],[0.001809013313081525],[0.005026025601649861],[0.00034353821313162466],[0.002745025748948945],[0.0007439900479274305],[0.0015845761226955801],[0.003706654811278692],[0.000743058642873014],[0.03721662881930063],[0.0012634818340112957],[0.01178310880623535],[0.07269959160844842],[0.0014125935004156214],[0.00040965171649531834],[0.00394983861409375],[0.001131699501589386],[0.008226960160862341],[0.0008864759180874493],[0.0032481552322123092],[0.012863135962094117],[0.005427295426203373],[0.0018955952500934665],[0.008732087147096633],[0.09358150018385915],[0.02423248573642114],[0.004988164616754097],[0.0017898113721786198],[0.002624370088988648],[0.0030267458461329015],[0.00023203205155495097],[0.0029134727316394065],[0.0008065137191503401],[0.0006033186308198107],[0.0009906843029878277],[0.0005380237677804366],[0.10374631181154348],[0.012195175924811487],[0.0018172296632630806],[0.010801649620867057],[0.00019661477849947716],[0.0035126005761614764],[0.00033120985128536843],[0.006434383305045481],[0.0044967440138824095],[0.012540453999867565],72
1980-07,[0.0056057891040670145],[0.004877848030324637],[0.021323971173816823],[0.007316873493193627],[0.0036528836666368802],[0.015977816993974665],[0.006182774320594444],[0.0007745581892905509],[0.000961275445180792],[0.0011568098729646452],[0.004173280732681029],[0.003587770791262968],[0.0009835677063383117],[0.0002497668774658833],[0.07617558520816069],[0.0008312838930847444],[0.026921771616145354],[0.03231599037656796],[0.0009081458251464838],[0.00313817647025311],[0.0002296965502749335],[0.002766160125638251],[0.001166540033351903],[0.00025192413718094694],[0.0007155760608070459],[0.0005386431429106897],[0.0005139410102369578],[0.0009600632637377949],[0.00423047111194073],[0.0011561356190674852],[0.022403276102305032],[0.010908604887525038],[0.00032941562643264014],[0.005238587958367235],[0.003226735832624759],[0.002113289775550098],[0.02470388791339182],[0.09262979232869863],[0.000714602257201631],[0.0016546715436254074],[0.0017316469078855659],[0.0004444173711471847],[0.007720765893890544],[0.000634877871798893],[0.0002702630835058147],[0.005475952386635543],[0.009891977499329426],[0.00041331552708637073],[0.009545257009398182],[0.026902814235340827],[0.006462580997898658],[0.0008812498305725429],[0.0025747574163495963],[0.028387156585165323],[0.0025763290483718916],[0.0030479103957077314],[0.005922852302562755],[0.0004447505456559617],[0.00900868860407185],[0.0015843942605257126],[0.011022749189604084],[0.006072043419600293],[0.001500186382529624],[0.03411794705766304],[0.00037233723318883715],[0.011053103890780746],[0.06891424150195287],[0.002220916189145728],[5.43669004311058e-05],[0.0074405804265757405],[0.0011742590123042609],[0.0052608422412677245],[0.004072862023522374],[0.005164900485326628],[0.006579755265654094],[0.0022936286368349106],[0.0007810935452922218],[0.007059107282330698],[0.13971077813011756],[0.022945028990953926],[0.0007560039464831942],[0.0007996751864161082],[0.0023730466505505424],[0.0033298212627119995],[0.0011337996031638609],[0.0023786877620654537],[0.0002205352416048056],[0.00030886671894081756],[0.0009275452035568304],[0.0016079929263866346],[0.09459668511736315],[0.0114619558311153],[0.0015742690234219485],[0.004848034396929224],[0.000402982801262342],[0.004548426526506658],[0.0004022875263422386],[0.0024721824102656893],[0.002852758916631015],[0.0077038051276630696],71
1980-08,[0.015704779003668123],[0.001302830664071148],[0.026822744445766034],[0.0072795946938963305],[0.002837587436194934],[0.015150455551050865],[0.007335805262066003],[0.0010879176923539954],[0.0009985170764784629],[0.0024859847837594698],[0.004958756870256631],[0.0032391144457638034],[0.0009646340107381897],[0.0002456232132244034],[0.08805004394924897],[0.0028833350853537626],[0.031169451739368654],[0.0022604203594372876],[0.0011359307853918803],[0.0009638151648012411],[0.00040239989856115306],[0.004497785027839903],[0.0005407420575421943],[0.0006026153735092521],[0.0037838094597117877],[0.0008625896884070478],[0.0012171718645995794],[0.0015676899699370085],[0.005485023109427389],[0.0013103879356872162],[0.021595925881603122],[0.012182744189673142],[0.0012609227033247026],[0.001417504455385795],[0.003305570112828601],[0.002198571870372513],[0.020084933017415096],[0.09425906157708415],[0.0008170936331269686],[0.003847836626589689],[0.002041614630753986],[8.619617382934062e-05],[0.0008872606258298602],[0.0008753317825105641],[0.00041426110636811844],[0.006668967006252417],[0.009470590062040082],[0.0006205650291253882],[0.010748878181901442],[0.04175804615733209],[0.005313660146311443],[0.0002062551635727657],[0.0030870715430014123],[0.03283129172284809],[0.005559269648807868],[0.003394285398811798],[0.008595817583623542],[0.00032148615534952676],[0.009617931506652655],[0.0012982294623168032],[0.025863689878068762],[0.0030241827830283703],[0.001403047600661011],[0.04455075886066733],[0.0002451890786981111],[0.014178482405873917],[0.06972674606625391],[0.0013418326583735417],[0.000341185309575702],[0.007826963307376986],[0.0014717372194779945],[0.008060475652670108],[0.002232737457197506],[0.0013895841193809772],[0.005561553894025446],[0.00476587224945815],[0.00022688483514802135],[0.009389673654089662],[0.07159567336996206],[0.02466983971270007],[0.0014888500025101105],[0.0008947510636898511],[0.002258089458461742],[0.010694770878539964],[0.00038262627824605576],[0.0018226628559175645],[0.00017293691675765706],[0.00019987192187668806],[0.0009790931407620052],[0.000585843627321435],[0.09278028020485031],[0.012045849232039944],[0.002081798755816341],[0.014459378288077659],[0.0005361990799883644],[0.0034984144984029565],[0.0005146194568932251],[0.0009048545719657166],[0.003896958596244312],[0.010021310377895483],62
1980-09,[0.005305481230702434],[0.01062712580202314],[0.025234559679627767],[0.006715384628880073],[0.009677433902811042],[0.0070586913481514935],[0.006380827359862452],[0.001601889765847878],[0.0022649028002338445],[0.0017164857282232547],[0.011269775491993723],[0.0018464516875547118],[0.0004810251050616369],[0.00017258804639421344],[0.08453283517274242],[0.0067040735443274465],[0.02475651062711623],[0.01548987339254719],[0.00155279223817647],[0.0019841178674184],[0.0008663186604386533],[0.0052252869749768146],[0.0020571361275954604],[0.0005834567696712287],[0.0010664266628631338],[0.0008322556308231404],[0.00048324106393370406],[0.0020814903475057205],[0.007990387622845275],[0.0020695800772257424],[0.04675346085922535],[0.014228969782506765],[0.001003368012133314],[0.006214839133420799],[0.004052587883221389],[0.003509750909680131],[0.014970269989579146],[0.053541880347301084],[0.001601772558810913],[0.007469384674973406],[0.0023539258227174287],[0.00037970335516061013],[0.00835169224347039],[0.0006232549997569779],[0.00029632675474669333],[0.006277365759202904],[0.014388889402843504],[0.000839037874843492],[0.010404318410258195],[0.03763110858133502],[0.012741771754145845],[0.0007197399515652522],[0.001654936623412521],[0.0443519305655955],[0.004340925547377229],[0.003526718332142441],[0.013842547099239854],[0.00037051994707135865],[0.010031987898697099],[0.0001785361586011869],[0.016558452533593296],[0.0028576669942066103],[0.0008288183233817951],[0.0406629107525331],[0.0003248689504077848],[0.013888623025830086],[0.07571553856076547],[0.0025377171793352733],[4.791261398865973e-05],[0.0036224575491846612],[0.0012176023349131228],[0.009517480460217062],[0.0015537210525127549],[0.002599327291707511],[0.00357741168036862],[0.005342680030205587],[0.0011468129528534622],[0.005012769792058459],[0.07863788784339533],[0.025280603580752136],[0.007229336365568553],[0.004258336432654729],[0.0013497735914063734],[0.009933365836004245],[0.0009469362202210947],[0.0034427572386554186],[0.0005478124322232971],[0.0008200264218282615],[0.002051043757472693],[0.0007861591817387768],[0.06874160823797357],[0.00709943042734584],[0.002865588787043698],[0.008196522921987833],[0.0005429904048638532],[0.0027680069901349306],[0.00024692015815458565],[0.0046563061444028905],[0.0026461481178198173],[0.004659743369344606],43
1980-10,[0.019717717845378503],[0.019762246283926293],[0.030654573185347547],[0.005177865145151371],[0.001462631314643659],[0.0014847590035287795],[0.015495510478353939],[0.0008757968624877325],[0.0004428872873631918],[0.0014972077358606842],[0.0037522647404330204],[0.0008461449495143831],[0.0001239379352227843],[0.0008973413634294048],[0.10486131296784151],[0.012867233534439046],[0.01811392351596624],[0.0005009288420296799],[0.0018092379305699074],[0.004831099386819915],[0.0012040377760513365],[0.00493447820667825],[0.0009277121095692564],[0.0005449183092650859],[0.002047637003533964],[0.0016673669447072827],[0.0008927106969849777],[0.0003270513482220849],[0.014055838078002128],[0.0014351277399100584],[0.020363910811624926],[0.01410225096642535],[0.000632548473527095],[0.004957954111068831],[0.0022595710386895005],[0.0034924145305694765],[0.012311289108470196],[0.014415132808881032],[0.0015617501841688867],[0.0026104912407845402],[0.0017904511573078705],[0.00035814841846786277],[7.166130721998343e-05],[0.0021171028557773744],[0.0002069087654945178],[0.008714804892565556],[0.01506973962159464],[0.0016124933057426463],[0.009972054147237942],[0.026631042627468564],[0.0074728394799194586],[0.00015663296851471382],[0.0027916816069136975],[0.04076042556007453],[0.0026721148217347937],[0.0055188426151062215],[0.010485034295925292],[0.000356894429728527],[0.007342829491699378],[0.001482430203122931],[0.027580621300785427],[0.00833489980518607],[0.0016127628043022925],[0.04240626407554374],[0.0007837837305714858],[0.015647824416646472],[0.08152872248178937],[0.0005395524695131827],[0.00017675872591098595],[0.0006689365213787823],[0.0007031043428469281],[0.005645707977555504],[0.0021873586139918182],[0.0035645664053845397],[0.0056009454907780315],[0.0019986364544138254],[0.0007018390491339235],[0.0007052728323969864],[0.15705423052033896],[0.02316857965197415],[0.004395639559288612],[0.0019543134903869945],[0.0007288551198598727],[0.001203634252397024],[0.0002198326836150954],[0.004145440196816706],[0.0003092010332011341],[0.00040982272757901235],[0.0011659247342322493],[0.002602017809726931],[0.05122360167497394],[0.003542897430702397],[0.0011801187327137091],[0.025206194323709498],[0.0001603867591938978],[0.008154278606821207],[7.166130721998343e-05],[0.005626797962941055],[0.0026906113803988768],[0.00889545324189385],40
