threshold,country,fscore,tp,fp,fn,sensitivity,recall,precision,one_minus_sens
0.0,argentina,0.7105263157894737,27.0,51.0,1.0,0.9642857142857144,0.9642857142857143,0.34615384615384615,0.03571428571428559
0.0,bolivia,0.2542372881355932,3.0,44.0,0.0,1.0,1.0,0.06382978723404255,0.0
0.0,brazil,0.7539682539682541,38.0,62.0,0.0,1.0,1.0,0.38,0.0
0.0,chile,0.13636363636363635,3.0,95.0,0.0,1.0,1.0,0.030612244897959183,0.0
0.0,colombia,0.330188679245283,7.0,71.0,0.0,1.0,1.0,0.08974358974358974,0.0
1.282,argentina,0.6382978723404256,6.0,13.0,1.0,0.8571428571428571,0.8571428571428571,0.3157894736842105,0.1428571428571429
1.282,bolivia,0.3225806451612903,2.0,21.0,0.0,1.0,1.0,0.08695652173913043,0.0
1.282,brazil,0.7534246575342466,11.0,18.0,0.0,1.0,1.0,0.3793103448275862,0.0
1.282,chile,0.3409090909090909,3.0,29.0,0.0,1.0,1.0,0.09375,0.0
1.282,colombia,0.2380952380952381,2.0,32.0,0.0,1.0,1.0,0.058823529411764705,0.0
1.44,argentina,0.6521739130434783,6.0,12.0,1.0,0.8571428571428571,0.8571428571428571,0.3333333333333333,0.1428571428571429
1.44,bolivia,0.35714285714285715,2.0,18.0,0.0,1.0,1.0,0.1,0.0
1.44,brazil,0.75,9.0,15.0,0.0,1.0,1.0,0.375,0.0
1.44,chile,0.2777777777777778,2.0,26.0,0.0,1.0,1.0,0.07142857142857142,0.0
1.44,colombia,0.2702702702702703,2.0,27.0,0.0,1.0,1.0,0.06896551724137931,0.0
1.645,argentina,0.625,5.0,11.0,1.0,0.8333333333333334,0.8333333333333334,0.3125,0.16666666666666663
1.645,bolivia,0.3703703703703704,2.0,17.0,0.0,1.0,1.0,0.10526315789473684,0.0
1.645,brazil,0.7758620689655172,9.0,13.0,0.0,1.0,1.0,0.4090909090909091,0.0
1.645,chile,0.3125,2.0,22.0,0.0,1.0,1.0,0.08333333333333333,0.0
1.645,colombia,0.17857142857142858,1.0,23.0,0.0,1.0,1.0,0.041666666666666664,0.0
1.96,argentina,0.5263157894736842,4.0,10.0,2.0,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.33333333333333337
1.96,bolivia,0.38461538461538464,2.0,16.0,0.0,1.0,1.0,0.1111111111111111,0.0
1.96,brazil,0.7407407407407407,8.0,10.0,1.0,0.8888888888888888,0.8888888888888888,0.4444444444444444,0.11111111111111116
1.96,chile,0.4545454545454545,2.0,12.0,0.0,1.0,1.0,0.14285714285714285,0.0
1.96,colombia,0.2272727272727273,1.0,17.0,0.0,1.0,1.0,0.05555555555555555,0.0
2.576,argentina,0.5714285714285714,4.0,7.0,2.0,0.6666666666666666,0.6666666666666666,0.36363636363636365,0.33333333333333337
2.576,bolivia,0.43478260869565216,2.0,13.0,0.0,1.0,1.0,0.13333333333333333,0.0
2.576,brazil,0.6578947368421053,5.0,5.0,2.0,0.7142857142857143,0.7142857142857143,0.5,0.2857142857142857
2.576,chile,0.38461538461538464,1.0,8.0,0.0,1.0,1.0,0.1111111111111111,0.0
2.576,colombia,0.38461538461538464,1.0,8.0,0.0,1.0,1.0,0.1111111111111111,0.0
99.0,argentina,0.0,0.0,0.0,4.0,0.0,0.0,,1.0
99.0,bolivia,0.0,0.0,0.0,1.0,0.0,0.0,,1.0
99.0,brazil,0.0,0.0,0.0,3.0,0.0,0.0,,1.0
99.0,chile,0.0,0.0,0.0,1.0,0.0,0.0,,1.0
99.0,colombia,0.0,0.0,0.0,1.0,0.0,0.0,,1.0
