,drag,struggle,deterioration,sound,adversely,vulnerable,squeeze,benign,weakness,unease,unexpectedly,resilience,successful,bad,erode,favourably,costly,erosion,illiquid,stabilize,successfully,stabilise,repercussion,profits,buoyancy,damage,gloomy,question,impairment,expose,severely,spiral,deficit,success,dent,difficult,abrupt,turbulent,writedowns,enhance,jeopardise,threaten,healthy,confident,inability,stress,aggravate,suffer,buoyant,improve,fear,worsen,pose,stagnate,lose,strain,enable,deteriorate,force,hurt,solid,favorable,fragility,risky,discourage,resilient,danger,adequately,undermine,negative,recover,recovery,contraction,adverse,mitigate,able,destabilise,unable,exacerbate,shortfall,positive,challenge,burden,comfortable,rebound,downgrade,improvement,positively,closure
1980-01,0.0,0.0,0.0,0.0,0.0,0.0,0.16204829039053634,0.0,0.0,0.0,0.0,0.0,0.0,0.16204829039053634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.16204829039053634,0.0,0.4861448711716091,0.0,0.0,0.0,0.0,0.16204829039053634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16204829039053634,0.0,0.0,0.0,0.0,0.0,0.32409658078107273,0.0,0.0,0.16204829039053634,0.0,0.16204829039053634,0.0,0.0,0.0,0.32409658078107273,0.0,0.16204829039053634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16204829039053634,0.0,0.16204829039053634,0.0,0.32409658078107273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11272686281140795,0.0,0.11272686281140795,0.0,0.11272686281140795,0.2254537256228159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11272686281140795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3690036900369004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09225092250922508,0.0,0.2767527675276753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09225092250922508,0.0,0.09225092250922508,0.0,0.0,0.0,0.0,0.3690036900369004,0.0,0.0,0.0,0.09225092250922508,0.0,0.09225092250922508,0.0,0.0,0.0,0.0,0.0,0.0,0.09225092250922508,0.0,0.0,0.09225092250922508,0.0,0.0,0.0,0.0,0.09225092250922508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09225092250922508,0.0,0.18450184501845016
1980-04,0.0,0.0,0.0,0.2392153735746751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07973845785822503,0.0,0.0,0.0,0.0,0.0,0.07973845785822503,0.0,0.0,0.0,0.0,0.0,,0.0,0.07973845785822503,0.0,0.0,0.0,0.07973845785822503,0.0,0.0,0.0,0.07973845785822503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07973845785822503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15947691571645006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15947691571645006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27314941272876264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27314941272876264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-06,0.0,0.1036591686534674,0.0,0.1036591686534674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1036591686534674,0.0518295843267337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0518295843267337,0.0,,0.0,0.0518295843267337,0.0,0.0518295843267337,0.0,0.0518295843267337,0.0,0.0,0.1036591686534674,0.1036591686534674,0.0,0.0518295843267337,0.0,0.0,0.0,0.0,0.0,0.1036591686534674,0.0,0.0518295843267337,0.0,0.0,0.0,0.0518295843267337,0.0,0.3109775059604022,0.1554887529802011,0.0,0.0518295843267337,0.0,0.0,0.0,0.0518295843267337,0.0,0.4664662589406033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0518295843267337,0.0,0.0,0.0,0.0,0.2073183373069348,0.0,0.0,0.0,0.0,0.1036591686534674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.07641754546843955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38208772734219776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07641754546843955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05402485143165856,0.05402485143165856,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.10804970286331712,0.0,0.0,0.05402485143165856,0.0,0.05402485143165856,0.16207455429497564,0.0,0.21609940572663425,0.0,0.0,0.0,0.10804970286331712,0.0,0.05402485143165856,0.0,0.0,0.0,0.0,0.0,0.05402485143165856,0.0,0.10804970286331712,0.05402485143165856,0.05402485143165856,0.0,0.0,0.05402485143165856,0.0,0.0,0.0,0.6482982171799027,0.10804970286331712,0.0,0.0,0.0,0.0,0.0,0.0,0.05402485143165856,0.0,0.0,0.0,0.0,0.16207455429497564,0.05402485143165856,0.0,0.0,0.10804970286331712,0.0,0.0,0.0,0.0,0.0,0.05402485143165856,0.0,0.0,0.0,0.0,0.16207455429497564,0.0,0.0
1980-09,0.0,0.135666802333469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135666802333469,0.135666802333469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135666802333469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135666802333469,0.0,0.271333604666938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135666802333469,0.0,0.0,0.0,0.0,0.0,0.0
1980-10,0.0,0.04486115472612265,0.0,0.0,0.0,0.0,0.0897223094522453,0.0,0.0,0.0,0.0,0.0,0.04486115472612265,0.04486115472612265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.13458346417836795,0.0,0.0,0.0,0.0,0.04486115472612265,0.0,0.0,0.04486115472612265,0.0,0.22430577363061324,0.0,0.0,0.0,0.0,0.0,0.0,0.04486115472612265,0.13458346417836795,0.0,0.04486115472612265,0.0,0.1794446189044906,0.0,0.13458346417836795,0.0897223094522453,0.0,0.0,0.0,0.0897223094522453,0.04486115472612265,0.04486115472612265,0.0,0.31402808308285857,0.0,0.0,0.0,0.0,0.0,0.04486115472612265,0.0,0.04486115472612265,0.0,0.0,0.0,0.04486115472612265,0.0,0.0,0.0,0.0897223094522453,0.13458346417836795,0.0,0.0,0.0,0.0,0.04486115472612265,0.0897223094522453,0.0,0.04486115472612265,0.0,0.0,0.0897223094522453,0.0,0.0
