,Correlation
Fed Words,0.6411485920326773
w2v Words,0.9299123195777736
w2v Words Revised v3,0.8074814450121245
Vader Sentiment Score,0.8713676653475343
Vader Score x Fed Words,0.669291770074501
Vader Direction x Fed Words,0.042879707975652104
TextBlob Score x Fed Words,0.005813239778352608
TextBlob Direction x Fed Words,0.15528499043181804
Afinn Score x Fed Words,-0.30314581767945403
Afinn Direction x Fed Words,-0.13199382355059439
Vader Score x w2v Words,0.8611600642340808
Vader Direction x w2v Words,0.2504661151958367
Textblob Score x w2v Words,0.14880565664234952
Textblob Direction x w2v Words,0.40569930207144506
Afinn Score x w2v Words,-0.2503359324097915
Afinn Direction x w2v Words,0.11096574828771451
Vader Score x w2v Words Revised v3,0.7688499737005584
Vader Direction x w2v Words Revised v3,0.18487938353366484
TextBlob Score x w2v Words Revised v3,0.10441120158625261
TextBlob Direction x w2v Words Revised v3,0.3285012800183077
Afinn Score x w2v Words Revised v3,-0.25579228524973263
Afinn Direction x w2v Words Revised v3,0.06052570668943052
