,Correlation
Fed Words,0.4775226590417837
w2v Words,0.9442265989778205
w2v Words Revised v3,0.8249477039590599
Vader Sentiment Score,0.9330888103201074
Vader Score x Fed Words,0.7797757281183386
Vader Direction x Fed Words,-0.13287395431708618
TextBlob Score x Fed Words,-0.0879759843600329
TextBlob Direction x Fed Words,0.07195624346131552
Afinn Score x Fed Words,-0.2781184251725128
Afinn Direction x Fed Words,-0.12606932354375588
Vader Score x w2v Words,0.9076199835345145
Vader Direction x w2v Words,0.12123788428609866
Textblob Score x w2v Words,0.17724224672200883
Textblob Direction x w2v Words,0.4548998814825581
Afinn Score x w2v Words,-0.10398556991944592
Afinn Direction x w2v Words,0.4717781794206354
Vader Score x w2v Words Revised v3,0.8420312058821101
Vader Direction x w2v Words Revised v3,0.03235305231093743
TextBlob Score x w2v Words Revised v3,0.06690539759056181
TextBlob Direction x w2v Words Revised v3,0.296887851819294
Afinn Score x w2v Words Revised v3,-0.15124181419743668
Afinn Direction x w2v Words Revised v3,0.31319246159231623
