,Correlation
Fed Words,0.32822892669698134
w2v Words,0.7876581797284352
w2v Words Revised v3,0.5691189867354269
Vader Sentiment Score,0.5842067903680034
Vader Score x Fed Words,0.3628017044389572
Vader Direction x Fed Words,-0.2434256014702214
TextBlob Score x Fed Words,0.03019828696823304
TextBlob Direction x Fed Words,-0.06477456821278098
Afinn Score x Fed Words,-0.1107570960130421
Afinn Direction x Fed Words,-0.18518277866357263
Vader Score x w2v Words,0.5354661080639083
Vader Direction x w2v Words,-0.24970404111144062
Textblob Score x w2v Words,-0.09013323154587309
Textblob Direction x w2v Words,-0.03544453775027197
Afinn Score x w2v Words,-0.11578820173175783
Afinn Direction x w2v Words,-0.2101745535756176
Vader Score x w2v Words Revised v3,0.43712593046766
Vader Direction x w2v Words Revised v3,-0.2501722354703096
TextBlob Score x w2v Words Revised v3,-0.08105468079229047
TextBlob Direction x w2v Words Revised v3,-0.049497006208105085
Afinn Score x w2v Words Revised v3,-0.1115934468559993
Afinn Direction x w2v Words Revised v3,-0.1802887769981195
