,Correlation
Fed Words,-0.121266644376354
w2v Words,0.3378869857316288
w2v Words Revised v3,0.024831960755081095
Vader Sentiment Score,0.07430789454039789
Vader Score x Fed Words,-0.022703081749125865
Vader Direction x Fed Words,-0.3168601950562783
TextBlob Score x Fed Words,-0.085014852431371
TextBlob Direction x Fed Words,-0.24539699547710211
Afinn Score x Fed Words,-0.2955014918994112
Afinn Direction x Fed Words,-0.3670097470837694
Vader Score x w2v Words,0.1983204202035519
Vader Direction x w2v Words,-0.540423858030649
Textblob Score x w2v Words,-0.17890506026140615
Textblob Direction x w2v Words,-0.4173184674234361
Afinn Score x w2v Words,-0.35277778538687404
Afinn Direction x w2v Words,-0.5758572986983804
Vader Score x w2v Words Revised v3,0.07394806288932344
Vader Direction x w2v Words Revised v3,-0.459634457284974
TextBlob Score x w2v Words Revised v3,-0.14418502140547199
TextBlob Direction x w2v Words Revised v3,-0.35366160987973405
Afinn Score x w2v Words Revised v3,-0.3291102923037776
Afinn Direction x w2v Words Revised v3,-0.498232122788702
