,Correlation
Fed Words,0.030749959528889752
w2v Words,0.8801349761892878
w2v Words Revised v3,0.6282400587073348
Vader Sentiment Score,0.7098631850890925
Vader Score x Fed Words,0.49635470329613157
Vader Direction x Fed Words,-0.3917128337223653
TextBlob Score x Fed Words,-0.25223070310950957
TextBlob Direction x Fed Words,-0.35230462613252245
Afinn Score x Fed Words,-0.0954522734167568
Afinn Direction x Fed Words,-0.44889751124379207
Vader Score x w2v Words,0.7507152170904234
Vader Direction x w2v Words,-0.440556300735341
Textblob Score x w2v Words,-0.15605546030650225
Textblob Direction x w2v Words,0.27853340109723296
Afinn Score x w2v Words,0.0227866452446362
Afinn Direction x w2v Words,0.07934443586232884
Vader Score x w2v Words Revised v3,0.6967693340666661
Vader Direction x w2v Words Revised v3,-0.3669338998048198
TextBlob Score x w2v Words Revised v3,-0.22803372209841333
TextBlob Direction x w2v Words Revised v3,0.1076388655209395
Afinn Score x w2v Words Revised v3,-0.006202523291403724
Afinn Direction x w2v Words Revised v3,-0.023257583976026144
