,Correlation
Fed Words,0.7653100729095557
w2v Words,0.9419409077547963
w2v Words Revised v3,0.854943172261795
Vader Sentiment Score,0.8504726613643695
Vader Score x Fed Words,0.7674017700694765
Vader Direction x Fed Words,0.0579945760724675
TextBlob Score x Fed Words,-0.07024346434969635
TextBlob Direction x Fed Words,0.23357474433896494
Afinn Score x Fed Words,-0.2761923595202881
Afinn Direction x Fed Words,0.06168045044817838
Vader Score x w2v Words,0.8800998341289585
Vader Direction x w2v Words,0.20391928110672358
Textblob Score x w2v Words,0.03653309164883051
Textblob Direction x w2v Words,0.3963756254945872
Afinn Score x w2v Words,-0.23059365547978397
Afinn Direction x w2v Words,0.28203147790580974
Vader Score x w2v Words Revised v3,0.8150775997388324
Vader Direction x w2v Words Revised v3,0.12810984127248196
TextBlob Score x w2v Words Revised v3,-0.022633421067731724
TextBlob Direction x w2v Words Revised v3,0.3013277056160027
Afinn Score x w2v Words Revised v3,-0.24246370391771072
Afinn Direction x w2v Words Revised v3,0.20473267174492024
