,Correlation
Fed Words,-0.5289540295588281
w2v Words,-0.22621140710490054
w2v Words Revised v3,-0.3851109868770022
Vader Sentiment Score,-0.1682915555066537
Vader Score x Fed Words,-0.44155115182845905
Vader Direction x Fed Words,-0.23365897123691262
TextBlob Score x Fed Words,-0.19899107920718256
TextBlob Direction x Fed Words,-0.238840959396267
Afinn Score x Fed Words,-0.2564377303512124
Afinn Direction x Fed Words,-0.36448307562258525
Vader Score x w2v Words,-0.3809886856773901
Vader Direction x w2v Words,-0.23666332770584908
Textblob Score x w2v Words,-0.2733110675614057
Textblob Direction x w2v Words,-0.34935278591381214
Afinn Score x w2v Words,-0.41703351135451044
Afinn Direction x w2v Words,-0.43299145927601745
Vader Score x w2v Words Revised v3,-0.312301469798619
Vader Direction x w2v Words Revised v3,-0.2421560027228314
TextBlob Score x w2v Words Revised v3,-0.21899941456087865
TextBlob Direction x w2v Words Revised v3,-0.25282845668271214
Afinn Score x w2v Words Revised v3,-0.3616713948544398
Afinn Direction x w2v Words Revised v3,-0.30224180474281176
