,Correlation
Fed Words,0.07249036232205903
w2v Words,0.7589435730172541
w2v Words Revised v3,0.47179039163878345
Vader Sentiment Score,0.674436577760098
Vader Score x Fed Words,0.32186172255952983
Vader Direction x Fed Words,-0.3140410448048223
TextBlob Score x Fed Words,-0.25864208098246494
TextBlob Direction x Fed Words,-0.29898270585812803
Afinn Score x Fed Words,-0.3351172299030615
Afinn Direction x Fed Words,-0.4267339775466843
Vader Score x w2v Words,0.6262183580232005
Vader Direction x w2v Words,-0.18206709277899416
Textblob Score x w2v Words,-0.25354984370580186
Textblob Direction x w2v Words,-0.015238550264032114
Afinn Score x w2v Words,-0.3070860250811948
Afinn Direction x w2v Words,-0.27059950303361
Vader Score x w2v Words Revised v3,0.49207840101266664
Vader Direction x w2v Words Revised v3,-0.23238682707014424
TextBlob Score x w2v Words Revised v3,-0.2456058400240564
TextBlob Direction x w2v Words Revised v3,-0.10520088844628403
Afinn Score x w2v Words Revised v3,-0.3002613931068997
Afinn Direction x w2v Words Revised v3,-0.2981120926657534
