Topic,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,Word_10,Word_11,Word_12,Word_13,Word_14,Word_15,Word_16,Word_17,Word_18,Word_19,Word_20,Word_21,Word_22,Word_23,Word_24,Word_25,Word_26,Word_27,Word_28,Word_29,Word_30
35,serbia,zimbabwe,kosovo,croatia,yugoslavia,mugabe,belgrade,romania,serbian,serb,yugoslav,corbyn,milosevic,bosnia,serbs,romanian,croatian,hungary,bucharest,sarajevo,hungarian,infosys,bosnian,harare,robert_mugabe,zanu,chechen,budapest,pandit,zimbabwean
36,iraq,military,iran,force,president,official,attack,nato,country,troop,government,nuclear,security,kill,pakistan,foreign,defence,afghanistan,iraqi,state,yesterday,washington,leader,page,army,minister,soviet,police,north_korea,talk
37,note,notice,bond,share,coupon,bank,issue,interest,date,rate,limit,agent,ordinary,payable,float,payment,offer,holder,annum,shareholder,register,accordance,tender,luxembourg,london,stock,redemption,principal,warrant,dividend
38,cityline,boyden,website,minute,astms,share,obasanjo,cashback,available,pnees,boyden_interim,digit_code,caller_outside,kroll,sacyr,abacha,yudhoyono,delay,buhari,price,keypad,quayle,method,interim,hongkong_telecom,moussavi,fyffes,louis_dreyfus,obamacare,cardoso
39,like,work,play,book,music,life,film,love,know,woman,artist,thing,good,think,story,young,piece,theatre,feel,little,look,live,write,people,dance,great,find,character,opus,time
40,blog,tessa,rentokil,vatican,church,bank,clive_crook,allotment_letter,yearly_yearly,pope,girobank,yearly,account,hica,gandhi,arriva,gameshow,cheque,aitken,renunciation_date,gummer,okinawa,diller,cardinal,leveson,nohlc,read,comment,baroda,bluetooth
41,aslef,relation,download,immelt,hornby,corzine,ansett,fosun,search,fedex,investor,video,welch,service,view,annual,free,charge,televisa,aiib,presentation,salmonella,jetblue,trisha,garrett,wool_textile,tssa,murthy,mccaw,timeshare
42,airline,airport,passenger,flight,rail,travel,transport,carrier,route,train,heathrow,fare,aircraft,service,traffic,railway,cost,british_airway,london,operator,ship,business,cent,aviation,traveller,port,class,plan,terminal,road
43,pension,fund,scheme,investment,trust,income,rate,insurance,saving,cent,invest,investor,manager,mortgage,life,account,build_society,share,charge,asset,money,unit,bank,benefit,return,retirement,offer,bonus,management,value
44,datum,forex,free,trade,analysis,esignal,spread,news,visit,future,cfds,chart,reader,berkeley,quote,directory,information,financial,service,index,stock,find,page,theatre,madoff,trial,update,email,comment,office
45,drug,patient,pharmaceutical,health,treatment,medical,disease,hospital,medicine,healthcare,research,doctor,pfizer,product,cancer,patent,biotechnology,vaccine,biotech,merck,astrazeneca,total,science,scientist,sale,roche,cent,test,care,chemical
46,auction,sotheby,argentina,christie,argentine,dealer,buenos_aires,collector,gallery,sale,painting,antique,sell,estimate,incorrectly,contemporary,paint,hollinger,buyer,artist,fair,collection,saleroom,auctioneer,bonhams,phillips,london,argentines,siebe,catalogue
47,cadbury,kraft,rockwell,gingrich,bankia,rightmove,zapatero,heron,cajas,chocolate,hershey,drax,endemol,caixabank,confectionery,builder_merchant,ronson,kuwaitis,lukashenko,redstone,black_swan,sharp_reversal,pinter,kiran_stacey,olivant,golding,castorama,goldc,framatome,brasserie
48,papandreou,guinness,somali,intesa_sanpaolo,mondays,ethiopia,weekday_format,leung,mclaren,schumacher,landesbanken,mogadishu,saunders,ethiopian,ship,tiphook,interactive_chart,notice,wanda,henman,gadaffi,george_papandreou,cbbc,tweenies,thorp,boden,aboriginal,cosco,lord_weinstock,eritrea
49,bank,limit,international,branch,security,corporation,deutsche,banque,nomura,finance,announcement,matt,capital,boston,credit_suisse,swiss,tokyo,dresdner,appear,trust,paris,warburg,record,sumitomo,london,credit,merrill_lynch,investment,incorporate,japan
