,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,capital,manager,telebras,informa,retire,steel,kenya,cardholder,close,marcos,july,group,sarin,zedillo,pacific,financialtimes,dillon_read,june,gerry_adams,sogat,vsel,growth,rolet,bashir,cricket,chagford,cedel,supermarket,scotland,music,cent,hollande,stryker,member,intl,yugoslav,government,limit,boyden_interim,artist,girobank,investor,heathrow,invest,cfds,research,painting,hershey,landesbanken,announcement,nissan,interactive_graphic,fund,island,viii,water,shanghai,hutchison_essar,energy,pirelli,turnover,maliki,peace,lesotho,clydesdale,louis_vuitton,white,music,rosehaugh,coal,group,prim,allegation,developer,contract,gold_comex,east,marchionne,currency,avrge,saturday,janus,fine_gael,employment,payout_ratio,shandwick,look,biffa,analysis,datum,mmmm,clariant,zloty,deficit,lord_levene,primeur,bolivars,study,parliament,digital
11,risk,opportunity,alfred_mcalpine,autostrade,manager,elec,greek,traveller_cheque,turnover,peoplesoft,exch,investment,column,sizewell,fise,reproduction,iiii,metal,schrempp,ftcompanies,nicaraguan,bond,rough_diamond,sudanese,play,harford,npls,group,thunder,night,price,barroso,gold_gofo,case,european,corbyn,nuclear,agent,digit_code,thing,yearly,video,fare,investor,chart,doctor,antique,drax,mogadishu,matt,fiat,jancis_robinson,colombo,park,thameslink,poundland,soviet,rifkind,opec,greenberg,increase,riyadh,lebanese,playtech,hill_samuel,richemont,house,soloist,bache,power_station,cpsa,prie,judge,rent,military,crude_nymex,trick,bardon,bank,vontobel,numb,carnival,landsbanki,service,weibo,rasmussen,financialtimes_bracken,huhne,weather,customer,rank,noranda,vietnamese,budget,reckitt_benckiser,blanc,edol,programme,opposition,operator
12,financial,investment,sharelink,fitbit,david,food,ghana,ellison,trade,basel_committee,yield,cent,classify_advertisement,countertrade,service,copy,havel,cash,sdlp,index,dagenham,quarter,chinalco,daytime_telephone,championship,lithuanian,earl_court,share,york,regional,plant,european,foseco,competition,management,milosevic,security,ordinary,caller_outside,good,account,welch,aircraft,manager,reader,pfizer,sell,endemol,saunders,capital,volvo,taste,foreign,water,dobson,greifeld,taiwan,therm,producer,interbrew,half,woodford,jordan,calderón,lloyds,prada,washington,conduct,kohn,fuel,distillery,okay,legal,centre,system,lula,ruff,dividend,change,norddeutsche_landesbank,column,lipper,bolland,yesterday,nacods,airtouch,feature,sweden_jacobson,editorial_comment,business,aaaa,sandvik,gamble,fiscal,dhss,seychelles,sanpaolo,research,poll,cent
13,investment,role,ayling,takeshita,division,mitsui,greece,progs,ftse,fraser,base,fund,reebok,serco,share,telephone,campeau,month,prestwick,jones,tata_motor,yield,offshore_renminbi,torino,tournament,undercover_economist,christopher_lorenz,consumer,hong_kong,breakfast,agricultural,uber,xchanging,brussels,japan,bosnia,kill,payable,kroll,think,hica,service,service,mortgage,berkeley,product,estimate,caixabank,ethiopian,boston,plant,burgundy,philip_morris,fish,tube,eircom,country,aberdeen,exploration,goodyear,result,eurofighter,beirut,skelmersdale,standard_charter,swatch,campaign,beethoven,scottishpower,waste,vodka,london,bank,tenant,helicopter,hang_seng,ecuador,brit,high,norske_creditbank,november,hurricane,manx,public,amaranth,cathode,service,kano,intl,service,high,price,pole,spend,travelex,tampa,ftsoo,teach,tory,service
14,lend,skill,obuchi,omaha,finance,electric,south_africa,debit_card,british,rowland,payment,private,nixdorf,usdaw,sterling,southwark_bridge,undersigned,gold,caparo,bpcc,farc,gain,balanchine,handelsbanken,rugby,univision,wolfensohn,sainsbury,frankfurt,comedy,trade,prodi,alum,industry,manager,serbs,pakistan,float,sacyr,story,gandhi,view,traffic,life,quote,cancer,incorrectly,confectionery,ship,credit_suisse,model,vine,bnoc,build,ranbaxy,beverage,state,income_drawdown,supply,michelin,revenue,aleppo,israelis,ebbers,grindlays,hein,senator,quartet,turkcell,project,finstat,thei,prosecutor,construction,space,crude,trump,share,franc,cramer,february,midland_montagu,merrill,national,playboy,geneve,visit,chubais,stock,online,pcln,emprunt,tomkins,monetary,excavator,trspc,likud,learn,campaign,telecommunication
15,cent,professional,robb,gallois,appointment,sumitomo,lagos,quotrek,water,miguel,corp,stake,expat_live,guidant,»,print,bils,price,hscc,ftseurofirst,wahid,investor,albanese,stora,olympic,jamaica,international,profit,england,live,sugar,macron,governor_haruhiko,legal,american,romanian,foreign,payment,abacha,young,arriva,annual,railway,account,directory,patent,contemporary,builder_merchant,tiphook,swiss,rover,drink,dominion,travel,crocker,steinhoff,india,nupe,commodity,capitalia,fall,albanian,hizbollah,amicus,ally_irish,unil,vote,sonata,sappi,industry,wallonia,warrant,inquiry,estate,programme,eurofirst,prize_puzzle,tech,open_sett,homeserve,page,vioxx,moss_bros,industry,issing,fund,telegram,bnds,leader,digital,index,bank,christopher_bobinski,debt,gideon,nardelli,sapphire,course,coalition,news
16,rate,international,moelis,anson,deputy_chairman,siemens,athens,mbeki,stake,rtrs,prospectus,shareholder,gulliver,vandevelde,food,post,lilt,cocoa,mcguinness,robert_maxwell,telematics,high,aspen,skopje,league,canute_james,kenwood,christmas,angeles,story,producer,brussels,mccartney,committee,property,croatian,defence,offer,yudhoyono,piece,gameshow,free,cost,build_society,information,biotechnology,paint,ronson,interactive_chart,tokyo,volkswagen,claret,fall,tourist,nomad,severn_trent,official,scandinavian,coal,dunlop,operate,shearson,netanyahu,tanaka,knowsley,burberry,democratic,schubert,ltro,solar,brand,recycle_paper,criminal,rental,equipment,nikkei,underwrite,redrow,denmark,cheyne,october,catastrophe,blunkett,department,sangers,cahill,report,microgen,bourse,information,ordinary,hudson,gdansk,eurozone,simons,smart_beta,sheraton,train,voter,page
17,crisis,contact,petroleum_argus,ortega,peter,chemical,uganda,participation_certificate,profit,byers,issue,derivative,telefónica,brian_heron,price,advertise,active,april,cfos,rehn,nanjing,economy,otter,carnegie,stadium,pershing_square,fair,chief_executive,dublin,headline,grain,silvio_berlusconi,trumpeter,business,asset,hungary,afghanistan,holder,delay,theatre,cheque,charge,british_airway,share,financial,vaccine,hollinger,kuwaitis,notice,dresdner,automotive,correspondent,rajoy,food,aramco,drink,mainland,transco,shell,anheuser_busch,compare,tirana,egyptian,insulin,cyprus,xerox,bill,strauss,index,reactor,cushing,anus,crime,park,industry,bovespa,king,culs,close,sinochem,august,pimco,icesave,health,lord_wolfson,weekly,ambani,aktien,section,electronic,noon,alfa_laval,tymoshenko,reform,solbes,floater,buins,science,blair,vodafone
18,mortgage,development,asic,batsman,holding,automobile,continent,undated_float,high,isosceles,prop,firm,unlimited_access,asea_brown,local,service,slocks,spot,newbridge,herbalife,compulsory_redundancy,trade,corus,conran,world,maldives,qingdao,business,wale,series,product,summit,woolf,directive,life,bucharest,iraqi,annum,buhari,feel,aitken,televisa,london,charge,service,biotech,buyer,lukashenko,wanda,appear,manufacturer,chateau,rise,visitor,wrexham,bottle,gazprom,knapp,aluminium,lager,total,ambac,gaza_strip,fitzpatrick,guinness_mahon,elder,administration,opus,heat_pump,supply,andersen_consult,stock,arrest,space,group,copper_comex,queen,rhodia,price,deutsche_genossenschaftsbank,january,pago,bofa,minister,monetarism,palm_malayan,balfour_beatty,janjul,actuary,product,pnee,erian,tullett,central,hayek,mauritius,iplayer,skill,britain,share
19,lender,director,banco_exterior,napm,management,sony,turks,john_wick,issue,varley,scrip_issue,merger,puma,fairchild,high,register,ziff,kilo,randgold,edition,whaling,currency,harry_winston,sloane_street,olympics,guyana,mcqueen,like,milan,programme,wheat,president,radioshack,firm,portfolio,sarajevo,state,shareholder,price,little,renunciation_date,aiib,operator,asset,index,merck,artist,redstone,henman,trust,cent,stockist,financial,holiday,merchanting,svanberg,president,itraxx_crossover,demand,swfs,business,austria_belgium,syria,breedon,hongkong_shanghai,fragrance,election,brahms,linde,utility,outdoor_advertise,prce,justice,acre,project,janeiro,north,equip,sweden,baer,march,oréal,vimpelcom,employee,lynton,baosteel,cocom,whitelaw,enrc,mobile,book,arup,donetsk,european,quote_ipfti,dougan,rogerson,college,referendum,revenue
