,total_word_count
1980-01,1000.0000000000371
1980-02,1000.000000000026
1980-03,999.9999999999862
1980-04,999.9999999999739
1980-05,1000.0000000001211
1980-06,999.9999999999659
1980-07,999.9999999999117
1980-08,1000.0000000000766
1980-09,1000.0000000000535
1980-10,1000.0000000000658
1980-11,999.9999999999031
1980-12,1000.0000000001771
1981-01,999.9999999998831
1981-02,999.9999999999411
1981-03,999.9999999998914
1981-04,999.999999999803
1981-05,1000.0000000000372
1981-06,1000.0000000001137
1981-07,999.9999999998772
1981-08,999.9999999999388
1981-09,1000.0000000000824
1981-10,999.9999999997601
1981-11,999.9999999998231
1981-12,1000.0000000001195
1982-01,1000.0000000000025
1982-02,1000.0000000000131
1982-03,999.9999999999918
1982-04,999.9999999999761
1982-05,1000.0000000000101
1982-06,1000.0000000000257
1982-07,999.9999999999999
1982-08,1000.0
1982-09,1000.0000000000078
1982-10,1000.0000000000144
1982-11,1000.0000000000018
1982-12,1000.0000000000127
1983-01,1000.0000000000059
1983-02,999.9999999999956
1983-03,999.9999999999849
1983-04,1000.0000000000161
1983-05,1000.0000000000201
1983-08,1000.0000000000124
1983-09,999.9999999999985
1983-10,1000.0000000000059
1983-11,1000.0000000000083
1983-12,999.9999999999944
1984-01,999.9999999999957
1984-02,1000.0000000000033
1984-03,1000.000000000012
1984-04,1000.000000000013
1984-05,999.9999999999918
1984-06,999.9999999999708
1984-07,1000.000000000002
1984-08,1000.0000000000066
1984-09,1000.0000000000003
1984-10,999.9999999999876
1984-11,1000.0000000000134
1984-12,999.9999999999985
1985-01,1000.0000000000078
1985-02,999.9999999999882
1985-03,999.9999999999742
1985-04,999.9999999999767
1985-05,1000.0000000000063
1985-06,999.9999999999985
1985-07,0.0
1985-08,0.0
1985-09,1000.0000000000119
1985-10,1000.0000000000076
1985-11,1000.0000000000126
1985-12,1000.0000000000015
1986-01,999.9999999999987
1986-02,1000.0000000000007
1986-03,999.9999999999937
1986-04,999.999999999993
1986-05,999.9999999999883
1986-06,1000.0000000000241
1986-07,1000.0000000000177
1986-08,999.9999999999916
1986-09,1000.0000000000246
1986-10,999.9999999999883
1986-11,999.9999999999901
1986-12,999.9999999999933
1987-01,1000.0000000000138
1987-02,1000.0000000000042
1987-03,1000.0000000000225
1987-04,1000.0000000000122
1987-05,1000.0000000000027
1987-06,999.9999999999912
1987-07,999.9999999999874
1987-08,999.9999999999948
1987-09,999.9999999999965
1987-10,999.9999999999786
1987-11,1000.0000000000106
1987-12,1000.0000000000109
1988-01,1000.0000000000222
1988-02,999.9999999999795
1988-03,999.9999999999736
1988-04,1000.0000000000059
1988-05,999.9999999999757
1988-06,1000.0000000000025
1988-07,1000.0000000000165
1988-08,1000.0000000000014
1988-09,1000.0000000000193
1988-10,1000.0000000000163
1988-11,1000.0000000000141
1988-12,1000.0000000000307
1989-01,1000.0000000000088
1989-02,1000.000000000004
1989-03,1000.0000000000146
1989-04,1000.0000000000123
1989-05,999.9999999999814
1989-06,1000.000000000009
1989-07,999.9999999999836
1989-08,999.9999999999893
1989-09,999.9999999999958
1989-10,999.9999999999957
1989-11,1000.0000000000127
1989-12,999.9999999999886
1990-01,999.9999999999701
1990-02,999.9999999999812
1990-03,999.9999999999822
1990-04,999.9999999999949
1990-05,1000.0000000000375
1990-06,1000.0000000000406
1990-07,1000.0000000000268
1990-08,1000.0000000000023
1990-09,999.999999999978
1990-10,1000.0000000000304
1990-11,999.999999999973
1990-12,999.9999999999733
1991-01,999.9999999999535
1991-02,1000.0000000000294
1991-03,1000.0000000000334
1991-04,999.9999999999874
1991-05,1000.0000000000148
1991-06,1000.0000000000092
1991-07,999.9999999999905
1991-08,999.9999999999867
1991-09,999.9999999999875
1991-10,999.9999999999925
1991-11,1000.0000000000332
1991-12,1000.0000000000257
1992-01,999.9999999999615
1992-02,1000.0000000000197
1992-03,999.9999999999723
1992-04,999.9999999999607
1992-05,999.9999999999802
1992-06,1000.0000000000182
1992-07,999.9999999999586
1992-08,1000.0000000000059
1992-09,999.9999999999567
1992-10,999.9999999999711
1992-11,999.9999999999627
1992-12,999.9999999999683
1993-01,999.9999999999744
1993-02,999.9999999999901
1993-03,1000.0000000000344
1993-04,999.9999999999897
1993-05,999.9999999999576
1993-06,1000.0000000000608
1993-07,999.9999999999693
1993-08,999.9999999999687
1993-09,1000.0000000000757
1993-10,1000.000000000052
1993-11,999.9999999999924
1993-12,999.9999999999924
1994-01,999.9999999999524
1994-02,999.9999999999987
1994-03,1000.0000000000186
1994-04,1000.0000000000293
1994-05,999.9999999999784
1994-06,1000.0000000000042
1994-07,999.9999999999596
1994-08,999.9999999999894
1994-09,1000.0000000000282
1994-10,999.9999999999752
1994-11,1000.000000000051
1994-12,1000.0000000000109
1995-01,1000.0000000000168
1995-02,999.9999999999876
1995-03,1000.0000000000192
1995-04,1000.0000000000286
1995-05,1000.0000000000216
1995-06,999.9999999999854
1995-07,1000.0000000000215
1995-08,1000.0000000000191
1995-09,999.9999999999683
1995-10,999.999999999998
1995-11,999.9999999999909
1995-12,999.9999999999911
1996-01,999.9999999999948
1996-02,999.9999999999761
1996-03,999.99999999998
1996-04,999.9999999999919
1996-05,1000.0000000000135
1996-06,1000.0000000000183
1996-07,1000.0000000000044
1996-08,999.999999999996
1996-09,999.9999999999746
1996-10,1000.0000000000205
1996-11,999.9999999999952
1996-12,999.9999999999962
1997-01,1000.0000000000306
1997-02,1000.000000000002
1997-03,1000.0000000000207
1997-04,1000.000000000002
1997-05,999.9999999999948
1997-06,1000.0000000000108
1997-07,999.9999999999754
1997-08,1000.0000000000057
1997-09,1000.0000000000067
1997-10,1000.000000000007
1997-11,1000.0000000000124
1997-12,999.9999999999912
1998-01,999.9999999999853
1998-02,999.9999999999905
1998-03,999.9999999999785
1998-04,999.9999999999857
1998-05,1000.000000000011
1998-06,999.9999999999905
1998-07,1000.0000000000289
1998-08,999.9999999999965
1998-09,999.9999999999974
1998-10,999.999999999995
1998-11,999.9999999999962
1998-12,999.9999999999854
1999-01,1000.0000000000068
1999-02,999.9999999999842
1999-03,999.9999999999849
1999-04,999.9999999999945
1999-05,999.9999999999987
1999-06,999.9999999999711
1999-07,1000.0000000000018
1999-08,999.9999999999833
1999-09,1000.0000000000069
1999-10,1000.000000000025
1999-11,1000.0000000000169
1999-12,999.9999999999902
2000-01,999.9999999999657
2000-02,999.999999999996
2000-03,1000.0000000000078
2000-04,1000.0000000000009
2000-05,999.999999999986
2000-06,1000.0000000000042
2000-07,999.999999999996
2000-08,1000.0000000000019
2000-09,1000.0000000000027
2000-10,0.0
2000-11,1000.0000000000015
2000-12,1000.00000000001
2001-01,999.9999999999898
2001-02,999.9999999999908
2001-03,999.9999999999906
2001-04,999.9999999999918
2001-05,1000.0000000000018
2001-06,999.9999999999983
2001-07,999.9999999999867
2001-08,999.999999999993
2001-09,999.9999999999982
2001-10,999.9999999999942
2001-11,1000.0000000000128
2001-12,1000.0000000000103
2002-01,1000.0000000000038
2002-02,1000.0000000000088
2002-03,999.999999999986
2002-04,999.9999999999311
2002-05,1000.0000000000109
2002-06,999.999999999976
2002-07,1000.0000000000117
2002-08,999.9999999999798
2002-09,1000.0000000000115
2002-10,999.9999999999797
2002-11,999.9999999999994
2002-12,1000.0000000000134
2003-01,1000.000000000024
2003-02,999.999999999991
2003-03,999.9999999999493
2003-04,1000.0000000000116
2003-05,1000.0000000000109
2003-06,1000.0000000000284
2003-07,1000.0000000000571
2003-08,999.9999999999955
2003-09,999.9999999999501
2003-10,1000.0000000000719
2003-11,1000.0000000000571
2003-12,999.9999999999804
2004-01,999.9999999999815
2004-02,999.9999999999786
2004-03,1000.0000000000003
2004-04,999.9999999999892
2004-05,1000.0000000000085
2004-06,999.9999999999957
2004-07,999.9999999999837
2004-08,1000.0000000000142
2004-09,999.9999999999455
2004-10,1000.0000000000744
2004-11,999.9999999999732
2004-12,999.9999999999287
2005-01,1000.0000000000006
2005-02,1000.0000000000797
2005-03,1000.000000000009
2005-04,999.9999999999704
2005-05,999.9999999999635
2005-06,999.9999999999711
2005-07,1000.0000000000402
2005-08,1000.0000000000762
2005-09,999.9999999999542
2005-10,1000.0000000000183
2005-11,999.9999999999264
2005-12,999.9999999999509
2006-01,1000.0000000000413
2006-02,999.9999999998905
2006-03,999.9999999999467
