,negation_index
1980-01,3.2745834537224314
1980-02,1.7951530866660015
1980-03,4.425322679778734
1980-04,4.854705596782024
1980-05,3.923620193565263
1980-06,3.8648877594239726
1980-07,3.5880527540729252
1980-08,6.444444444444445
1980-09,4.418363824646185
1980-10,3.190117423471119
1980-11,2.926752096187312
1980-12,0.9041591320072332
1981-01,4.301445285615966
1981-02,1.7513134851138357
1981-03,3.484320557491289
1981-04,4.491091042226019
1981-05,3.660768761439902
1981-06,3.2356176794150007
1981-07,4.10469641238872
1981-08,4.5844598565886905
1981-09,4.380664652567975
1981-10,4.033419763756842
1981-11,4.982469090238052
1981-12,5.256518082422202
1982-01,2.3261824760920136
1982-02,4.922801521593198
1982-03,3.741814780168382
1982-04,5.323868677905945
1982-05,5.460619298471027
1982-06,3.661761714246965
1982-07,5.758946935417523
1982-08,4.507042253521125
1982-09,2.882696429891345
1982-10,2.8072745026241916
1982-11,4.452255418863503
1982-12,3.566596974541876
1983-01,5.982426621798467
1983-02,3.6239178578618887
1983-03,4.373455029473283
1983-04,5.077636323496946
1983-05,2.907794765969421
1983-08,7.535795026375283
1983-09,4.039167686658507
1983-10,3.683007366014732
1983-11,3.229568493765138
1983-12,3.9664022398506766
1984-01,6.878480183426139
1984-02,2.961082910321489
1984-03,4.400117336462306
1984-04,3.2384758492386134
1984-05,4.7919843171422345
1984-06,7.869040781160252
1984-07,3.6467830164105237
1984-08,6.470959595959595
1984-09,7.162753680859529
1984-10,3.3003300330033003
1984-11,2.6413100898045427
1984-12,1.1940694550399682
1985-01,3.03007907767349
1985-02,3.592021930239153
1985-03,4.4370910731744
1985-04,2.854138500826198
1985-05,2.487974788522143
1985-06,3.124575465290042
1985-07,1.7908309455587392
1985-08,5.702436495593572
1985-09,2.4379750466083467
1985-10,6.099452083117957
1985-11,5.025486395290402
1985-12,5.485189987035007
1986-01,4.673737192162503
1986-02,2.8579803605452145
1986-03,2.8900620399984587
1986-04,1.1594719942918301
1986-05,4.459760794648288
1986-06,1.7843123260295481
1986-07,4.224270353302611
1986-08,1.6054150214778495
1986-09,1.5267175572519085
1986-10,2.26928895612708
1986-11,3.143006809848088
1986-12,4.032997250229147
1987-01,7.421875
1987-02,7.263922518159806
1987-03,3.068112088361628
1987-04,2.5214321734745333
1987-05,3.1269543464665417
1987-06,9.220452640402346
1987-07,2.9635901778154103
1987-08,0.0
1987-09,2.6455026455026456
1987-10,5.450321658327376
1987-11,6.900690069006901
1987-12,7.035483307114141
1988-01,3.6885245901639347
1988-02,3.312863606981254
1988-03,4.0241448692152915
1988-04,6.51863923405989
1988-05,5.611931119311194
1988-06,4.167864328830124
1988-07,6.309497454062431
1988-08,2.301923219722284
1988-09,2.2401240684099424
1988-10,2.6959560659011483
1988-11,2.654109589041096
1988-12,4.659658540222172
1989-01,1.8306325852600176
1989-02,1.6740779492545124
1989-03,1.84731709412725
1989-04,7.359307359307358
1989-05,4.293345314762119
1989-06,2.4455518641565157
1989-07,4.085049388916793
1989-08,3.564003564003564
1989-09,2.497126322882397
1989-10,2.196698675704513
1989-11,1.5912408759124088
1989-12,2.9496724846413596
1990-01,2.8642303659565758
1990-02,1.777868601205681
1990-03,1.6356841816206404
1990-04,2.435143998181759
1990-05,1.789101901691935
1990-06,3.0499675535366646
1990-07,2.2454609610572915
1990-08,0.9684331987142505
1990-09,5.701615457713019
1990-10,6.835492480958271
1990-11,3.5799522673031023
1990-12,4.21675067855758
1991-01,2.6147588611272514
1991-02,1.8665422305179655
1991-03,1.88218536982399
1991-04,6.021375884389583
1991-05,4.249395560114294
1991-06,1.8115942028985508
1991-07,2.41454407726541
1991-08,7.058966713320758
1991-09,6.0208960510005305
1991-10,1.856506340683194
1991-11,4.446876924129438
1991-12,5.8540543673564
1992-01,0.9472780557117907
1992-02,2.3952871107658447
1992-03,2.4428006193015652
1992-04,1.2175458225015632
1992-05,1.369752638788172
1992-06,3.7296423687373084
1992-07,1.3498945394891024
1992-08,5.657237936772046
1992-09,2.087936591595548
1992-10,1.1429576226481446
1992-11,1.998580447532594
1992-12,6.84655658477648
1993-01,2.651394633577261
1993-02,1.901376431199107
1993-03,3.8722711712217297
1993-04,5.342730476298738
1993-05,2.1252332573087287
1993-06,4.838072669826224
1993-07,3.790053979556678
1993-08,1.8168019685854244
1993-09,1.6699559738879615
1993-10,2.1650726711348747
1993-11,4.316305577672548
1993-12,2.488439126557867
1994-01,2.0528921627822725
1994-02,2.5572177470911654
1994-03,2.033949377259944
1994-04,3.241787092208296
1994-05,3.84830935923781
1994-06,1.8885008407709223
1994-07,3.0376670716889427
1994-08,3.471941865159467
1994-09,3.408364695022367
1994-10,2.641932872178742
1994-11,2.325326313480311
1994-12,3.6982899811563317
1995-01,1.700840971369177
1995-02,1.639916936751606
1995-03,1.4683108689417839
1995-04,1.3145713756711723
1995-05,1.6205325858444293
1995-06,1.2682249479287202
1995-07,1.9430239639622222
1995-08,1.6600541177642392
1995-09,1.3635823434851415
1995-10,2.549834825970633
1995-11,1.9790154105578717
1995-12,2.79770724479451
1996-01,1.5234226228259489
1996-02,2.5807574088035725
1996-03,1.7963488987407858
1996-04,3.1052428920990196
1996-05,1.8616444144956996
1996-06,1.907904914144279
1996-07,1.9056215836718322
1996-08,1.9267822736030824
1996-09,2.5470256400581097
1996-10,1.495395132449283
1996-11,2.275771906322127
1996-12,1.7917832289089772
1997-01,1.759318892257426
1997-02,1.9361084220716362
1997-03,1.8307348066959426
1997-04,1.2470320636884218
1997-05,2.781226719642413
1997-06,2.120940205801121
