,negation_index
1980-01,0.9173601472541745
1980-02,0.9616281656583924
1980-03,4.2158516020236085
1980-04,0.7271346012969042
1980-05,0.944515388044702
1980-06,3.085836639586876
1980-07,0.4503254238440232
1980-08,1.010407194099222
1980-09,0.6734558973364944
1980-10,0.47888248705661957
1980-11,0.8809385623082662
1980-12,0.7831776582202222
1981-01,0.6400778911687283
1981-02,0.6481404131391025
1981-03,0.6265826390003677
1981-04,0.7092590381520772
1981-05,0.7757524569319678
1981-06,0.7471582442845588
1981-07,0.849613336633133
1981-08,1.0508206332475802
1981-09,1.0164827642855188
1981-10,0.7261623980974937
1981-11,1.0912838194381131
1981-12,0.6726905805137902
1982-01,0.9087024811790264
1982-02,0.9237304589822491
1982-03,0.955709061357172
1982-04,1.5048070224327712
1982-05,1.2739147492557292
1982-06,3.664416586306654
1982-07,5.587840858292355
1982-08,1.4200757142807663
1982-09,0.9045330025326923
1982-10,0.8097677862935513
1982-11,0.732779677576942
1982-12,0.7957411039506863
1983-01,0.9575233123154979
1983-02,1.12943302462164
1983-03,1.2456629661361966
1983-04,4.672897196261682
1983-05,0.7772132586824796
1983-08,1.2456950245475193
1983-09,1.6744469251065552
1983-10,3.5058196606366567
1983-11,0.6472654921862211
1983-12,0.9259589016702874
1984-01,0.64346919493044
1984-02,4.678938619713108
1984-03,4.568873335277534
1984-04,0.6763546041673549
1984-05,4.947613504074505
1984-06,1.505250793070219
1984-07,0.764006791171477
1984-08,6.574141709276843
1984-09,3.3030553261767133
1984-10,1.1911852293031566
1984-11,5.851063829787234
1984-12,3.5051278722575616
1985-01,1.9945040333303783
1985-02,4.186185587561049
1985-03,4.948680351906157
1985-04,4.288900325956426
1985-05,1.943634596695821
1985-06,6.5420560747663545
1985-07,3.9331366764995086
1985-08,5.12280701754386
1985-09,2.1231422505307855
1985-10,6.327033689400165
1985-11,3.4287418008348243
1985-12,3.2261125343960524
1986-01,4.693877551020408
1986-02,4.83393107749883
1986-03,4.935834155972359
1986-04,0.7942023230417947
1986-05,3.8759689922480627
1986-06,4.703115814226925
1986-07,5.508072174738842
1986-08,3.398109801422959
1986-09,2.866905575464622
1986-10,4.605641911341393
1986-11,6.412043490381935
1986-12,2.011888431641518
1987-01,4.119850187265918
1987-02,3.9986671109630123
1987-03,4.574455278680631
1987-04,8.526903851808292
1987-05,3.671350803899228
1987-06,4.184407575980033
1987-07,6.0577819198508855
1987-08,4.7476261869065475
1987-09,8.663366336633665
1987-10,3.6741067328005874
1987-11,4.51559934318555
1987-12,7.6034919740918046
1988-01,2.761515519717221
1988-02,4.143646408839778
1988-03,3.5985605757696923
1988-04,2.004008016032064
1988-05,3.7829530677385037
1988-06,3.3277870216306162
1988-07,3.7541060534960122
1988-08,2.8510915607689804
1988-09,3.189474733379847
1988-10,3.9798753473004433
1988-11,3.5172774371405486
1988-12,7.366654233494963
1989-01,4.226490148548699
1989-02,2.780674313521029
1989-03,1.8939393939393936
1989-04,4.507475813544416
1989-05,5.735794945330705
1989-06,4.189944134078213
1989-07,3.9721069820813835
1989-08,4.64929859719439
1989-09,3.461841070023603
1989-10,6.2395543175487465
1989-11,2.782931354359926
1989-12,4.0421362077413034
1990-01,2.2599693810599986
1990-02,4.024414783016969
1990-03,2.607005735412618
1990-04,2.8906648529161707
1990-05,3.375308321433208
1990-06,4.626993166287017
1990-07,2.5356359649122804
1990-08,2.6990553306342777
1990-09,2.363766831286142
1990-10,5.062160351373483
1990-11,5.628517823639776
1990-12,3.896666185596767
1991-01,2.6836031845424455
1991-02,3.3908157333850033
1991-03,5.390835579514825
1991-04,4.507475813544415
1991-05,6.930907515702837
1991-06,2.6519787841697267
1991-07,3.7209302325581395
1991-08,3.6962131250435877
1991-09,4.066780821917809
1991-10,4.430496584825549
1991-11,2.209045459830252
1991-12,3.2480314960629917
1992-01,3.5921525283227402
1992-02,5.278979397316519
1992-03,2.429395687822654
1992-04,5.014709815458679
1992-05,6.828528072837632
1992-06,3.313696612665684
1992-07,4.9983113812901045
1992-08,4.88145048814505
1992-09,2.3524598547611744
1992-10,0.9062348960850654
1992-11,3.174603174603175
1992-12,5.749520873260561
1993-01,2.6026604973973395
1993-02,3.92366684501516
1993-03,4.317200636219042
1993-04,3.571428571428571
1993-05,3.439206959336435
1993-06,3.9810426540284363
1993-07,3.3497536945812803
1993-08,6.390977443609022
1993-09,5.7745055579616
1993-10,5.120702267739575
1993-11,4.513857542655954
1993-12,2.3967836709447963
1994-01,1.7123287671232876
1994-02,4.34320156000709
1994-03,2.432843385707045
1994-04,3.5096730011984247
1994-05,3.7697549659272145
1994-06,3.323154302137596
1994-07,2.5163563160543534
1994-08,3.6446100267271406
1994-09,2.463673387299512
1994-10,2.2610893130278646
1994-11,4.422884862319874
1994-12,3.080369644357323
1995-01,2.3233760075865337
1995-02,2.6088374368172182
1995-03,3.217233179465659
1995-04,3.4592500345924995
1995-05,4.390495867768594
1995-06,3.4383954154727787
1995-07,3.5247466588338967
1995-08,0.8259343382201115
1995-09,4.397114393679148
1995-10,3.981135542353157
1995-11,3.255882788219624
1995-12,1.8514708907632174
1996-01,1.9803548795944232
1996-02,3.6447576236180295
1996-03,3.2971476562256994
1996-04,2.185918085595951
1996-05,1.9960079840319362
1996-06,2.459903571779986
1996-07,2.414851335714645
1996-08,2.150372475232317
1996-09,3.5693039857227844
1996-10,3.975557682397114
1996-11,2.2924710424710426
1996-12,4.5424043772260365
1997-01,2.5327142254115667
1997-02,2.893558387874612
1997-03,3.307901616603532
1997-04,5.493068270991367
