,country,month,fed_pos,fed_neg,w2v_pos,w2v_neg,w2v_refined_2_pos,w2v_refined_2_neg,vader_pos,vader_neg,tb_polarity,tb_is_positive,tb_subjectivity,afinn_score,affin_is_positive,num_doc,vader_is_pos,vader_pos_x_fed_pos,vader_neg_x_fed_neg,vader_is_pos_x_fed_pos,vader_is_neg_x_fed_neg,textblob_polar_x_fed_pos,textblob_polar_x_fed_neg,textblob_is_pos_x_fed_pos,textblob_is_neg_x_fed_neg,afinn_score_x_fed_pos,afinn_score_x_fed_neg,afinn_is_pos_x_fed_pos,afinn_is_neg_x_fed_neg,vader_pos_x_w2v_pos,vader_neg_x_w2v_neg,vader_is_pos_x_w2v_pos,vader_is_neg_x_w2v_neg,textblob_polar_x_w2v_pos,textblob_polar_x_w2v_neg,textblob_is_pos_x_w2v_pos,textblob_is_neg_x_w2v_neg,afinn_score_x_w2v_pos,afinn_score_x_w2v_neg,afinn_is_pos_x_w2v_pos,afinn_is_neg_x_w2v_neg,vader_pos_x_w2v_refined_2_pos,vader_neg_x_w2v_refined_2_neg,vader_is_pos_x_w2v_refined_2_pos,vader_is_neg_x_w2v_refined_2_neg,textblob_polar_x_w2v_refined_2_pos,textblob_polar_x_w2v_refined_2_neg,textblob_is_pos_x_w2v_refined_2_pos,textblob_is_neg_x_w2v_refined_2_neg,afinn_score_x_w2v_refined_2_pos,afinn_score_x_w2v_refined_2_neg,afinn_is_pos_x_w2v_refined_2_pos,afinn_is_neg_x_w2v_refined_2_neg,all_pos_mean,all_neg_mean,fed_pos_mean,fed_neg_mean,w2v_pos_mean,w2v_neg_mean,w2vRef_pos_mean,w2vRef_neg_mean,all_pos_med,all_neg_med,fed_pos_med,fed_neg_med,w2v_pos_med,w2v_neg_med,w2vRef_pos_med,w2vRef_neg_med
0,china,1980-01,0.0033018374460998643,0.005838543067860803,0.037362429302795985,0.06435687177658478,0.02705195494339653,0.03716514633088967,0.0730074074074074,0.04226666666666668,0.036891308367791316,0.7407407407407407,0.3673953226953762,7.533333333333332,0.7037037037037037,134,0.7407407407407407,0.00030518346806014435,0.000375727024312847,0.0027686987590339047,0.002478295666490148,0.000222827100351753,7.102652376023289e-05,0.002984061144006964,0.0011706403952052758,0.04560923969454524,0.024616353759181062,0.002632533485480239,0.0026749725738685172,0.0033697802430133197,0.0037668395270243,0.029596660056315182,0.02126993321881034,0.0023165655429310114,0.0007361442531966424,0.030934674282890626,0.013752769379990324,0.4826677355843949,0.23995304622026706,0.02797425608385946,0.02360301738481361,0.0025173573027118673,0.002346710348498313,0.021805239193445142,0.013744351192209276,0.0016955308440054176,0.0004559091939767948,0.02299074339947144,0.008624243388825092,0.3574125774379053,0.1502371564305044,0.02037164797924696,0.015320712012421363,0.05878751731120383,0.029177658249630867,0.009087090608579707,0.005231169323803014,0.0961432786322341,0.05051362499735038,0.06564566474542263,0.030627948348579945,0.021088443586346053,0.011184297290517184,0.002700616122257072,0.0018244680308477119,0.02878545807008732,0.017511351299400332,0.021805239193445142,0.013744351192209276
1,china,1980-02,0.0029263089233275154,0.005939260814200744,0.03567106369502332,0.06808133370499815,0.024447903335480012,0.036609598662885295,0.0706218487394958,0.040252100840336126,0.054834450750786835,0.8319327731092437,0.35697640149327703,8.974789915966387,0.7058823529411765,118,0.773109243697479,0.0002602128963299982,0.0004077389298640144,0.002421688293141882,0.0027218130187496737,0.000209428567547339,6.712484850471243e-05,0.0025977599538122057,0.0012208111828333349,0.05656912149083582,0.05397455979717019,0.002206784594642917,0.0032745869543187823,0.003073745782880693,0.0038388153139760493,0.029216392002318486,0.023401946310045336,0.0022738805591260586,0.0005751975728611237,0.031204396241193907,0.011155705681177486,0.6022599999528567,0.40060004832955504,0.02722869970326637,0.02872800726471532,0.0022330580822015013,0.0022957533315345227,0.020523423543189104,0.014284573095567944,0.0016505215269198895,0.00032645779621078344,0.021611604850790063,0.006294406191905821,0.4577897960630648,0.2574781950187227,0.01921312788225608,0.017147689314164768,0.07125242455479855,0.045988523886215424,0.01071083263271836,0.010277772455240117,0.11587618570694037,0.07804995341205505,0.08009566387143095,0.04801592494462413,0.019868275712722594,0.010716739068208803,0.0023142364438923993,0.0019713121007915043,0.02822254585279243,0.01727882599561141,0.020523423543189104,0.014284573095567944
2,china,1980-03,0.0034210937380883487,0.004684034052905743,0.034030072046362825,0.05545662683697293,0.023305280050123445,0.030188158438158967,0.0647294117647059,0.029776470588235283,0.05232993805461943,0.8,0.34609954458253017,10.43529411764706,0.8117647058823529,84,0.8352941176470589,0.0002737697118082769,0.0002074636926676412,0.002810477888075832,0.0011184332479612323,0.00023375247177306318,4.400576065746352e-05,0.002729554692810656,0.0008305271362606809,0.05197998501237435,0.009699143750241343,0.0028966706092566265,0.0009794845622078667,0.002739847683655351,0.002194229554060248,0.02938586587377762,0.011360940636390815,0.0022545311868310963,0.0004831350386883492,0.02863290109106327,0.0093093331564765,0.5428444796207154,0.09018493688705136,0.029036597756520968,0.011889034181753213,0.0019479080908454051,0.0013189410246729966,0.020023808867107504,0.007140603272567208,0.0015346762712596745,0.0002757367508829372,0.019501648725497155,0.0052406965610198464,0.3864927601058893,0.059536673106409366,0.020396238724901757,0.006908965851203475,0.06365085968800907,0.012151238009509588,0.0101540350643498,0.002146509691666038,0.10581570386876062,0.020903601575736747,0.06994640437851335,0.01284699620485202,0.01976272879630233,0.006074831206111661,0.0027700162904432443,0.0009050058492342738,0.02883474942379212,0.010335136896433658,0.020023808867107504,0.006908965851203475
3,china,1980-04,0.0039314941360868785,0.00494876098741846,0.039560581757172725,0.06011172075307086,0.028527103835787555,0.033059708001849104,0.08433333333333333,0.03705882352941176,0.07134874173426066,0.8921568627450981,0.3774391835810758,12.872549019607847,0.7941176470588235,101,0.8333333333333334,0.00043179979981239667,0.0003007506201874628,0.003780420583412821,0.001173872987773034,0.0003914080091076885,5.141747040741204e-06,0.003810153086066387,0.00024482293841789104,0.09507145422851973,0.019171479283473847,0.0037453926863416217,0.0013398846312416724,0.0042153241628703365,0.003163487590954037,0.03626626235091,0.012118400480311516,0.003511133380596972,0.00010618877615472656,0.03736243068383415,0.00305856268366426,0.7892038136952877,0.1751780832328238,0.03520810377235551,0.013817316503825602,0.003185528361723817,0.001878489791264981,0.026655245184119485,0.007683178144715084,0.0024399562050143745,6.405301958065683e-05,0.02666341408470545,0.0017050580874222602,0.6111948149858533,0.11446275227387236,0.025804045504163254,0.008686946265046755,0.09494115004248307,0.020231026058765037,0.017871771398876777,0.003705992034689108,0.15096117800764244,0.03457367321128899,0.10663523375273132,0.021443463209627246,0.02622964534414137,0.0034347398128215722,0.0037629066348772214,0.0007373118039802484,0.03573718306163276,0.0076409440356327765,0.026655245184119485,0.0076409440356327765
4,china,1980-05,0.003189025991715816,0.0044047423017392505,0.030531681386214544,0.051630383350462286,0.020940303602072045,0.029216163360518133,0.06178873239436621,0.03132394366197181,0.04661716959480448,0.6901408450704225,0.3996881250145629,11.014084507042252,0.7042253521126759,70,0.8169014084507042,0.0002580162706689856,0.00020195107112935188,0.002881243651339213,0.0007095755777401048,0.0002522927533730357,1.344971773657208e-05,0.0029498086503335487,0.0006972633584965447,0.06230673128162344,0.0031713042009152014,0.00295566694923075,0.0011138087276963886,0.0025764951967522675,0.002234913533650483,0.02665184182053008,0.008950834885221356,0.0023877073829879467,0.00037209343108988757,0.0268470960208342,0.010699538098879923,0.6164059678088769,0.06383244080947832,0.02582697839744787,0.0144783557974817,0.0018313820060824621,0.0012664605561318,0.018483877768090014,0.004551556097241136,0.001604105091828301,0.0001748636202640203,0.01896448026257977,0.005593875255353038,0.474673079409996,0.028019810761844798,0.01878516391702029,0.0070437069311233376,0.07259121859108861,0.008506989023970775,0.011933959926094827,0.0009845587756190273,0.11678268110457153,0.01676136275930028,0.08173888311970576,0.00810035375342758,0.018634520842555152,0.003861430149078169,0.0029155261508363806,0.0007034194681183248,0.026239410108988975,0.00982518649205064,0.01878516391702029,0.005593875255353038
5,china,1980-06,0.0047590218913944795,0.004302693193000266,0.0414532080754626,0.060791372747348485,0.03036347633237455,0.03239057760771954,0.08020161290322579,0.040798387096774184,0.04793083009764415,0.7983870967741935,0.3705516262961735,11.467741935483868,0.8064516129032258,123,0.8306451612903226,0.00044200067845910683,0.000258977703598205,0.004244820891290274,0.0014435778086566832,0.00036039811627839636,2.5687103820550603e-05,0.004211000647709869,0.0007403158889465895,0.08729058476235457,0.019108931476376267,0.004305448360191532,0.001324349583560992,0.003795895864810049,0.0032187606081463976,0.03587094636604544,0.014250668640579937,0.002888144543367869,0.0006801839823835747,0.03594788150200238,0.01074068678723868,0.7089952936489637,0.1890880845164972,0.03606102614762727,0.014166566080250038,0.002857873241558748,0.0018604069042682464,0.026701445031936485,0.008902622919781519,0.002202279206280665,0.00029043440781215834,0.02667484399779476,0.005977887270022516,0.5652511512642062,0.12046648276122893,0.02680476578408661,0.008461626827049632,0.08749476666972023,0.022278125070567676,0.01680904224271396,0.003816973260826548,0.1372598646788028,0.03869082510251597,0.09911733690190005,0.023416153836008133,0.026688144514865623,0.007219757048536074,0.004227910769500071,0.0010323327362537907,0.03590941393402391,0.012453626433744359,0.026701445031936485,0.008461626827049632
6,china,1980-07,0.003406345680759561,0.0046868412386226205,0.036592029730942346,0.053889219932549165,0.025866189006655018,0.030068540974975907,0.07798265895953756,0.03480924855491326,0.06745338036865993,0.838150289017341,0.3707472008618517,13.815028901734106,0.7572254335260116,172,0.8323699421965318,0.000322772103616105,0.00026702273832549027,0.0029307590025447424,0.0014111369423304653,0.0002630775447038032,2.6823643340057693e-05,0.0030144615151325065,0.0009948705423985502,0.07643238823035339,0.021016130663690576,0.0029151520734317666,0.0015190322943359651,0.0036339261804336775,0.0027971070878351637,0.03157247211830732,0.012608375187815369,0.002554911926891645,0.00022788991617377026,0.03253912810396254,0.00799981260436223,0.8171940687550898,0.21170966009756076,0.031186254221827255,0.01442126185026329,0.0026508279462118373,0.0017236350158860954,0.02284396531392,0.00802391196089506,0.0018851818390780413,0.00014189873602356054,0.022916093004419224,0.00519273788205548,0.6156807391003027,0.13654068423297214,0.022926100350501497,0.009149719728767543,0.094081237740596,0.024209539506946195,0.01431310174496372,0.0042058361374035175,0.15311346021775205,0.04162735112400177,0.105601189695305,0.025646146036105703,0.02288002915916961,0.006596275243208855,0.0029229555379882543,0.0012030037423645078,0.03137936317006729,0.0103040938960888,0.022916093004419224,0.00802391196089506
7,china,1980-08,0.003509578298842927,0.006022118556216152,0.03840347340455611,0.06688377597801091,0.02545729221640044,0.03827828379100106,0.07614615384615382,0.04369230769230767,0.054801500668827885,0.8307692307692308,0.36625807334467775,12.453846153846154,0.7230769230769231,129,0.7846153846153846,0.00034328464504576183,0.0003678915451021824,0.0029477302105618483,0.0018719203459023435,0.00026509879281836425,1.5056475919236462e-05,0.003167290456574097,0.0007434459620949633,0.0911116724312668,0.03291948739542958,0.002976401355471713,0.002081373992076781,0.003671844807405831,0.003975123203086075,0.03112984775806948,0.01994264329733399,0.002632229055644564,0.0002541140170070582,0.03441104162125085,0.00929716286880642,0.8500160566966093,0.33335978803011096,0.031244115456630337,0.02040048040839799,0.002578961645659713,0.0024019240643921307,0.021635976412507182,0.012234944604313954,0.0019134950712298851,0.00015601603667373176,0.02307986214789364,0.005628045144083018,0.6210625514167629,0.20870348072414804,0.02169026044912834,0.012269754289393907,0.09699320669058503,0.037034591800237354,0.01680191298195643,0.006333195952754181,0.1588508558992684,0.06453821863745708,0.10717856474611016,0.0388111301392726,0.021663118430817762,0.0078151794107803,0.0029620657830167806,0.0013076831539986533,0.03118698160734991,0.014619903083070205,0.02169026044912834,0.012234944604313954
8,china,1980-09,0.003102719737420352,0.005596990218849909,0.03473760265165378,0.06340359789075918,0.02356702129027523,0.03644988902551607,0.07033757961783435,0.04093630573248404,0.04388825470208679,0.7643312101910829,0.36048403028531106,9.29936305732484,0.6942675159235668,156,0.7898089171974523,0.0002999581431623873,0.00034502560074585475,0.0024527441344828647,0.0020614479783277184,0.0001694949231943879,3.523823692098549e-05,0.0026226375439333373,0.0010550336048914262,0.047511008005615,0.025287194706777042,0.0022187721782529844,0.002360339914589089,0.003165713056214239,0.003715566090675525,0.02682121872471156,0.01955533168872437,0.0018264381051527698,0.00041266678473646,0.028965575108072742,0.01108783394127028,0.4898590681792762,0.26575265031986395,0.024308326214617454,0.024566608776568875,0.002273352495037705,0.0022048430833013144,0.01866688281213246,0.011808433253697551,0.0012496796085064005,0.00023284520178123652,0.020026649754112436,0.006121082382247746,0.35759921906898384,0.1625193854048821,0.017104872237060916,0.014478807023617925,0.05817453390513997,0.03075557411075664,0.00921243582144016,0.0051907133403753525,0.0958243898980075,0.054181776266973236,0.06445911284449127,0.031943717785292564,0.017885877524596687,0.008604458161759013,0.0023357581563679245,0.0015582407916095724,0.025564772469664508,0.015321582814997327,0.01866688281213246,0.011808433253697551
9,china,1980-10,0.0029385863237202,0.005252076913164214,0.03147426267909146,0.058141435781124774,0.021097676029425083,0.03339396027948822,0.07175287356321837,0.04160919540229885,0.058559897887219874,0.7931034482758621,0.3632511587377052,8.206896551724139,0.7068965517241379,173,0.7873563218390804,0.000260939915467739,0.0003463244304284414,0.002451769711279353,0.001782644563485047,0.0002377051326519003,4.137845694151124e-05,0.00247069736090972,0.0011242894944223137,0.04459537281499694,0.02879400403502122,0.00237836674310192,0.0022107694917069573,0.0028684971217684983,0.0034874945808880888,0.026748385943858696,0.01558711493248597,0.0020814161935247435,0.00048421062216442176,0.02521340994902936,0.013940800374521743,0.4387492841418991,0.2322353344929609,0.024738535641579882,0.019696617910491158,0.001970306201694162,0.0021220918010704296,0.01825756233032913,0.010182251468112722,0.0014670230108936725,0.00026953622674602844,0.016947743324433766,0.008139565535910534,0.30386207566415674,0.15559577046218584,0.016849955187305008,0.012123822753826731,0.05178605813271557,0.028231334535187225,0.008732475279734595,0.005716568412000914,0.08673325483194338,0.04757192881891872,0.05628960599591178,0.029994763334884347,0.01689884925586939,0.009160908502011629,0.0024150682271906363,0.0014534670289536803,0.02497597279530462,0.014763957653503856,0.016947743324433766,0.010182251468112722
