,country,month,num_doc,fed_pos,fed_neg,w2v_pos,w2v_neg,w2v_refined_2_pos,w2v_refined_2_neg,vader_pos,vader_neg,tb_polarity,tb_is_positive,tb_subjectivity,afinn_score,affin_is_positive,vader_is_pos,vader_pos_x_fed_pos,vader_neg_x_fed_neg,vader_is_pos_x_fed_pos,vader_is_neg_x_fed_neg,textblob_polar_x_fed_pos,textblob_polar_x_fed_neg,textblob_is_pos_x_fed_pos,textblob_is_neg_x_fed_neg,afinn_score_x_fed_pos,afinn_score_x_fed_neg,afinn_is_pos_x_fed_pos,afinn_is_neg_x_fed_neg,vader_pos_x_w2v_pos,vader_neg_x_w2v_neg,vader_is_pos_x_w2v_pos,vader_is_neg_x_w2v_neg,textblob_polar_x_w2v_pos,textblob_polar_x_w2v_neg,textblob_is_pos_x_w2v_pos,textblob_is_neg_x_w2v_neg,afinn_score_x_w2v_pos,afinn_score_x_w2v_neg,afinn_is_pos_x_w2v_pos,afinn_is_neg_x_w2v_neg,vader_pos_x_w2v_refined_2_pos,vader_neg_x_w2v_refined_2_neg,vader_is_pos_x_w2v_refined_2_pos,vader_is_neg_x_w2v_refined_2_neg,textblob_polar_x_w2v_refined_2_pos,textblob_polar_x_w2v_refined_2_neg,textblob_is_pos_x_w2v_refined_2_pos,textblob_is_neg_x_w2v_refined_2_neg,afinn_score_x_w2v_refined_2_pos,afinn_score_x_w2v_refined_2_neg,afinn_is_pos_x_w2v_refined_2_pos,afinn_is_neg_x_w2v_refined_2_neg,all_pos_mean,all_neg_mean,fed_pos_mean,fed_neg_mean,w2v_pos_mean,w2v_neg_mean,w2vRef_pos_mean,w2vRef_neg_mean,all_pos_med,all_neg_med,fed_pos_med,fed_neg_med,w2v_pos_med,w2v_neg_med,w2vRef_pos_med,w2vRef_neg_med
0,lithuania,1980-02,1,0.003616127989488887,0.008955757910707674,0.03939288675005344,0.09546779928778863,0.02635208058520206,0.059475643518928874,0.086,0.095,0.04430556006493507,1.0,0.3480123055185557,-5.5,0.5,0.5,0.0002980599279446498,0.0010306287376757716,0.002454417952314165,0.00720260223048327,0.00016542984433593348,0.0,0.003616127989488887,0.0,0.07608695652173914,0.3025092936802973,0.002454417952314165,0.00720260223048327,0.003360959764751273,0.009951996120898659,0.021037868162692843,0.06110594795539034,0.0017561475312911586,0.0,0.03939288675005344,0.0,0.6521739130434782,2.5664498141263943,0.021037868162692843,0.06110594795539034,0.0022072190910181074,0.006386374656537902,0.016129032258064516,0.04089219330855018,0.0011913706431250126,0.0,0.02635208058520206,0.0,0.5,1.7174721189591078,0.016129032258064516,0.04089219330855018,0.0769913215799206,0.26790009518165325,0.014179235031356154,0.05299085447982326,0.12312660723582662,0.44976895102634556,0.08625621096473085,0.28625586454672974,0.016129032258064516,0.025422094714724418,0.002454417952314165,0.004116615484079521,0.021037868162692843,0.0355289720381445,0.016129032258064516,0.04089219330855018
1,lithuania,1980-05,0,0.003058103975535168,0.004587155963302753,0.03211009174311927,0.05657492354740061,0.013761467889908258,0.039755351681957186,0.13,0.127,0.03905240933929459,1.0,0.44439890710382507,-5.0,0.0,1.0,0.0003975535168195718,0.0005825688073394497,0.003058103975535168,0.0,0.00011942632825472351,0.0,0.003058103975535168,0.0,0.0,0.02293577981651377,0.0,0.004587155963302753,0.004174311926605505,0.0071850152905198784,0.03211009174311927,0.0,0.001253976446674597,0.0,0.03211009174311927,0.0,0.0,0.28287461773700306,0.0,0.05657492354740061,0.0017889908256880735,0.005048929663608564,0.013761467889908258,0.0,0.0005374184771462559,0.0,0.013761467889908258,0.0,0.0,0.198776758409786,0.0,0.039755351681957186,0.00589616692990634,0.03435117227319063,0.0011055312993574385,0.0046842507645259955,0.011608078643253106,0.057772426095820596,0.005384346883907525,0.037820987654321,0.0015214836361813352,0.004635703363914374,0.0002584899225371477,0.00029128440366972487,0.002714144186640051,0.0035925076452599392,0.0017889908256880735,0.0046842507645259955
2,lithuania,1980-12,1,0.003831392637856768,0.008365478989294926,0.039293784665951466,0.07741858698239515,0.029503353691343007,0.043382777319459886,0.1005,0.0745,0.0798285413784383,1.0,0.3852240671813868,10.5,0.5,1.0,0.00038041815982287546,0.0006428212745005331,0.003831392637856768,0.0,0.00033639581489908253,0.0,0.003831392637856768,0.0,0.011102886750555143,0.04531151667715545,0.0003700962250185049,0.005034612964128383,0.003914511032780417,0.0060280947055044885,0.039293784665951466,0.0,0.003364101896233569,0.0,0.039293784665951466,0.0,0.24426350851221315,0.4502831969792322,0.008142116950407105,0.0500314663310258,0.002931934902193513,0.0033989425356319514,0.029503353691343007,0.0,0.002573573751205546,0.0,0.029503353691343007,0.0,0.11102886750555142,0.2605412208936438,0.0037009622501850475,0.0289490245437382,0.02985369087452043,0.047234494272475606,0.003308763704334857,0.008498158485964061,0.05637863462058953,0.08439045966929375,0.02986479277680737,0.048112477822305266,0.006028313991593761,0.004216777749880167,0.0021059053988398218,0.00032141063725026655,0.023717950808179285,0.0030140473527522442,0.023717950808179285,0.004216777749880167
3,lithuania,1981-03,0,0.0005586592178770949,0.0033519553072625693,0.02122905027932961,0.039664804469273736,0.012849162011173185,0.024022346368715083,0.122,0.019,0.13601673989360552,1.0,0.4693370667475143,104.0,1.0,1.0,6.815642458100558e-05,6.368715083798882e-05,0.0005586592178770949,0.0,7.598700552715392e-05,0.0,0.0005586592178770949,0.0,0.05810055865921788,0.0,0.0005586592178770949,0.0,0.0025899441340782123,0.0007536312849162009,0.02122905027932961,0.0,0.002887506210031849,0.0,0.02122905027932961,0.0,2.20782122905028,0.0,0.02122905027932961,0.0,0.0015675977653631286,0.0004564245810055865,0.012849162011173185,0.0,0.0017477011271245402,0.0,0.012849162011173185,0.0,1.336312849162011,0.0,0.012849162011173185,0.0,0.20639345244796414,7.076350093109868e-05,0.009986779957159554,1.0614525139664803e-05,0.3794976383720632,0.00012560521415270015,0.21933927831835615,7.371198013656112e-05,0.012849162011173185,0.0,0.0005586592178770949,0.0,0.02122905027932961,0.0,0.012849162011173185,0.0
4,lithuania,1981-05,0,0.0145985401459854,0.0024330900243309003,0.07785888077858881,0.06082725060827252,0.072992700729927,0.0145985401459854,0.087,0.015,0.061290792540792526,1.0,0.3675291375291375,16.0,1.0,1.0,0.0012700729927007295,3.64963503649635e-05,0.0145985401459854,0.0,0.0008947560954860221,0.0,0.0145985401459854,0.0,0.2335766423357664,0.0,0.0145985401459854,0.0,0.006773722627737226,0.0009124087591240877,0.07785888077858881,0.0,0.004772032509258785,0.0,0.07785888077858881,0.0,1.2457420924574207,0.0,0.07785888077858881,0.0,0.006350364963503649,0.00021897810218978101,0.072992700729927,0.0,0.004473780477430111,0.0,0.072992700729927,0.0,1.167883211678832,0.0,0.072992700729927,0.0,0.17600483561675773,6.4882400648824e-05,0.04658951531031822,6.08272506082725e-06,0.24847741498836384,0.00015206812652068127,0.20763969169166513,4.911237271334595e-05,0.072992700729927,0.0,0.0145985401459854,0.0,0.07785888077858881,0.0,0.072992700729927,0.0
5,lithuania,1981-07,0,0.010101010101010102,0.010101010101010102,0.04040404040404042,0.060606060606060615,0.037037037037037035,0.04040404040404042,0.071,0.05,0.08055555555555556,1.0,0.3723023504273504,0.0,0.0,1.0,0.000717171717171717,0.0005050505050505052,0.010101010101010102,0.0,0.0008136924803591473,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.010101010101010102,0.002868686868686869,0.0030303030303030307,0.04040404040404042,0.0,0.003254769921436589,0.0,0.04040404040404042,0.0,0.0,0.0,0.0,0.060606060606060615,0.002629629629629629,0.0020202020202020206,0.037037037037037035,0.0,0.002983539094650206,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.04040404040404042,0.010463981377561625,0.006481481481481483,0.0036221473999251777,0.0017676767676767678,0.014488589599700716,0.010606060606060607,0.012029106797282382,0.006808829031051255,0.0031191545080433976,0.0,0.0007654320987654322,0.0,0.003061728395061729,0.0,0.0031191545080433976,0.0
6,lithuania,1981-08,1,0.0052162060030231045,0.0069207514575685605,0.033364824012092426,0.059497138846901325,0.02370573310300151,0.03987124811055928,0.068,0.0795,0.02033047916136151,0.5,0.4772045030133266,9.0,0.5,0.5,0.0003845011876484561,0.000601198445260203,0.002840909090909091,0.0023752969121140144,0.000228643144585658,9.458771632168309e-05,0.002840909090909091,0.0023752969121140144,0.07670454545454546,0.02137767220902613,0.002840909090909091,0.0023752969121140144,0.003188004750593825,0.0050676352299719295,0.02386363636363636,0.02256532066508313,0.001920602414519527,0.0008985833050559895,0.02386363636363636,0.02256532066508313,0.6443181818181818,0.2030878859857482,0.02386363636363636,0.02256532066508313,0.001913004750593824,0.0033810853487367737,0.014204545454545452,0.01543942992874109,0.0011432157229282894,0.0006148201560909402,0.014204545454545452,0.01543942992874109,0.3835227272727272,0.13895486935866982,0.014204545454545452,0.01543942992874109,0.06866948329131091,0.027512137792927577,0.014306736176584475,0.004866558184491676,0.12016961634570068,0.04612501108600425,0.07025982443594242,0.029752530190349364,0.014204545454545452,0.01543942992874109,0.002840909090909091,0.0023752969121140144,0.02386363636363636,0.02256532066508313,0.014204545454545452,0.01543942992874109
7,lithuania,1981-11,0,0.003076923076923077,0.0,0.06461538461538463,0.021538461538461538,0.04615384615384616,0.009230769230769232,0.083,0.004,0.1360780885780886,1.0,0.2687004662004662,18.0,1.0,1.0,0.00025538461538461544,0.0,0.003076923076923077,0.0,0.00041870181100950337,0.0,0.003076923076923077,0.0,0.05538461538461538,0.0,0.003076923076923077,0.0,0.005363076923076924,8.615384615384615e-05,0.06461538461538463,0.0,0.008792738031199572,0.0,0.06461538461538463,0.0,1.1630769230769231,0.0,0.06461538461538463,0.0,0.003830769230769232,3.692307692307693e-05,0.04615384615384616,0.0,0.006280527165142553,0.0,0.04615384615384616,0.0,0.8307692307692309,0.0,0.04615384615384616,0.0,0.13420613491921188,6.837606837606837e-06,0.010881578506963122,0.0,0.2285131486462256,1.4358974358974359e-05,0.15032699196656465,6.457739791073125e-06,0.04615384615384616,0.0,0.003076923076923077,0.0,0.06461538461538463,0.0,0.04615384615384616,0.0
8,lithuania,1982-10,0,0.007949125596184421,0.004769475357710652,0.06359300476947535,0.05882352941176471,0.05246422893481717,0.031796502384737683,0.11,0.038,0.02744561518146424,1.0,0.3029533883307469,25.0,1.0,1.0,0.0008744038155802862,0.0001812400635930048,0.007949125596184421,0.0,0.0002181686421420051,0.0,0.007949125596184421,0.0,0.19872813990461047,0.0,0.007949125596184421,0.0,0.006995230524642289,0.002235294117647059,0.06359300476947535,0.0,0.0017453491371360404,0.0,0.06359300476947535,0.0,1.5898251192368835,0.0,0.06359300476947535,0.0,0.005771065182829889,0.001208267090620032,0.05246422893481717,0.0,0.0014399130381372335,0.0,0.05246422893481717,0.0,1.3116057233704292,0.0,0.05246422893481717,0.0,0.19384567726410123,0.00020137784843667197,0.037278014858481,3.02066772655008e-05,0.298224118867848,0.00037254901960784314,0.22283968882069757,0.00020137784843667197,0.05246422893481717,0.0,0.007949125596184421,0.0,0.06359300476947535,0.0,0.05246422893481717,0.0
9,lithuania,1983-01,1,0.000625,0.0025,0.02174568965517241,0.0544396551724138,0.010905172413793105,0.02855603448275862,0.0815,0.0965,0.03694380635250733,1.0,0.4493213383838384,-18.5,0.5,0.5,2.9999999999999997e-05,0.000305,0.0,0.0025,4.030838187547743e-06,0.0,0.000625,0.0,0.0,0.1,0.0,0.0025,0.0016213793103448276,0.005267715517241379,0.008620689655172414,0.0275,0.0006660120123259015,0.0,0.02174568965517241,0.0,0.02586206896551724,1.1,0.008620689655172414,0.0275,0.0006678448275862068,0.0028243534482758612,0.0021551724137931034,0.015625,0.0002017728372225181,0.0,0.010905172413793105,0.0,0.00646551724137931,0.625,0.0021551724137931034,0.015625,0.005019234013303339,0.10692483716475097,0.00010983847303125795,0.017550833333333335,0.011189421542284202,0.19337795258620694,0.004318794019576238,0.10854755294806301,0.0018882758620689655,0.01044635775862069,2.0154190937738717e-06,0.0014025,0.008620689655172414,0.01638385775862069,0.0021551724137931034,0.015625
