classification_type,fear_language_recall,fear_language_prec,fear_language_f2,risk_language_recall,risk_language_prec,risk_language_f2,hedging_language_recall,hedging_language_prec,hedging_language_f2,opinion_language_recall,opinion_language_prec,opinion_language_f2,crisis_language_recall,crisis_language_prec,crisis_language_f2,positive_sentiment_language_recall,positive_sentiment_language_prec,positive_sentiment_language_f2,negative_sentiment_language_recall,negative_sentiment_language_prec,negative_sentiment_language_f2,agg_all_other_sentiments_recall,agg_all_other_sentiments_prec,agg_all_other_sentiments_f2,agg_other_and_negative_recall,agg_other_and_negative_prec,agg_other_and_negative_f2,all_language_recall,all_language_prec,all_language_f2
Min1_AllCountry,0.8235294117647058,0.15384615384615385,0.440251572327044,0.8360655737704918,0.17346938775510204,0.4739776951672863,0.8367346938775511,0.18222222222222226,0.4869358669833729,0.890625,0.20577617328519854,0.5347091932457786,0.85,0.1559633027522936,0.4497354497354497,0.8181818181818182,0.1973684210526316,0.5022321428571429,0.8852459016393442,0.21686746987951808,0.5476673427991886,0.8214285714285714,0.2062780269058296,0.5145413870246085,0.8275862068965517,0.21818181818181814,0.5309734513274337,0.8214285714285714,0.2072072072072072,0.5156950672645739
IMF_GAP_6,0.7612903225806451,0.10387323943661972,0.3359908883826879,0.7484276729559748,0.1,0.3258488499452355,0.6546762589928058,0.0922920892494929,0.29507133592736706,0.7152317880794702,0.09738503155996392,0.31523642732049034,0.8620689655172413,0.12152777777777778,0.3885435168738899,0.7191780821917808,0.09822263797942002,0.3176043557168784,0.7210884353741497,0.10076045627376426,0.3231707317073171,0.6312056737588653,0.09232365145228216,0.2912303664921466,0.6433566433566433,0.0989247311827957,0.3062583222370173,0.6453900709219859,0.09680851063829787,0.3025265957446808
IMF_GAP_0,0.8151750972762646,0.5791292328956462,0.7537326857348444,0.8043478260869565,0.5669553630912725,0.742194313622885,0.7031578947368421,0.5457516339869279,0.6648089171974523,0.7734375,0.5657142857142857,0.7205240174672489,0.8627132412672623,0.5740540540540541,0.7838795394154119,0.7556008146639511,0.5492227979274611,0.7027846182989202,0.7403545359749739,0.5411585365853658,0.6895881895881896,0.7023305084745762,0.5515806988352745,0.6659300924065891,0.6949327817993796,0.5704584040747029,0.6658739595719382,0.6848739495798319,0.5520745131244708,0.6534375626378032
LoDuca,0.8279569892473119,0.12439418416801293,0.3884964682139253,0.87,0.1467116357504216,0.4380664652567976,0.8085106382978723,0.1317157712305026,0.3987408184679958,0.8229166666666666,0.12929623567921442,0.3969849246231156,0.9361702127659576,0.18992805755395686,0.5242255758538522,0.8878504672897196,0.16521739130434782,0.47357926221336,0.8229166666666666,0.14337568058076225,0.4224598930481284,0.8367346938775511,0.1426086956521739,0.4239917269906929,0.8043478260869565,0.13653136531365315,0.4065934065934066,0.7956989247311828,0.13805970149253732,0.40748898678414097
ReinhartRogoff,0.8823529411764706,0.13837638376383765,0.4251700680272109,0.913978494623656,0.1559633027522936,0.4634678298800437,0.8809523809523809,0.14566929133858267,0.4383886255924169,0.8902439024390244,0.13904761904761906,0.4279015240328253,0.9465648854961832,0.20945945945945946,0.5555555555555556,0.8977272727272727,0.15895372233400398,0.4652532391048292,0.8977272727272727,0.15863453815261044,0.4647058823529412,0.8780487804878049,0.1448692152917505,0.4363636363636363,0.8795180722891566,0.14807302231237324,0.4424242424242424,0.8928571428571429,0.15030060120240482,0.4491017964071856
RomerRomer,0.9338842975206612,0.18138041733547355,0.5103884372177055,0.9663865546218487,0.18638573743922204,0.526075022872827,0.9369369369369368,0.17537942664418213,0.5014464802314368,0.9421487603305784,0.1847649918962723,0.5177111716621253,0.9206349206349206,0.1898527004909984,0.5201793721973094,0.94,0.1687612208258528,0.4911180773249738,0.9363636363636364,0.18262411347517726,0.5129482071713147,0.9363636363636364,0.17975567190226874,0.508390918065153,0.9339622641509434,0.1774193548387097,0.5040733197556008,0.9449541284403671,0.18197879858657245,0.5139720558882236
